date,account_value
2019-10-07,1000000.0
2019-10-08,999870.9868980903
2019-10-09,1005832.592814268
2019-10-10,1005094.149242151
2019-10-11,999690.4536975952
2019-10-12,999801.5810210955
2019-10-13,998864.7716646187
2019-10-14,1001631.0051304614
2019-10-15,995208.1076902434
2019-10-16,988331.1674008395
2019-10-17,991111.652997329
2019-10-18,964810.3568301847
2019-10-19,962211.2838948419
2019-10-20,976594.3384485891
2019-10-21,981787.3901267698
2019-10-22,969647.5314038446
2019-10-23,908763.4141174009
2019-10-24,917869.2832198789
2019-10-25,1061934.161612575
2019-10-26,1047061.3482075384
2019-10-27,1114429.5765851191
2019-10-28,1159834.480760721
2019-10-29,1140742.0602518595
2019-10-30,1151643.8983842407
2019-10-31,1109772.1323439158
2019-11-01,1114662.1082092798
2019-11-02,1145102.0954431458
2019-11-03,1110185.3661389144
2019-11-04,1227468.966442482
2019-11-05,1320248.183185168
2019-11-06,1260328.9183575157
2019-11-07,1205358.848947176
2019-11-08,1155128.8253558446
2019-11-09,1169976.0524499211
2019-11-10,1257002.7573444704
2019-11-11,1282407.0708025936
2019-11-12,1314562.000024549
2019-11-13,1348005.83870412
2019-11-14,1307524.7858871084
2019-11-15,1247741.485234913
2019-11-16,1259604.2925405195
2019-11-17,1349696.7053646545
2019-11-18,1312313.8962826233
2019-11-19,1215575.2074398499
2019-11-20,1176150.6468929749
2019-11-21,1061409.9935726624
2019-11-22,986933.4602596776
2019-11-23,1021460.7885396497
2019-11-24,918692.5424053685
2019-11-25,950727.2813608663
2019-11-26,987030.3976228255
2019-11-27,1000704.5641508845
2019-11-28,999289.2429323939
2019-11-29,1035092.1945973185
2019-11-30,1000471.5892167834
2019-12-01,996153.5702157763
2019-12-02,971627.574219847
2019-12-03,978463.3736451674
2019-12-04,985674.7887404752
2019-12-05,1113226.9861965494
2019-12-06,1118034.5729400604
2019-12-07,1117757.480295661
2019-12-08,1125405.0140664605
2019-12-09,1090541.6547656087
2019-12-10,1070591.156511548
2019-12-11,1052502.3831760911
2019-12-12,1059360.5097920923
2019-12-13,1071471.009478095
2019-12-14,1053656.7829453973
2019-12-15,1049895.4042193918
2019-12-16,972558.3027071981
2019-12-17,899538.5785293609
2019-12-18,1004421.8759183912
2019-12-19,1007694.1664860274
2019-12-20,1019838.5104112653
2019-12-21,1003945.0417087106
2019-12-22,1021753.4811012103
2019-12-23,997227.8398478733
2019-12-24,963175.3525096434
2019-12-25,966205.807330276
2019-12-26,974088.5366076189
2019-12-27,993184.4646207676
2019-12-28,1012323.9504477367
2019-12-29,1036175.8461715564
2019-12-30,1018106.5618445262
2019-12-31,993146.7543312892
2020-01-01,1002881.8863624719
2020-01-02,969967.0718496584
2020-01-03,1023339.248675825
2020-01-04,1024018.2062136027
2020-01-05,1021922.2794704041
2020-01-06,1078334.9192062668
2020-01-07,1128223.6721635205
2020-01-08,1186466.550043412
2020-01-09,1143633.0610631043
2020-01-10,1194348.3518975764
2020-01-11,1188149.2078480027
2020-01-12,1213742.959814251
2020-01-13,1216488.3720155177
2020-01-14,1290052.112585418
2020-01-15,1345461.0520544709
2020-01-16,1361431.4002025477
2020-01-17,1391512.2763045188
2020-01-18,1396825.8283470082
2020-01-19,1368929.4051978108
2020-01-20,1392073.1255825646
2020-01-21,1406272.1797460318
2020-01-22,1419703.7501621488
2020-01-23,1372235.6666771262
2020-01-24,1378287.2303872588
2020-01-25,1364501.4451624001
2020-01-26,1399482.604368256
2020-01-27,1448987.5604666108
2020-01-28,1544602.79494488
2020-01-29,1536160.0338422223
2020-01-30,1561547.2613096135
2020-01-31,1567262.4470338512
2020-02-01,1539662.092147648
2020-02-02,1613424.349797882
2020-02-03,1631094.670204402
2020-02-04,1687873.9035589162
2020-02-05,2109097.3991260836
2020-02-06,1915771.2401837485
2020-02-07,1956768.646109343
2020-02-08,1711617.3145814394
2020-02-09,1909385.6607245144
2020-02-10,1854124.676489585
2020-02-11,1929645.087193422
2020-02-12,2094476.6228112357
2020-02-13,2162905.5407680864
2020-02-14,2245098.8525457536
2020-02-15,2073699.307479709
2020-02-16,1964657.8338317208
2020-02-17,1880187.9058605426
2020-02-18,1953222.502017215
2020-02-19,1850592.0903107524
2020-02-20,1848192.2757494736
2020-02-21,1862592.2922659237
2020-02-22,1859492.2919440535
2020-02-23,1893892.2744858535
2020-02-24,1870792.3081386336
2020-02-25,1775720.3412390868
2020-02-26,1643120.4025782268
2020-02-27,1683120.3346289266
2020-02-28,1671920.3424788667
2020-02-29,1658320.3320540069
2020-03-01,1629598.0619290262
2020-03-02,1720674.158558378
2020-03-03,1730084.6757019844
2020-03-04,1717175.1321266682
2020-03-05,1777198.9339573174
2020-03-06,1815883.4939767432
2020-03-07,1733609.1240040376
2020-03-08,1506107.9741198136
2020-03-09,1541012.2455889313
2020-03-10,1543060.195779475
2020-03-11,1515868.295897811
2020-03-12,880228.0903091641
2020-03-13,1013604.2621629676
2020-03-14,1151047.7717639494
2020-03-15,1026654.0454533538
2020-03-16,905076.722448513
2020-03-17,932379.0411893578
2020-03-18,939738.9209806175
2020-03-19,1117710.4051114768
2020-03-20,1086154.972006008
2020-03-21,1075758.4311298851
2020-03-22,1010097.1026988318
2020-03-23,1066094.6663326004
2020-03-24,1094471.6110997938
2020-03-25,1101908.467700568
2020-03-26,1117192.762589617
2020-03-27,1081476.4991008474
2020-03-28,1057646.5197917654
2020-03-29,1014024.608369036
2020-03-30,1073132.8154765798
2020-03-31,1095365.6247395952
2020-04-01,1106193.4451048377
2020-04-02,1146671.1013255434
2020-04-03,1157819.5094977077
2020-04-04,1165350.4386030529
2020-04-05,1149627.1217686755
2020-04-06,1354545.702823363
2020-04-07,1322241.946963988
2020-04-08,1382620.624698363
2020-04-09,1367929.1901280505
2020-04-10,1224236.1401921033
2020-04-11,1221852.0205983776
2020-04-12,1249641.723799899
2020-04-13,1212390.0633074052
2020-04-14,1226806.4931091557
2020-04-15,1188709.48065327
2020-04-16,1299483.2576613268
2020-04-17,1288600.6923537096
2020-04-18,1340769.76820515
2020-04-19,1288431.2939314684
2020-04-20,1235042.551945062
2020-04-21,1241850.8026630906
2020-04-22,1280331.7682913267
2020-04-23,1337362.595882122
2020-04-24,1383243.786085852
2020-04-25,1383145.0931453125
2020-04-26,1406233.635765106
2020-04-27,1436031.8280552693
2020-04-28,1519012.5583983657
2020-04-29,1609393.513316966
2020-04-30,1536849.653501078
2020-05-01,1585829.0588660683
2020-05-02,1594017.7246680702
2020-05-03,1561506.459134623
2020-05-04,1541083.3047461952
2020-05-05,1576570.7285501494
2020-05-06,1513931.9819342033
2020-05-07,1548908.2369883792
2020-05-08,1688176.3322301642
2020-05-09,1663541.8589900867
2020-05-10,1483656.660438096
2020-05-11,1448501.1860431777
2020-05-12,1612559.8373940333
2020-05-13,1610045.5647786898
2020-05-14,1593575.0081259056
2020-05-15,1577046.6257912759
2020-05-16,1591703.6897037553
2020-05-17,1604548.077499114
2020-05-18,1695458.7326684238
2020-05-19,1764118.4101315674
2020-05-20,1759100.492170317
2020-05-21,1756800.4979400472
2020-05-22,1761600.487923487
2020-05-23,1762700.4962994372
2020-05-24,1754100.5006639871
2020-05-25,1911409.1320634745
2020-05-26,2319783.75477019
2020-05-27,2189768.7952488353
2020-05-28,2260032.591313894
2020-05-29,2330116.6413442795
2020-05-30,2160656.9668067377
2020-05-31,1844200.1817813225
2020-06-01,1959838.9731163057
2020-06-02,1867202.1512963132
2020-06-03,1947349.6362100681
2020-06-04,1910193.57997795
2020-06-05,1908693.59183928
2020-06-06,1964593.57511124
2020-06-07,1961193.54922196
2020-06-08,2014793.58482977
2020-06-09,1999681.1118463094
2020-06-10,1991664.4235180432
2020-06-11,1770946.3362778241
2020-06-12,1829856.6089163835
2020-06-13,1840191.5520168357
2020-06-14,1835536.9845785375
2020-06-15,1817844.899569602
2020-06-16,1831802.8959681632
2020-06-17,1843449.46353071
2020-06-18,1819889.7142470116
2020-06-19,1777472.0209121667
2020-06-20,1817033.423167225
2020-06-21,1825040.6813964806
2020-06-22,1946495.281098362
2020-06-23,2093886.168183323
2020-06-24,2055881.5539207421
2020-06-25,2097351.4444713555
