date,account_value
2009-07-02,1000000.0
2009-07-06,1000041.0439550094
2009-07-07,999840.6128382738
2009-07-08,999938.0764496173
2009-07-09,999952.6695773773
2009-07-10,999820.026938074
2009-07-13,1000407.1486772718
2009-07-14,1000726.344793952
2009-07-15,1001644.213029416
2009-07-16,1002167.2631622154
2009-07-17,1002420.2614133424
2009-07-20,1021720.6781760665
2009-07-21,1020252.5587455246
2009-07-22,1024465.8304587814
2009-07-23,1056321.5866843674
2009-07-24,1051661.1973563645
2009-07-27,1046235.2752295943
2009-07-28,1024976.8309394333
2009-07-29,1017954.0245048021
2009-07-30,1036978.3794394943
2009-07-31,1042596.6995231126
2009-08-03,1014560.9847059111
2009-08-04,998618.7172822814
2009-08-05,970814.063984857
2009-08-06,963397.0898847441
2009-08-07,983045.6551294188
2009-08-10,961359.3715188652
2009-08-11,954525.2865579277
2009-08-12,981741.415372625
2009-08-13,986057.7536294609
2009-08-14,975566.9078042656
2009-08-17,988190.6041228941
2009-08-18,977781.3060825041
2009-08-19,977781.3060825041
2009-08-20,985068.1338813474
2009-08-21,1003457.5964057614
2009-08-24,996966.7334095057
2009-08-25,998088.3108478602
2009-08-26,997340.6654468594
2009-08-27,991733.98096047
2009-08-28,994163.2271610316
2009-08-31,998451.9007747478
2009-09-01,966530.7444637127
2009-09-02,956694.5649593181
2009-09-03,975521.4887874431
2009-09-04,983426.7259090252
2009-09-08,997801.1323252316
2009-09-09,994170.6401529904
2009-09-10,999616.8684092159
2009-09-11,992717.7964869137
2009-09-14,998890.4955759638
2009-09-15,991005.1399842489
2009-09-16,1009010.7500897634
2009-09-17,1017928.8590394247
2009-09-18,1027576.7554837454
2009-09-21,1023145.4549428213
2009-09-22,1040702.3048074511
2009-09-23,1030156.6419656542
2009-09-24,1026903.0460183886
2009-09-25,1006935.3792703417
2009-09-28,1023762.6700418261
2009-09-29,1029820.2669656542
2009-09-30,1034139.3789041308
2009-10-01,1004074.3303201464
2009-10-02,1007552.2857644823
2009-10-05,1046030.8702371386
2009-10-06,1048891.1527078417
2009-10-07,1068523.320432451
2009-10-08,1055565.9846170214
2009-10-09,1061904.1130349902
2009-10-12,1066671.6154763964
2009-10-13,1050293.0436990527
2009-10-14,1078619.3883035448
2009-10-15,1058146.1735818652
2009-10-16,1034251.3944070605
2009-10-19,1040589.9608133105
2009-10-20,1044620.5638690355
2009-10-21,1040999.3345599537
2009-10-22,1052587.7308841115
2009-10-23,1043715.0462985401
2009-10-26,1030316.2455630664
2009-10-27,1024317.9393830628
2009-10-28,993194.2552857724
2009-10-29,1020772.549131903
2009-10-30,988466.5720734921
2009-11-02,987285.1297593442
2009-11-03,1003587.0477061179
2009-11-04,1039389.5265078451
2009-11-05,1052069.1440958884
2009-11-06,1069224.5003542807
2009-11-09,1086379.9445757773
2009-11-10,1083841.0156160528
2009-11-11,1104348.4434419805
2009-11-12,1095936.5841585333
2009-11-13,1085376.2740236456
2009-11-16,1088385.303793543
2009-11-17,1086908.8766307088
2009-11-18,1088652.8260897847
2009-11-19,1084117.504300997
2009-11-20,1078012.5166033956
2009-11-23,1094234.8618678304
2009-11-24,1084737.5767226622
2009-11-25,1084737.5767226622
2009-11-27,1068288.026048224
2009-11-30,1069201.9997420714
2009-12-01,1092961.937776129
2009-12-02,1075196.1758936413
2009-12-03,1038710.3532885083
2009-12-04,1043651.3966845043
2009-12-07,1075575.8975885876
2009-12-08,1081656.6439188488
2009-12-09,1074814.156620059
2009-12-10,1091979.7137661313
2009-12-11,1111486.0524387697
2009-12-14,1126311.036916766
2009-12-15,1132163.2518062922
2009-12-16,1161647.475615155
2009-12-17,1147938.8303476684
2009-12-18,1137837.6919599886
2009-12-21,1160565.0618826265
2009-12-22,1165976.364746701
2009-12-23,1173343.1592804557
2009-12-24,1171874.3264347678
2009-12-28,1169817.7998787528
2009-12-29,1171874.3264347678
2009-12-30,1169817.7998787528
2009-12-31,1151892.5797115928
2010-01-04,1185685.289199508
2010-01-05,1188035.7428967124
2010-01-06,1188035.7428967124
2010-01-07,1210955.8778854972
2010-01-08,1237695.7811333304
2010-01-11,1253269.744743026
2010-01-12,1239165.256267226
2010-01-13,1243572.95909468
2010-01-14,1250919.0501877433
2010-01-15,1264530.7082209103
2010-01-19,1316235.7702249996
2010-01-20,1294504.4779047482
2010-01-21,1240177.1750025265
2010-01-22,1242424.8100580685
2010-01-25,1235469.5727391774
2010-01-26,1240389.7942109639
2010-01-27,1245310.0156827504
2010-01-28,1222944.937233501
2010-01-29,1252914.5494504506
2010-02-01,1264879.3659026865
2010-02-02,1281017.3761871106
2010-02-03,1283799.9068486933
2010-02-04,1288808.1825988537
2010-02-05,1318857.4489877468
2010-02-08,1310963.4630724925
2010-02-09,1334828.214420988
2010-02-10,1323098.2376353282
2010-02-11,1339682.0670039193
2010-02-12,1301660.460280134
2010-02-16,1320224.6136665824
2010-02-17,1325150.2986336232
2010-02-18,1341189.5666695118
2010-02-19,1347969.2544174672
2010-02-22,1334079.0569305897
2010-02-23,1318039.9161339283
2010-02-24,1323992.6761436937
2010-02-25,1318536.0218811512
2010-02-26,1325315.5823898793
2010-03-01,1332425.7104111195
2010-03-02,1341519.8797035695
2010-03-03,1339370.1729584218
2010-03-04,1339701.1221886158
2010-03-05,1363181.3402367115
2010-03-08,1344496.2597084523
2010-03-09,1367035.5734276336
2010-03-10,1369298.4183907076
2010-03-11,1378354.0942291778
2010-03-12,1388379.6108650728
2010-03-15,1389673.31641622
2010-03-16,1391613.3487038175
2010-03-17,1387732.495069937
2010-03-18,1404549.5274834197
2010-03-19,1417162.3675484222
2010-03-22,1408753.369139151
2010-03-23,1433121.6569916666
2010-03-24,1417949.4244257866
2010-03-25,1412892.0745160042
2010-03-26,1405938.7097632347
2010-03-29,1411627.9427296577
2010-03-30,1412259.8257862984
2010-03-31,1409099.770575231
2010-04-01,1415420.612343496
2010-04-05,1428064.4899184166
