date,account_value
2018-02-05,1000000.0
2018-02-06,992948.8442819673
2018-02-07,1004443.4088764039
2018-02-08,989016.8402573166
2018-02-09,977129.1787264023
2018-02-12,989883.4641114579
2018-02-13,982492.9364618531
2018-02-14,990369.2321864015
2018-02-15,997557.0446622468
2018-02-16,1004369.4451070481
2018-02-19,995684.881871811
2018-02-20,991057.4924208835
2018-02-21,988109.6228987888
2018-02-22,985372.2265059665
2018-02-23,995174.1254927828
2018-02-26,1003451.9128768161
2018-02-27,993795.6974305577
2018-02-28,962738.9789246984
2018-03-01,940909.4242371984
2018-03-02,944284.8717469639
2018-03-05,951936.5621766514
2018-03-06,949655.616010941
2018-03-07,962550.2451002965
2018-03-08,964446.3375685582
2018-03-09,984926.0380080113
2018-03-12,988718.6126540074
2018-03-13,966267.4589857335
2018-03-14,963886.4183210608
2018-03-15,959124.7504591222
2018-03-16,959600.7695783849
2018-03-19,945982.0982527012
2018-03-20,945194.4547592016
2018-03-21,942256.6352096411
2018-03-22,925731.2776046606
2018-03-23,905717.6224838111
2018-03-26,907553.806871018
2018-03-27,919688.1042751471
2018-03-28,919877.9399227301
2018-03-29,921490.8367809454
2018-04-03,919972.6812099615
2018-04-04,935722.7434887092
2018-04-05,966226.7899288337
2018-04-06,967887.2339672248
2018-04-09,966226.7899288337
2018-04-10,975477.5999035041
2018-04-11,978798.2525982062
2018-04-12,964737.4760973824
2018-04-13,965837.9326403511
2018-04-16,966938.4610522162
2018-04-17,973761.4066088569
2018-04-18,981684.8087084662
2018-04-19,980144.0114367377
2018-04-20,987847.4228442084
2018-04-23,988067.5572741401
2018-04-24,986967.2444689643
2018-04-25,978383.43907956
2018-04-26,979738.600339112
2018-04-27,989968.5361911628
2018-04-30,993579.0565463874
2018-05-01,1002605.3923923346
2018-05-02,1010127.4904147956
2018-05-03,1013434.1910552682
2018-05-04,1013212.1880340278
2018-05-08,1025413.3705901802
2018-05-09,1021863.9813995063
2018-05-10,1021420.4065704048
2018-05-11,1020283.6645528572
2018-05-14,1031124.6747152107
2018-05-15,1043230.6799642342
2018-05-16,1040881.6519490974
2018-05-17,1055517.0421468515
2018-05-18,1059672.7412740486
2018-05-21,1071417.5030843515
2018-05-22,1063467.4995748298
2018-05-23,1042869.4365255134
2018-05-24,1023897.3850423592
2018-05-25,1022795.7451501017
2018-05-29,1011050.4555382853
2018-05-30,1021956.8516411906
2018-05-31,1005911.92385341
2018-06-01,1022166.6075387126
2018-06-04,1027619.377675111
2018-06-05,1009473.556141908
2018-06-06,1001978.8006487439
2018-06-07,1007895.8688860486
2018-06-08,999217.6529436657
2018-06-11,1014771.531167787
2018-06-12,1016442.981973451
2018-06-13,1028143.0094392714
2018-06-14,1036918.0460603652
2018-06-15,1006832.3160798964
2018-06-18,1017217.1141220108
2018-06-19,1022015.6986251846
2018-06-20,1019616.3668380752
2018-06-21,1006020.891374208
2018-06-22,1029613.3190475479
2018-06-25,1032572.8850142838
2018-06-26,1015981.8225142838
2018-06-27,1006721.5100142839
2018-06-28,1003249.0725142838
2018-06-29,1024856.1975142838
2018-07-02,1009450.3614714983
2018-07-03,1025927.1310637835
2018-07-04,1037059.8287566545
2018-07-05,1040177.0332854631
2018-07-06,1043739.7478850725
2018-07-09,1036638.3775581683
2018-07-10,1030748.8153633439
2018-07-11,998793.1454414689
2018-07-12,995630.2742256488
2018-07-13,989849.9990181292
2018-07-16,976740.9282748431
2018-07-17,996851.1089389056
2018-07-18,988591.5913607806
2018-07-19,1006906.3589389056
2018-07-20,1002956.1733920306
2018-07-23,989799.985588686
2018-07-24,999300.8153006
2018-07-25,982364.5756765765
2018-07-26,981538.4330984515
2018-07-27,981951.504387514
2018-07-30,992744.5010651264
2018-07-31,992744.5010651264
2018-08-01,1001991.8407868061
2018-08-02,980308.707119814
2018-08-03,995295.5756500873
2018-08-06,993063.4131745014
2018-08-07,1004542.693081728
2018-08-08,1008688.0318268453
2018-08-09,1004542.693081728
2018-08-10,988599.236416689
2018-08-13,989596.5264254782
2018-08-14,979094.3562594625
2018-08-15,964232.1973239157
2018-08-16,974837.3445407125
2018-08-17,979483.380673525
2018-08-20,983321.1958590719
2018-08-21,991805.2822848532
2018-08-22,994027.2825289938
2018-08-23,991401.2893649314
2018-08-24,994633.3894625875
2018-08-28,985605.232030947
2018-08-29,976627.4443722556
2018-08-30,979972.0433712791
2018-08-31,963776.8713131736
2018-09-03,975043.1032467673
2018-09-04,969342.9156686729
2018-09-05,959862.0668832725
2018-09-06,960059.5414621299
2018-09-07,945048.1783945031
2018-09-10,948801.0383188194
2018-09-11,950724.0770875573
2018-09-12,948496.8177186608
2018-09-13,947224.1085206628
2018-09-14,956769.6833192467
2018-09-17,957724.1604005456
2018-09-18,954506.1184434838
2018-09-19,967996.5078477807
2018-09-20,991496.0483751245
2018-09-21,994977.4180040307
2018-09-24,984968.332554812
2018-09-25,986488.3186842676
2018-09-26,986805.2093092676
2018-09-27,989341.2809035059
2018-09-28,981416.539570498
2018-10-01,958275.8783766504
2018-10-02,948877.8611245751
2018-10-03,956777.4111734034
2018-10-04,948046.3130288721
2018-10-05,936820.8843179346
2018-10-08,914785.3303628565
2018-10-09,933195.2833688381
2018-10-10,921543.3628366115
2018-10-11,883827.9747750881
2018-10-12,871256.0378854396
2018-10-15,855924.5449655177
2018-10-16,857439.0970171535
2018-10-17,857145.9407671535
2018-10-18,863008.8587359035
2018-10-19,874734.228853091
2018-10-22,863301.8079546535
2018-10-23,867992.1009234036
2018-10-24,873854.967134341
2018-10-25,875027.592134341
2018-10-26,865646.8509234036
2018-10-29,866233.215181216
2018-10-30,874272.4284660366
2018-10-31,874852.945220187
2018-11-01,885009.7750846889
2018-11-02,890233.4283134487
2018-11-05,895650.4208671597
2018-11-06,874369.2539970424
2018-11-07,874079.1514884975
2018-11-08,870886.9016410854
2018-11-09,870983.6648246791
2018-11-12,862568.0111381557
2018-11-13,852547.115834216
2018-11-14,841760.0790605344
2018-11-15,796952.6883744992
2018-11-16,803590.7859620847
2018-11-19,786718.8141908444
2018-11-20,764406.6743819838
2018-11-21,776662.2585799819
2018-11-22,766669.2235152846
2018-11-23,771760.0687911635
2018-11-26,782884.4515731459
2018-11-27,778311.1710542556
2018-11-28,775602.8896516677
2018-11-29,779514.9361604567
2018-11-30,760557.035464656
2018-12-03,779514.9361604567
2018-12-04,764441.1452727616
2018-12-05,754535.4232268631
2018-12-06,742778.0318847001
2018-12-07,753517.0873961747
2018-12-10,737500.819512874
2018-12-11,752220.9560485184
2018-12-12,754998.2741942704
2018-12-13,742870.6126952469
2018-12-14,743796.208459407
2018-12-17,743888.9485259354
2018-12-18,729119.4577444108
2018-12-19,728433.7479055437
2018-12-20,726976.8768728289
2018-12-21,721663.426555446
2018-12-24,731604.7278249772
2018-12-27,715239.7177547563
2018-12-28,738771.9700740922
2018-12-31,736614.7886165727
2019-01-02,729947.2613338579
2019-01-03,721318.8398250688
2019-01-04,737027.4137412981
2019-01-07,750238.1539756731
2019-01-08,771572.384597011
2019-01-09,766238.7343894916
2019-01-10,760823.1622764544
2019-01-11,764292.4541516986
2019-01-14,767737.1200757708
2019-01-15,769657.1307264057
2019-01-16,790735.727345058
2019-01-17,780193.6219373432
2019-01-18,792227.2081969868
2019-01-21,796396.2553161274
2019-01-22,787141.063146938
2019-01-23,783972.628179897
2019-01-24,785723.5247863423
2019-01-25,779587.1597771259
2019-01-28,779587.1597771259
2019-01-29,786627.7874321553
2019-01-30,797663.8843559835
2019-01-31,787959.610521755
2019-02-01,798126.5924892233
