date,account_value
2018-11-27,1000000.0
2018-11-28,1000076.754296521
2018-11-29,1000037.032663052
2018-11-30,999991.6531628185
2018-12-03,1000597.6318346526
2018-12-04,1000982.846338054
2018-12-05,1000328.1585718179
2018-12-06,999425.8592448795
2018-12-07,999669.6293604627
2018-12-10,998591.3696096333
2018-12-11,998611.1139538713
2018-12-12,1007679.6203209576
2018-12-13,1007679.6203209576
2018-12-14,992488.5287107644
2018-12-17,1000084.115605515
2018-12-18,982361.1616970715
2018-12-19,1005147.8402020154
2018-12-20,1007679.6203209576
2018-12-21,1005147.8402020154
2018-12-24,1002615.9779037652
2018-12-27,1005147.8402020154
2018-12-28,1007679.6203209576
2018-12-31,1012743.344917458
2019-01-02,992488.5287107644
2019-01-03,984893.0239953217
2019-01-04,989956.6664125142
2019-01-07,1005147.8402020154
2019-01-08,1007679.6203209576
2019-01-09,1000084.115605515
2019-01-10,1012743.344917458
2019-01-11,1027934.4365276513
2019-01-14,1041135.3625387351
2019-01-15,1090713.1469177406
2019-01-16,1107874.7299217384
2019-01-17,1111688.537110726
2019-01-18,1105967.8873657386
2019-01-21,1113595.2575897377
2019-01-22,1094526.9541067283
2019-01-23,1109781.8166317146
2019-01-24,1119315.9073347251
2019-01-25,1130756.8405937355
2019-01-28,1134675.3149315394
2019-01-29,1114082.5548492945
2019-01-30,1095548.904843954
2019-01-31,1130556.801957754
2019-02-01,1144971.7437759908
2019-02-04,1151329.9230554407
2019-02-08,1129715.590970785
2019-02-11,1141243.0878389184
2019-02-12,1148447.8945825403
2019-02-13,1157093.7155626123
2019-02-14,1162857.3317773645
2019-02-15,1141243.0878389184
2019-02-18,1148447.8945825403
2019-02-19,1152770.7609994714
2019-02-20,1159975.6558893032
2019-02-21,1149822.9262423767
2019-02-22,1179204.9913649808
2019-02-25,1216422.1624408017
2019-02-26,1194875.3889594327
2019-02-27,1177246.168454672
2019-02-28,1157658.0321955928
2019-03-01,1188999.105916525
2019-03-04,1200751.8576903592
2019-03-05,1190957.8359828244
2019-03-06,1202710.680600668
2019-03-07,1153740.4792189847
2019-03-08,1122399.684030081
2019-03-11,1126317.3298506988
2019-03-12,1141987.634601141
2019-03-13,1141987.634601141
2019-03-14,1151781.6563086759
2019-03-15,1157658.0321955928
2019-03-18,1169410.969657446
2019-03-19,1163534.5009265197
2019-03-20,1163534.5009265197
2019-03-21,1196834.2118697416
2019-03-22,1190957.8359828244
2019-03-25,1187040.0973181976
2019-03-26,1220339.8082614194
2019-03-27,1220339.8082614194
2019-03-28,1188999.105916525
2019-03-29,1206628.2335772763
2019-04-01,1259516.0807795771
2019-04-02,1259516.0807795771
2019-04-03,1267351.186732794
2019-04-04,1265392.4566664945
2019-04-08,1286939.2301478635
2019-04-09,1300650.9905200254
2019-04-10,1277145.2084403287
2019-04-11,1236010.3915438901
2019-04-12,1236010.3915438901
2019-04-15,1251680.789138342
2019-04-16,1286939.2301478635
2019-04-17,1328074.3255763303
2019-04-18,1326115.316978003
2019-04-23,1304568.5434966336
2019-04-24,1296733.2518553983
2019-04-25,1275186.3855300199
2019-04-26,1292815.69887879
2019-04-29,1284980.4072375547
2019-04-30,1259516.0807795771
2019-05-02,1267351.186732794
2019-05-03,1275186.3855300199
2019-05-06,1202710.680600668
2019-05-07,1200751.8576903592
2019-05-08,1177246.168454672
2019-05-09,1136111.258714224
2019-05-10,1163534.5009265197
2019-05-14,1136111.258714224
2019-05-15,1155699.3021292938
2019-05-16,1155699.3021292938
2019-05-17,1130234.8828273069
2019-05-20,1120440.7682757627
2019-05-21,1126317.3298506988
2019-05-22,1132193.5200495967
2019-05-23,1112605.4766345273
2019-05-24,1100852.724860693
2019-05-27,1098893.8091063749
2019-05-28,1100852.724860693
2019-05-29,1136111.258714224
2019-05-30,1136111.258714224
2019-05-31,1136111.258714224
2019-06-03,1141987.634601141
2019-06-04,1128276.0599169978
2019-06-05,1134152.4358039151
2019-06-06,1157873.565746354
2019-06-10,1143436.2735281456
2019-06-11,1131886.4034543503
2019-06-12,1126111.5591655243
2019-06-13,1137661.338491248
2019-06-14,1139386.1551740973
2019-06-17,1133389.4337976782
2019-06-18,1121396.1133221
2019-06-19,1127392.5901439993
2019-06-20,1115399.269668421
2019-06-21,1097243.3375889964
2019-06-24,1107861.572814674
2019-06-25,1093703.898959846
2019-06-26,1084855.30238697
2019-06-27,1088394.7410161204
2019-06-28,1088129.1013508944
2019-07-02,1091946.991142383
2019-07-03,1100012.5081216006
2019-07-04,1092238.581978908
2019-07-05,1105843.04031097
2019-07-08,1101955.902074924
2019-07-09,1098069.1141682772
2019-07-10,1100012.5081216006
2019-07-11,1103899.296028247
2019-07-12,1086408.2833424716
2019-07-15,1079261.7980839505
2019-07-16,1082579.053989102
2019-07-17,1072627.071994473
2019-07-18,1070415.6037709012
2019-07-19,1074838.7544972196
2019-07-22,1057256.798677094
2019-07-23,1063044.9256988836
2019-07-24,1070762.1579033209
2019-07-25,1063044.9256988836
2019-07-26,1064974.2627312017
2019-07-29,1052843.200913835
2019-07-30,1052843.200913835
2019-07-31,1040339.0627474077
2019-08-01,1042840.036120344
2019-08-02,1005327.864520479
2019-08-05,980319.750120569
2019-08-06,967815.7738870867
2019-08-07,967815.7738870867
2019-08-08,972817.3967670687
2019-08-09,970316.5043606051
2019-08-12,962814.070040632
2019-08-13,945308.4709271677
2019-08-14,955311.5547541864
2019-08-15,952810.7433141954
2019-08-16,950310.0938071497
2019-08-19,962814.070040632
2019-08-20,975318.0462741144
2019-08-21,972817.3967670687
2019-08-22,962814.070040632
2019-08-23,957812.5281271227
2019-08-26,920097.2012399453
2019-08-27,911146.8771890419
2019-08-28,912936.9850229042
2019-08-29,920097.2012399453
2019-08-30,927257.5250161904
2019-09-02,925404.6918999424
2019-09-03,920646.7663790454
2019-09-04,930162.524532007
2019-09-05,946814.8591334095
2019-09-06,949193.7845532169
2019-09-09,945992.4622704383
2019-09-10,944687.6243140097
2019-09-11,952516.571332633
2019-09-12,956431.0044819708
2019-09-13,962955.0328242178
2019-09-16,954624.5696613264
2019-09-17,939675.7325908614
2019-09-18,935404.6466113997
2019-09-19,922591.4609577133
2019-09-20,919743.9498302413
2019-09-23,909359.6896446144
2019-09-24,904231.6363761817
2019-09-25,866626.7340629493
2019-09-26,873464.1384208595
2019-09-27,835004.6119163428
2019-09-30,812783.3045204078
2019-10-02,815347.2284477149
2019-10-03,806800.5757072364
2019-10-04,807673.7384956275
2019-10-08,811166.4410026466
2019-10-09,788464.3112113868
2019-10-10,826883.2171333228
2019-10-11,843473.2587592994
2019-10-14,829502.9109123145
2019-10-15,831249.082428733
2019-10-16,826475.3765312597
