date,account_value
2010-01-05,1000000.0
2010-01-06,999970.0884568256
2010-01-07,999866.4119358704
2010-01-08,999785.2749308536
2010-01-11,999730.3668693482
2010-01-12,999999.357534767
2010-01-13,999488.8032392063
2010-01-14,1000014.4445258641
2010-01-15,1000144.3039231008
2010-01-18,1000211.0496648486
2010-01-19,1000110.8282453656
2010-01-20,974579.8384728113
2010-01-21,980235.2071334996
2010-01-22,963269.5177378334
2010-01-25,955729.2344834484
2010-01-26,925568.170896975
2010-01-27,927677.3875422862
2010-01-28,881491.7870684054
2010-01-29,837285.4381983664
2010-02-01,862357.3981476213
2010-02-02,843882.8822834876
2010-02-03,862305.6622471532
2010-02-04,857574.1416823588
2010-02-05,843379.9105572423
2010-02-08,839831.1668307504
2010-02-09,849294.0426757059
2010-02-10,847597.1521043292
2010-02-11,854460.3579964151
2010-02-12,864754.9140507688
2010-02-22,864754.9140507688
2010-02-23,856176.0646755209
2010-02-24,866973.167267514
2010-02-25,874821.0726286892
2010-02-26,859370.4042593964
2010-03-01,945207.4899374968
2010-03-02,901553.2261740692
2010-03-03,899346.004627896
2010-03-04,873594.831906033
2010-03-05,880706.8987967498
2010-03-08,881688.1147124297
2010-03-09,881442.7372672089
2010-03-10,882996.9228252892
2010-03-11,880234.4876436713
2010-03-12,841554.6233537915
2010-03-15,841002.3056220534
2010-03-16,882996.9228252892
2010-03-17,895659.1463749249
2010-03-18,892052.6383645376
2010-03-19,895659.1463749249
2010-03-22,907681.4837071737
2010-03-23,893254.779702886
2010-03-24,881556.5690419293
2010-03-25,864271.1548192119
2010-03-26,872151.243251524
2010-03-29,901637.8253361798
2010-03-30,914601.7946278668
2010-03-31,906213.293742857
2010-04-01,930107.6434323407
2010-04-02,955527.3523137189
2010-04-06,967474.557616911
2010-04-07,957052.2241704084
2010-04-08,928582.5279080487
2010-04-09,948155.6763341046
2010-04-12,942817.3455807782
2010-04-13,943071.6127240277
2010-04-14,967474.557616911
2010-04-15,959848.4317433455
2010-04-16,937225.1741025067
2010-04-19,885623.6249959089
2010-04-20,897062.2350957012
2010-04-21,909517.9746853925
2010-04-22,883579.910589139
2010-04-23,878501.9620739622
2010-04-26,870884.6401681108
2010-04-27,855650.439837615
2010-04-28,853111.4212319059
2010-04-29,869615.1308652564
2010-04-30,891197.143798749
2010-05-04,875962.8547720117
2010-05-05,891197.143798749
2010-05-06,851841.9119290517
2010-05-07,807840.9964567061
2010-05-10,769009.3384042617
2010-05-11,730870.5561347839
2010-05-12,710067.9615074034
2010-05-13,719082.1069208022
2010-05-14,719775.7553020354
2010-05-17,683717.3870149489
2010-05-18,672622.4896074171
2010-05-19,653206.9985929366
2010-05-20,653206.9985929366
2010-05-21,651820.0398422118
2010-05-24,684411.2285457487
2010-05-25,718388.7482639189
2010-05-26,754447.1648383971
2010-05-27,773862.8972898361
2010-05-28,768992.1981395378
2010-05-31,735747.2203506128
2010-06-01,732167.0108302728
2010-06-02,727819.5741580621
2010-06-03,729353.9671767846
2010-06-04,712072.971366625
2010-06-07,690974.5226971915
2010-06-08,690974.5226971915
2010-06-09,699765.5267865469
2010-06-10,690974.5226971915
2010-06-11,689216.27007268
2010-06-15,689216.27007268
2010-06-17,690974.5226971915
2010-06-18,676908.8902509023
2010-06-21,690974.5226971915
2010-06-22,685956.7880036779
2010-06-23,674803.1933762974
2010-06-24,672135.9485986179
2010-06-25,668498.8336064762
2010-06-28,665346.857097382
2010-06-29,664016.0142371983
2010-06-30,664014.8522212834
2010-07-01,637717.4440219731
2010-07-02,650208.0819690556
2010-07-05,629170.1554706425
2010-07-06,638374.7635031334
2010-07-07,643634.3245664231
2010-07-08,633115.2024398438
2010-07-09,646921.5273402325
2010-07-12,667959.5884674183
2010-07-13,645809.6842018387
2010-07-14,666097.9407478592
2010-07-15,656876.0459648392
2010-07-16,670050.1274772902
2010-07-19,691392.5268303177
2010-07-20,701022.0662116312
2010-07-21,715703.0444373392
2010-07-22,713868.0225981973
2010-07-23,712032.7998809122
2010-07-26,713868.0225981973
2010-07-27,698481.932922752
2010-07-28,717094.9170841288
2010-07-29,720523.660065086
2010-07-30,720768.7038578106
2010-08-02,732034.3482364727
2010-08-03,727871.0582889629
2010-08-04,721258.382355125
2010-08-05,705339.360443504
2010-08-06,715625.589386375
2010-08-09,730320.0351871562
2010-08-10,710455.0675186028
2010-08-11,710454.9396327843
2010-08-12,697570.7747148385
2010-08-13,706773.7966855874
2010-08-16,717817.3581260552
2010-08-17,723339.0971482727
2010-08-18,763831.1598223182
2010-08-19,749106.712343547
2010-08-20,773033.8891287775
2010-08-23,760150.1486881706
2010-08-24,765254.1921102187
2010-08-25,778498.4014717719
2010-08-26,796894.3949132344
2010-08-27,786593.0300566338
2010-08-30,798366.0989835641
2010-08-31,788783.2060636416
2010-09-01,798767.8303631678
2010-09-02,800764.6969331637
2010-09-03,790780.218358411
2010-09-06,800764.6969331637
2010-09-07,798767.8303631678
2010-09-08,794773.9514984026
2010-09-09,786786.3394936457
2010-09-10,782792.3877664938
2010-09-13,784789.4729236498
2010-09-14,790780.218358411
2010-09-15,774804.7757617369
2010-09-16,766817.16375698
2010-09-17,792777.0849284068
2010-09-20,774804.7757617369
2010-09-21,778071.3912535306
2010-09-27,778071.3912535306
2010-09-28,765552.9275906679
2010-09-29,772293.8423140642
2010-09-30,789626.9198382493
2010-10-08,796194.6076921414
2010-10-11,824702.7426203679
2010-10-12,830811.4853848411
2010-10-13,824702.7426203679
2010-10-14,822666.4207328748
2010-10-15,826774.7439271401
2010-10-18,778075.1240006875
2010-10-19,841154.5544015359
2010-10-20,844989.176628251
2010-10-21,867230.0221444558
2010-10-22,849590.8697053384
2010-10-25,934527.4729424905
2010-10-26,900399.3625756692
2010-10-27,865887.8540383767
2010-10-28,852466.7219964456
2010-10-29,852864.0430590415
2010-11-01,857065.3105079439
2010-11-02,863367.4032995009
2010-11-03,850763.5243055129
2010-11-04,857065.3105079439
2010-11-05,891549.1397946638
2010-11-08,871483.791795091
2010-11-09,879942.6025594037
2010-11-10,884860.502694444
2010-11-11,891745.9196408552
2010-11-12,848520.058982082
2010-11-15,852882.6705400425
2010-11-16,820163.2430340723
2010-11-17,820163.2430340723
2010-11-18,824525.854592033
2010-11-19,829859.2679356224
2010-11-22,841203.6022888309
2010-11-23,827241.7279142028
2010-11-24,835094.8948690778
2010-11-25,845566.8779234773
2010-11-26,857202.037159085
2010-11-29,874967.7416640518
2010-11-30,857202.037159085
2010-12-01,848319.0228492019
2010-12-02,826111.6491318939
2010-12-03,827495.7621862419
2010-12-06,843681.673936797
2010-12-07,837612.1105453499
2010-12-08,828507.7331392296
2010-12-09,817379.8016545303
2010-12-10,828509.4497708286
2010-12-13,911468.5902050937
2010-12-14,920930.8725003208
2010-12-15,899145.6008175815
2010-12-16,876480.6407002414
2010-12-17,872292.856152076
2010-12-20,852800.3562228864
2010-12-21,864983.1575656122
2010-12-22,869856.2603218739
2010-12-23,855236.8631489461
2010-12-24,855183.4254509034
2010-12-27,864908.0549675049
2010-12-28,852079.6017814698
2010-12-29,839251.3460899414
2010-12-30,868839.5781150879
2010-12-31,934636.9467598023
