date,account_value
2019-10-07,1000000.0
2019-10-08,999870.9868980903
2019-10-09,1005832.592814268
2019-10-10,1005094.149242151
2019-10-11,999690.4536975952
2019-10-12,999801.5810210955
2019-10-13,998864.7716646187
2019-10-14,1001631.0051304614
2019-10-15,995208.1076902434
2019-10-16,988331.1674008395
2019-10-17,991111.652997329
2019-10-18,964810.3568301847
2019-10-19,962211.2838948419
2019-10-20,975902.3283164027
2019-10-21,976833.2415576492
2019-10-22,982774.2417059658
2019-10-23,919225.5178962529
2019-10-24,928436.2324271977
2019-10-25,1074159.880974847
2019-10-26,1007774.2747957229
2019-10-27,1025184.0487051914
2019-10-28,1069088.8821335742
2019-10-29,1051490.2563448856
2019-10-30,1061539.1325264878
2019-10-31,1022943.421662421
2019-11-01,1027450.804858298
2019-11-02,1026158.1955367036
2019-11-03,1011493.2881918855
2019-11-04,1029271.8028555817
2019-11-05,1037308.6258784244
2019-11-06,1049830.3878613422
2019-11-07,1020414.3694401691
2019-11-08,975937.5771776262
2019-11-09,988481.6030946383
2019-11-10,1005065.7343408255
2019-11-11,987237.8685555367
2019-11-12,995163.7079472024
2019-11-13,1018442.7944557582
2019-11-14,998843.4263573573
2019-11-15,976848.8718937323
2019-11-16,994745.537923424
2019-11-17,999303.6989580081
2019-11-18,918337.5426486696
2019-11-19,913381.7174294981
2019-11-20,895618.2593133821
2019-11-21,817110.2096441163
2019-11-22,761274.8505331194
2019-11-23,787896.81248366
2019-11-24,708639.7587934649
2019-11-25,733325.2483483469
2019-11-26,761344.0077990211
2019-11-27,777379.5299342787
2019-11-28,762353.8555720961
2019-11-29,809080.655230156
2019-11-30,797452.5125502264
2019-12-01,803354.1853920138
2019-12-02,776595.4947692071
2019-12-03,781883.508920542
2019-12-04,766020.0180698549
2019-12-05,781956.9411121523
2019-12-06,791075.0818473017
2019-12-07,792462.3641902125
2019-12-08,797884.2800468123
2019-12-09,773167.0043507731
2019-12-10,759022.5852383291
2019-12-11,746198.0839136755
2019-12-12,751060.3292544996
2019-12-13,759646.3796397364
2019-12-14,747016.5253356611
2019-12-15,744349.7990983641
2019-12-16,689519.6709080851
2019-12-17,637750.4584757007
2019-12-18,712110.1710640108
2019-12-19,714430.1456659947
2019-12-20,723040.1907955324
2019-12-21,711772.1071809446
2019-12-22,734984.0574241793
2019-12-23,730528.412678591
2019-12-24,740126.9309526598
2019-12-25,724879.1673048651
2019-12-26,730547.5119434511
2019-12-27,746360.3242393649
2019-12-28,760743.311786524
2019-12-29,778667.5926304972
2019-12-30,765088.8427199041
2019-12-31,746331.9856189406
2020-01-01,751118.1786523974
2020-01-02,712117.1350558912
2020-01-03,762809.0662096655
2020-01-04,771537.0854986822
2020-01-05,781309.1519664442
2020-01-06,826064.3834677851
2020-01-07,825212.7079459345
2020-01-08,806685.7315274394
2020-01-09,799250.7393644964
2020-01-10,858334.4186350023
2020-01-11,852173.2683403824
2020-01-12,847548.8966702158
2020-01-13,847768.7656659245
2020-01-14,899035.2168473846
2020-01-15,937649.616663113
2020-01-16,948779.3263181886
2020-01-17,969742.6399592604
2020-01-18,973445.6457373254
2020-01-19,954004.6738069117
2020-01-20,970133.4949091359
2020-01-21,980028.7926666309
2020-01-22,989389.2322486001
2020-01-23,956308.8020555482
2020-01-24,960526.1269647161
2020-01-25,950918.835658522
2020-01-26,975297.1486263601
2020-01-27,1009797.0720314932
2020-01-28,1076431.1734598493
2020-01-29,1070547.4269761473
2020-01-30,1088239.7445161033
2020-01-31,1092222.6481014357
2020-02-01,1072988.0058610016
2020-02-02,1124392.802741284
2020-02-03,1136707.2201715887
2020-02-04,1176276.57515862
2020-02-05,1469826.5404386392
2020-02-06,1505454.6478556006
2020-02-07,1528610.5242675168
2020-02-08,1512134.6251128528
2020-02-09,1554135.3200124127
2020-02-10,1512177.2395833354
2020-02-11,1573769.7782777161
2020-02-12,1708202.2137077663
2020-02-13,1764011.110107979
2020-02-14,1734339.2438339675
2020-02-15,1598732.403133206
2020-02-16,1514666.148505167
2020-02-17,1449543.4916327817
2020-02-18,1505850.005551363
2020-02-19,1426726.3981558036
2020-02-20,1424750.4492308425
2020-02-21,1431957.827082889
2020-02-22,1378191.674046668
2020-02-23,1450274.1568310496
2020-02-24,1363554.5957636721
2020-02-25,1300913.0972380731
2020-02-26,1150957.0720447963
2020-02-27,1154046.1902368541
2020-02-28,1155844.3623093427
2020-02-29,1128027.9564842544
2020-03-01,1108138.3462284112
2020-03-02,1170070.7475431617
2020-03-03,1150889.3060106614
2020-03-04,1155642.6058384122
2020-03-05,1159069.365676599
2020-03-06,1184299.009242884
2020-03-07,1148400.9066874848
2020-03-08,1014213.6551385103
2020-03-09,1005013.860132436
2020-03-10,1003320.1119656847
2020-03-11,985639.5431478075
2020-03-12,617484.7987936658
2020-03-13,728476.8526057816
2020-03-14,673010.1379118126
2020-03-15,683425.5269804163
2020-03-16,603692.7217435999
2020-03-17,621905.3904905481
2020-03-18,626814.975420968
2020-03-19,745535.1367979211
2020-03-20,715803.5965290485
2020-03-21,710370.3785326896
2020-03-22,652912.7295212311
2020-03-23,700949.0322217522
2020-03-24,719509.9778797041
2020-03-25,706207.5920154463
2020-03-26,717436.5633441816
2020-03-27,682774.3817375664
2020-03-28,666396.2565579705
2020-03-29,630000.046285147
2020-03-30,681895.0279143251
2020-03-31,681299.8963362789
2020-04-01,690325.3120130635
2020-04-02,714155.0379864648
2020-04-03,717352.7407194331
2020-04-04,731678.8104809948
2020-04-05,767038.2331526672
2020-04-06,901947.5966871365
2020-04-07,864783.3331660671
2020-04-08,870577.917256553
2020-04-09,948028.1759491739
2020-04-10,850141.8174633579
2020-04-11,851993.7949494317
2020-04-12,848403.9114418975
2020-04-13,821159.3501548563
2020-04-14,816226.4970074184
2020-04-15,802258.3157531287
2020-04-16,899215.9747721091
2020-04-17,896414.6297465621
2020-04-18,919734.0930873619
2020-04-19,896549.8309740142
2020-04-20,861119.8785608565
2020-04-21,865866.8567251177
2020-04-22,910431.7239593148
2020-04-23,912431.4707928912
2020-04-24,942385.4847153194
2020-04-25,942318.2465351081
2020-04-26,958048.1617752675
2020-04-27,978349.2715834029
2020-04-28,1034882.933164296
2020-04-29,1096458.2687584732
2020-04-30,1027018.0068469081
2020-05-01,1068359.4708131612
2020-05-02,1100760.5106056107
2020-05-03,1076896.7163272384
2020-05-04,1096189.4412484088
2020-05-05,1068964.4892242556
2020-05-06,1063990.1159965731
2020-05-07,1079316.664760875
2020-05-08,1097399.478070604
2020-05-09,1060522.451428804
2020-05-10,945844.0784374578
2020-05-11,952487.6485109854
2020-05-12,982583.5688098767
2020-05-13,1002376.563342669
2020-05-14,1005530.9907611583
2020-05-15,988790.686808274
2020-05-16,998903.3435529504
2020-05-17,994184.131644302
2020-05-18,1007892.3136338625
2020-05-19,1006130.1175409588
2020-05-20,1006625.2266779975
2020-05-21,923358.1370236065
2020-05-22,986752.186482125
2020-05-23,986612.1427190541
2020-05-24,937619.5494117425
2020-05-25,1020827.0914812519
2020-05-26,1005270.6552046832
2020-05-27,947033.1403269873
2020-05-28,977420.8885535003
2020-05-29,982093.6683255649
2020-05-30,909245.2788731703
2020-05-31,876700.7260043195
2020-06-01,874808.7833631752
2020-06-02,865069.2789669419
2020-06-03,911071.3498711804
2020-06-04,914701.9703653723
2020-06-05,899214.7099554563
2020-06-06,903551.9586144414
2020-06-07,892653.5426674869
2020-06-08,928522.9457002666
2020-06-09,922836.6082664516
2020-06-10,919136.9804121044
2020-06-11,849066.9846706095
2020-06-12,881741.6179048375
2020-06-13,889275.2624356131
2020-06-14,888801.7635111134
2020-06-15,880234.9210731253
2020-06-16,886993.6471269559
2020-06-17,892633.1355875488
2020-06-18,881225.0590442806
2020-06-19,876396.629117807
2020-06-20,984323.0434295726
2020-06-21,931824.6797476967
2020-06-22,960685.701115222
2020-06-23,960477.6230393316
2020-06-24,966037.3507984311
2020-06-25,944086.6871801157
2020-06-26,916092.2423134659
2020-06-27,866331.8033486222
2020-06-28,893871.6731527325
2020-06-29,896278.580848676
2020-06-30,885046.8106409289
2020-07-01,871231.631408922
2020-07-02,896947.7037866574
2020-07-03,877987.4469736081
