date,account_value
2009-07-02,1000000.0
2009-07-06,1000041.0439550094
2009-07-07,999840.6128382738
2009-07-08,999938.0764496173
2009-07-09,999952.6695773773
2009-07-10,999820.026938074
2009-07-13,1000407.1486772718
2009-07-14,1000726.344793952
2009-07-15,1001644.213029416
2009-07-16,1002167.2631622154
2009-07-17,1002420.2614133424
2009-07-20,1002868.3727757997
2009-07-21,1003061.863996274
2009-07-22,1006134.0359234058
2009-07-23,1037421.5648540698
2009-07-24,1032844.3052562915
2009-07-27,1042099.9005051472
2009-07-28,1097184.3400803427
2009-07-29,1071905.8735276083
2009-07-30,1060209.748405538
2009-07-31,1058700.4016037802
2009-08-03,1032289.9916916707
2009-08-04,1024293.2187223982
2009-08-05,1011968.9746008469
2009-08-06,1018359.1984205794
2009-08-07,997431.2716399361
2009-08-10,977380.3540068795
2009-08-11,970432.456545942
2009-08-12,967448.9979411314
2009-08-13,987640.2046710203
2009-08-14,976848.559487457
2009-08-17,942066.9318870981
2009-08-18,961416.9315590342
2009-08-19,958121.9517998178
2009-08-20,960191.5617485675
2009-08-21,970333.2143211993
2009-08-24,965986.6858521136
2009-08-25,971524.9278768883
2009-08-26,939380.6983465538
2009-08-27,939705.2102217064
2009-08-28,934418.9818029234
2009-08-31,940328.1863622495
2009-09-01,910267.7192144224
2009-09-02,901314.4653987447
2009-09-03,913884.7927550833
2009-09-04,918301.3199138205
2009-09-08,883464.0975709804
2009-09-09,901234.3978334317
2009-09-10,923764.7710290798
2009-09-11,921023.4235416742
2009-09-14,936890.5934635492
2009-09-15,931355.5246158929
2009-09-16,948276.7532535882
2009-09-17,956658.0790592523
2009-09-18,965724.959796557
2009-09-21,961560.4862858148
2009-09-22,978060.420734057
2009-09-23,968149.6138492913
2009-09-24,965091.8865543695
2009-09-25,946326.2867008538
2009-09-28,962140.563312182
2009-09-29,967833.4888492913
2009-09-30,971892.5873600335
2009-10-01,943637.4748112054
2009-10-02,946906.0550114007
2009-10-05,983068.2029606195
2009-10-06,985756.2945133538
2009-10-07,1004206.592609057
2009-10-08,992029.2970768304
2009-10-09,997985.8659244867
2009-10-12,1002466.3615299554
2009-10-13,987073.7907291742
2009-10-14,1013694.8704410882
2009-10-15,994454.1569401117
2009-10-16,971997.8594547601
2009-10-19,977954.8399235101
2009-10-20,975108.1713444085
2009-10-21,945061.1692692132
2009-10-22,968413.4629703851
2009-10-23,950859.4698063226
2009-10-26,945641.143390307
2009-10-27,941634.4236637445
2009-10-28,940574.7685584587
2009-10-29,978538.6344794794
2009-10-30,953229.7085761593
2009-11-02,950188.1394361506
2009-11-03,947912.9259103785
2009-11-04,946396.5262331018
2009-11-05,956027.7591760437
2009-11-06,971617.044706134
2009-11-09,987206.4101693908
2009-11-10,984899.2420517304
2009-11-11,1003534.7633529999
2009-11-12,995890.7338730195
2009-11-13,986294.3629318574
2009-11-16,989028.7301498749
2009-11-17,985401.5683456757
2009-11-18,979758.6864208977
2009-11-19,966695.0739407341
2009-11-20,957713.7691807549
2009-11-23,967404.9732053939
2009-11-24,969163.1748045152
2009-11-25,979361.3135374254
2009-11-27,974095.6219448047
2009-11-30,948618.3320583301
2009-12-01,949611.0925945238
2009-12-02,945732.5115163417
2009-12-03,944148.3833272548
2009-12-04,957222.3042447658
2009-12-07,959203.3487279506
2009-12-08,943355.6560475917
2009-12-09,945336.9215924831
2009-12-10,958515.6322967602
2009-12-11,975637.7876960831
2009-12-14,988650.7724639965
2009-12-15,998470.9831641288
2009-12-16,1026524.6302283378
2009-12-17,1014410.5280173393
2009-12-18,1007111.05324793
2009-12-21,1018008.0950493829
2009-12-22,1029608.10806513
2009-12-23,1036113.3180529841
2009-12-24,1034816.2730128535
2009-12-28,1033000.2681643732
2009-12-29,1036490.7985814683
2009-12-30,1032956.0712255113
2009-12-31,1020500.8306249251
2010-01-04,1048340.0979208963
2010-01-05,1050418.2780280127
2010-01-06,1050418.2780280127
2010-01-07,1070683.3735041632
2010-01-08,1094325.7601046576
2010-01-11,1108095.655423643
2010-01-12,1076655.9909918825
2010-01-13,1093116.7612002413
2010-01-14,1119318.7742064516
2010-01-15,1133763.7733481447
2010-01-19,1180122.2292902987
2010-01-20,1160638.0797980349
2010-01-21,1146630.9123776935
2010-01-22,1155636.8451932452
2010-01-25,1161768.186929085
2010-01-26,1164064.4469650274
2010-01-27,1168681.8916061406
2010-01-28,1147693.0982711797
2010-01-29,1142857.1938119666
2010-02-01,1156080.8411889805
2010-02-02,1170830.7442651526
2010-02-03,1149029.9649417542
2010-02-04,1120152.1074664732
2010-02-05,1117169.6298701903
2010-02-08,1139244.607541291
2010-02-09,1150401.6378795784
2010-02-10,1141635.5597507635
2010-02-11,1163265.6262803043
2010-02-12,1147469.4070267642
2010-02-16,1166164.0161652532
2010-02-17,1178089.0724098345
2010-02-18,1200993.4539806503
2010-02-19,1212144.2895996233
2010-02-22,1197256.887920527
2010-02-23,1182862.7748757883
2010-02-24,1188204.9999734443
2010-02-25,1183307.9983636423
2010-02-26,1189392.2245446725
2010-03-01,1195773.1141320749
2010-03-02,1203934.5551034494
2010-03-03,1202005.3294488473
2010-03-04,1202302.3354226633
2010-03-05,1221171.104233117
2010-03-08,1208933.2477267694
2010-03-09,1231660.545206399
2010-03-10,1233699.2308864873
2010-03-11,1241858.1257038394
2010-03-12,1250890.8182583135
2010-03-15,1252056.4085140505
2010-03-16,1253804.3199520386
2010-03-17,1250307.7861576357
2010-03-18,1265459.432600049
2010-03-19,1276823.2266750613
2010-03-22,1269246.969003705
2010-03-23,1287604.1466312686
2010-03-24,1296053.4911213198
2010-03-25,1291974.399171857
2010-03-26,1299550.5778522769
2010-03-29,1307417.1272144595
2010-03-30,1309747.8337803166
2010-03-31,1304206.130385194
2010-04-01,1310056.4977481703
2010-04-05,1321759.2632053236
2010-04-06,1310641.771403108
2010-04-07,1313567.7166087965
2010-04-08,1305376.2546260695
