date,account_value
2018-02-05,1000000.0
2018-02-06,992948.8442819673
2018-02-07,1004443.4088764039
2018-02-08,989016.8402573166
2018-02-09,977129.1787264023
2018-02-12,989883.4641114579
2018-02-13,982492.9364618531
2018-02-14,990369.2321864015
2018-02-15,997557.0446622468
2018-02-16,1004369.4451070481
2018-02-19,995684.881871811
2018-02-20,1004573.4491172944
2018-02-21,1008558.815679184
2018-02-22,1003762.0071756898
2018-02-23,1013745.9658548889
2018-02-26,1022178.5032999574
2018-02-27,1018417.0379984436
2018-02-28,1015722.6939128115
2018-03-01,1011535.6550944521
2018-03-02,993024.1240885927
2018-03-05,1000737.2738688661
2018-03-06,998341.2223472598
2018-03-07,1011892.1951255801
2018-03-08,1013884.7997398379
2018-03-09,1035406.9281578066
2018-03-12,1034336.9003045047
2018-03-13,1012871.9651543581
2018-03-14,1010375.9013421024
2018-03-15,1005384.2071587527
2018-03-16,997214.6626520085
2018-03-19,989898.8227167057
2018-03-20,991054.3093500065
2018-03-21,987973.9348688053
2018-03-22,964497.852063416
2018-03-23,954760.6862919317
2018-03-26,948269.1909306035
2018-03-27,961657.7745487676
2018-03-28,959934.9047102438
2018-03-29,961618.0638975607
2018-04-03,960033.7731947409
2018-04-04,976469.9525389182
2018-04-05,1008302.8411421287
2018-04-06,1010035.6187986839
2018-04-09,1008302.8411421287
2018-04-10,1017956.6424498069
2018-04-11,1017195.2106100853
2018-04-12,1025458.9954764183
2018-04-13,1038171.6640173729
2018-04-16,1034993.2662283714
2018-04-17,1045998.4695402764
2018-04-18,1063156.0669829035
2018-04-19,1072960.3391386652
2018-04-20,1066424.1846281672
2018-04-23,1063308.7618915031
2018-04-24,1055751.8724872062
2018-04-25,1042938.1471454094
2018-04-26,1051480.6932879875
2018-04-27,1068321.5960430535
2018-04-30,1067853.845432702
2018-05-01,1066918.5732769403
2018-05-02,1071127.4888653192
2018-05-03,1066596.0214114925
2018-05-04,1070582.2979617852
2018-05-08,1075764.7727847833
2018-05-09,1077757.989886834
2018-05-10,1074545.4939622737
2018-05-11,1075497.778080926
2018-05-14,1086924.788792596
2018-05-15,1099685.172703729
2018-05-16,1097209.1702012874
2018-05-17,1112635.662571893
2018-05-18,1117015.994084344
2018-05-21,1129395.607884393
2018-05-22,1121015.8744554378
2018-05-23,1099304.4025926448
2018-05-24,1079306.834813104
2018-05-25,1057595.3629503108
2018-05-29,1043361.3241791164
2018-05-30,1054616.980825845
2018-05-31,1038058.238928262
2018-06-01,1054833.453833047
2018-06-04,1056741.2078640836
2018-06-05,1053273.6019070523
2018-06-06,1053090.9676297086
2018-06-07,1076269.4734890836
2018-06-08,1063868.1021499722
2018-06-11,1082588.1802749722
2018-06-12,1084371.061134347
2018-06-13,1096851.0904312222
2018-06-14,1106211.1294937222
2018-06-15,1074119.6841812222
2018-06-18,1067434.0005874722
2018-06-19,1060748.248634347
2018-06-20,1053616.6568374722
2018-06-21,1041582.3990249722
2018-06-22,1054508.2681655972
2018-06-25,1027319.6255874722
2018-06-26,1008789.9850371794
2018-06-27,999592.97545466
2018-06-28,996144.2753203826
2018-06-29,1017603.6953643279
2018-07-02,1002307.678397409
2018-07-03,1018666.6516029756
2018-07-04,1029719.7589638153
2018-07-05,1032814.6778480926
2018-07-06,1049209.0750860232
2018-07-09,1044155.4118169801
2018-07-10,1038222.6669286743
2018-07-11,1006032.6957372681
2018-07-12,1006588.1950668123
2018-07-13,1008297.6538070468
2018-07-16,1004306.6005843903
2018-07-17,1019410.2499984528
2018-07-18,1033137.9541984041
2018-07-19,1041483.5264640291
2018-07-20,1034065.3174796541
2018-07-23,1022010.8731437166
2018-07-24,1022127.8596670321
2018-07-25,1018350.2410146884
2018-07-26,1015652.221727579
2018-07-27,1020688.9963857821
2018-07-30,1031908.9739726962
2018-07-31,1031908.9739726962
2018-08-01,1041521.9416240634
2018-08-02,1018981.4847148838
2018-08-03,1030701.827609171
2018-08-06,1029242.769961466
2018-08-07,1032577.7235442296
2018-08-08,1048209.3653899328
2018-08-09,1053028.1795755103
2018-08-10,1052751.8089700416
2018-08-13,1053304.623179026
2018-08-14,1052198.7757669166
2018-08-15,1034159.8591499734
2018-08-16,1045533.1361885476
2018-08-17,1050515.6842842507
2018-08-20,1054631.4720650124
2018-08-21,1047789.3076710305
2018-08-22,1053201.3447193704
2018-08-23,1050833.4279713235
2018-08-24,1053539.4853443704
2018-08-28,1058246.6327537328
2018-08-29,1048711.1625999245
2018-08-30,1045471.4580100807
2018-08-31,1045010.1552757057
2018-09-03,1059047.056925486
2018-09-04,1054962.569742869
2018-09-05,1044643.5097147927
2018-09-06,1044858.44321699
2018-09-07,1031297.66208314
2018-09-10,1034426.9928631693
2018-09-11,1038599.0345806986
2018-09-12,1036165.323612681
2018-09-13,1031737.5574379986
2018-09-14,1037868.0956460064
2018-09-17,1035510.119693858
2018-09-18,1034095.533390147
2018-09-19,1048714.3010903425
2018-09-20,1074179.416568858
2018-09-21,1077951.9788247175
2018-09-24,1067105.7022133893
2018-09-25,1068752.223840373
2018-09-26,1069095.544152873
2018-09-27,1071843.132196086
2018-09-28,1063257.4421936446
2018-10-01,1066695.9113996078
2018-10-02,1058353.0677716779
2018-10-03,1067159.375510936
2018-10-04,1057426.0696027328
2018-10-05,1025187.7352288316
2018-10-08,1010237.8082268785
2018-10-09,998685.5753167223
2018-10-10,966180.7130120348
2018-10-11,924786.596948711
2018-10-12,911631.8189640917
2018-10-15,895589.5505925097
2018-10-16,907139.8806401172
2018-10-17,885807.5749495046
2018-10-18,885807.5749495046
2018-10-19,869401.9182112233
2018-10-22,872516.6960432546
2018-10-23,833934.4580668752
2018-10-24,821339.7104472463
2018-10-25,838027.6407450979
2018-10-26,821654.6207255666
2018-10-29,820380.5055728568
2018-10-30,829648.2240787161
2018-10-31,830198.9051700247
2018-11-01,839833.7246890677
2018-11-02,844788.9082217825
2018-11-05,849927.4944034233
2018-11-06,829740.073260845
2018-11-07,829464.8805728568
2018-11-08,832944.069257122
2018-11-09,834295.768475872
2018-11-12,841324.1271184501
2018-11-13,833214.409100872
2018-11-14,842023.3169163933
2018-11-15,830481.0640629998
2018-11-16,819793.8865575066
2018-11-19,832725.3365697135
2018-11-20,809109.9553673668
2018-11-21,822081.3433983726
2018-11-22,811504.6517174644
2018-11-23,816892.8346398277
2018-11-26,835532.9484626122
2018-11-27,832315.121008999
2018-11-28,829419.1132575341
2018-11-29,833602.3259040185
2018-11-30,837788.6125568659
2018-12-03,833424.7878193171
2018-12-04,818944.7877277643
2018-12-05,808332.9377521784
2018-12-06,789299.2824892391
2018-12-07,784144.6926760067
2018-12-10,768858.5531496395
2018-12-11,766103.4278444637
2018-12-12,767396.0009241146
2018-12-13,755069.6395959896
2018-12-14,756010.400338177
2018-12-17,756104.6598596615
2018-12-18,741090.5126448178
2018-12-19,740393.4374495053
2018-12-20,738912.4193830992
2018-12-21,733510.9008284116
2018-12-24,721596.6628053403
2018-12-27,707688.1369874692
2018-12-28,721971.3513124203
2018-12-31,714133.8759095883
2019-01-02,706256.4792108885
2019-01-03,697908.4035272948
2019-01-04,720486.0867548338
2019-01-07,723711.6067743651
2019-01-08,742800.2831090819
2019-01-09,737666.6832555664
2019-01-10,732454.2341588866
2019-01-11,742484.3771032225
2019-01-14,744347.2747434203
2019-01-15,746205.8440488403
2019-01-16,766652.2697995728
2019-01-17,756429.020867688
2019-01-18,768092.6325444764
2019-01-21,772133.8383550233
2019-01-22,763162.4510564393
2019-01-23,760091.1742314881
2019-01-24,732045.1860070389
2019-01-25,696268.3206887407
2019-01-28,688340.3637643021
2019-01-29,686510.92490627
2019-01-30,691407.9480378694
2019-01-31,682004.9506623812
2019-02-01,692191.5161531039
