date,account_value
2018-11-27,1000000.0
2018-11-28,1000076.754296521
2018-11-29,1000037.032663052
2018-11-30,999991.6531628185
2018-12-03,1000597.6318346526
2018-12-04,1000982.846338054
2018-12-05,1000328.1585718179
2018-12-06,999425.8592448795
2018-12-07,999669.6293604627
2018-12-10,998591.3696096333
2018-12-11,998611.1139538713
2018-12-12,1007679.6203209576
2018-12-13,1007679.6203209576
2018-12-14,985142.7434901367
2018-12-17,985142.7434901367
2018-12-18,965751.1528339684
2018-12-19,988152.549814254
2018-12-20,968568.0276342782
2018-12-21,954871.1529673489
2018-12-24,949000.9817913922
2018-12-27,947044.4494763764
2018-12-28,941174.342103854
2018-12-31,954871.1529673489
2019-01-02,905953.889279023
2019-01-03,931390.7872806939
2019-01-04,954871.1529673489
2019-01-07,960741.1327330025
2019-01-08,961236.6624673851
2019-01-09,953991.2448848732
2019-01-10,953905.4851292055
2019-01-11,979391.6018112581
2019-01-14,993955.0304611605
2019-01-15,1041286.0570286196
2019-01-16,1057669.9142597597
2019-01-17,1061310.8879669588
2019-01-18,1055849.485678522
2019-01-21,1063131.200003473
2019-01-22,1044927.0307358187
2019-01-23,1059490.5759304445
2019-01-24,1073424.7392553021
2019-01-25,1099507.6889070203
2019-01-28,1105526.6628831555
2019-01-29,1085463.0676015546
2019-01-30,1067405.6701806714
2019-01-31,1101513.9818662335
2019-02-01,1110516.32805623
2019-02-04,1118918.7549761673
2019-02-08,1097912.9018381974
2019-02-11,1109115.8807371994
2019-02-12,1116117.8603381058
2019-02-13,1124520.287258043
2019-02-14,1130121.6482104203
2019-02-15,1109115.8807371994
2019-02-18,1116117.8603381058
2019-02-19,1120319.0309656998
2019-02-20,1149192.1340274613
2019-02-21,1141414.330244045
2019-02-22,1170581.5091743274
2019-02-25,1207526.4918880267
2019-02-26,1186137.3010711474
2019-02-27,1168637.0121459765
2019-02-28,1149192.1340274613
2019-03-01,1180303.9943160815
2019-03-04,1191970.7921562
2019-03-05,1182248.399179439
2019-03-06,1193915.2891845508
2019-03-07,1145303.2321357531
2019-03-08,1114191.648342113
2019-03-11,1118080.642398815
2019-03-12,1133636.3421306415
2019-03-13,1133636.3421306415
2019-03-14,1143358.7351074023
2019-03-15,1149192.1340274613
2019-03-18,1160859.1161975665
2019-03-19,1155025.6251125142
2019-03-20,1155025.6251125142
2019-03-21,1188081.7980994983
2019-03-22,1182248.399179439
2019-03-25,1178359.3129577443
2019-03-26,1211415.4859447284
2019-03-27,1211415.4859447284
2019-03-28,1180303.9943160815
2019-03-29,1197804.1910762591
2019-04-01,1250305.2421817582
2019-04-02,1250305.2421817582
2019-04-03,1258083.0459651751
2019-04-04,1256138.6411018176
2019-04-08,1277527.8319186969
2019-04-09,1291139.3111171527
2019-04-10,1267805.438941936
2019-04-11,1226971.462171535
2019-04-12,1226971.462171535
2019-04-15,1242527.254068355
2019-04-16,1277527.8319186969
2019-04-17,1318362.0851840777
2019-04-18,1316417.4038257406
2019-04-23,1295028.213008861
2019-04-24,1287250.2248954577
2019-04-25,1265860.9419135852
2019-04-26,1283361.3230037494
2019-04-29,1275583.334890346
2019-04-30,1250305.2421817582
2019-05-02,1258083.0459651751
2019-05-03,1265860.9419135852
2019-05-06,1193915.2891845508
2019-05-07,1191970.7921562
2019-05-08,1168637.0121459765
2019-05-09,1127802.9432105822
2019-05-10,1155025.6251125142
2019-05-14,1127802.9432105822
2019-05-15,1147247.7291641042
2019-05-16,1147247.7291641042
2019-05-17,1121969.544290523
2019-05-20,1112247.059148769
2019-05-21,1118080.642398815
2019-05-22,1123913.856988887
2019-05-23,1104469.0710353656
2019-05-24,1092802.2731952472
2019-05-27,1090857.684001903
2019-05-28,1092802.2731952472
2019-05-29,1127802.9432105822
2019-05-30,1127802.9432105822
2019-05-31,1127802.9432105822
2019-06-03,1143290.409118198
2019-06-04,1133434.3080992925
2019-06-05,1128291.3666670807
2019-06-06,1154195.9845145233
2019-06-10,1143918.4553929528
2019-06-11,1145911.1666318139
2019-06-12,1137865.277039193
2019-06-13,1147363.8061624994
2019-06-14,1149103.354780143
2019-06-17,1143055.466918891
2019-06-18,1140771.5704227537
2019-06-19,1164759.5408664793
2019-06-20,1208545.1507911107
2019-06-21,1191252.8753127477
2019-06-24,1197349.513488161
2019-06-25,1201587.8266881579
2019-06-26,1208483.0465302458
2019-06-27,1211581.6781520834
2019-06-28,1211285.9556133195
2019-07-02,1215535.9922782823
2019-07-03,1224514.4449722215
2019-07-04,1215860.5882760927
2019-07-05,1231004.9349901127
2019-07-08,1226677.8116504594
2019-07-09,1222351.0782939836
2019-07-10,1224514.4449722215
2019-07-11,1245289.9313146118
2019-07-12,1242387.349367762
2019-07-15,1234214.8998763948
2019-07-16,1238008.377949515
2019-07-17,1266902.5858892389
2019-07-18,1233792.2123683877
2019-07-19,1239591.132710105
2019-07-22,1223063.1526302157
2019-07-23,1227301.9467691826
2019-07-24,1236211.592801516
2019-07-25,1227301.9467691826
2019-07-26,1229529.3917364525
2019-07-29,1213347.2327802835
2019-07-30,1210602.10143072
2019-07-31,1238881.278006848
2019-08-01,1263001.1192391478
2019-08-02,1252037.5071328243
2019-08-05,1254229.9924004637
2019-08-06,1235758.2945986916
2019-08-07,1235758.2945986916
2019-08-08,1236959.7063965371
2019-08-09,1258982.793827968
2019-08-12,1258679.7423363584
2019-08-13,1201165.3321238414
2019-08-14,1211450.5467591907
2019-08-15,1208279.210507932
2019-08-16,1204952.9242638506
2019-08-19,1208601.430519954
2019-08-20,1226844.4358910478
2019-08-21,1221371.5342797197
2019-08-22,1208601.430519954
2019-08-23,1218635.0834740556
2019-08-26,1170649.5675971867
2019-08-27,1159261.9975517155
2019-08-28,1161539.5663001896
2019-08-29,1170649.5675971867
2019-08-30,1211927.6397533582
2019-09-02,1211927.6397533582
2019-09-03,1196963.318721385
2019-09-04,1234592.1081970644
2019-09-05,1226554.7327794177
2019-09-06,1227483.147894774
2019-09-09,1223343.2595966903
2019-09-10,1221655.8622859563
2019-09-11,1239473.1735493278
2019-09-12,1240394.0192524528
2019-09-13,1243156.4628559684
2019-09-16,1234869.1320454213
2019-09-17,1215531.6527973746
2019-09-18,1210006.672084484
2019-09-19,1198676.8626379033
2019-09-20,1196449.0664104482
2019-09-23,1185308.8804077168
2019-09-24,1178624.6884817143
2019-09-25,1129608.3520158788
2019-09-26,1138520.6079172154
2019-09-27,1088390.3064006823
2019-09-30,1059425.8094061872
2019-10-02,1062767.771495249
2019-10-03,1051627.5854925176
2019-10-04,1052765.7147892972
2019-10-08,1057318.2989133855
2019-10-09,1027727.0710710546
2019-10-10,1077804.4254445096
2019-10-11,1104064.2605425974
