date,account_value
2010-01-05,1000000.0
2010-01-06,999970.0884568256
2010-01-07,999866.4119358704
2010-01-08,999785.2749308536
2010-01-11,999730.3668693482
2010-01-12,999999.357534767
2010-01-13,999488.8032392063
2010-01-14,1000014.4445258641
2010-01-15,1000144.3039231008
2010-01-18,1000211.0496648486
2010-01-19,1000110.8282453656
2010-01-20,999470.301418984
2010-01-21,999574.5832831502
2010-01-22,981267.9657223762
2010-01-25,973586.8013966621
2010-01-26,942862.2148221077
2010-01-27,939021.7387517036
2010-01-28,938777.2707834267
2010-01-29,931436.2316103005
2010-02-01,908599.0785379433
2010-02-02,904521.2211923623
2010-02-03,907654.8236923582
2010-02-04,916830.3256187803
2010-02-05,897067.7665758497
2010-02-08,895656.6045766241
2010-02-09,892061.3705909391
2010-02-10,892061.3705909391
2010-02-11,899284.6149566311
2010-02-12,910119.2154605526
2010-02-22,908553.5923548113
2010-02-23,881482.6684656512
2010-02-24,894385.7511835467
2010-02-25,902481.7210550674
2010-02-26,886542.6723719012
2010-03-01,975092.9832544695
2010-03-02,930058.8514795672
2010-03-03,927781.8618479143
2010-03-04,901216.7200785049
2010-03-05,908553.5923548113
2010-03-08,909565.823533095
2010-03-09,909312.6899500262
2010-03-10,905770.8206034075
2010-03-11,892108.7009210954
2010-03-12,882241.7054300674
2010-03-15,858459.5779352556
2010-03-16,866198.1879196459
2010-03-17,880378.4948604398
2010-03-18,876833.5213280016
2010-03-19,880378.4948604398
2010-03-22,868523.6622087737
2010-03-23,863598.6838342925
2010-03-24,853995.2769624968
2010-03-25,837250.5393259305
2010-03-26,845747.00618466
2010-03-29,850831.6736608372
2010-03-30,842357.269484602
2010-03-31,844052.2002607213
2010-04-01,864576.8024068195
2010-04-02,888205.7183461506
2010-04-06,899311.2550435383
2010-04-07,889623.1645131429
2010-04-08,863159.1297383625
2010-04-09,881353.3695302326
2010-04-12,876391.1188130695
2010-04-13,876627.473091634
2010-04-14,899311.2550435383
2010-04-15,892222.3820729573
2010-04-16,871192.9101949055
2010-04-19,823226.6383595784
2010-04-20,822742.0939051488
2010-04-21,829704.790400205
2010-04-22,807656.6028229573
2010-04-23,803014.9943339208
2010-04-26,786477.4584419684
2010-04-27,766566.6820046857
2010-04-28,771544.3455574468
2010-04-29,764907.3997073129
2010-04-30,782324.5446252101
2010-05-04,768951.3647560352
2010-05-05,782324.5446252101
2010-05-06,747777.176273274
2010-05-07,741090.7420598739
2010-05-10,760035.9374634498
2010-05-11,742205.3164600604
2010-05-12,760035.9374634498
2010-05-13,768146.577822002
2010-05-14,768887.5546598755
2010-05-17,730368.8808834873
2010-05-18,718516.9653885685
2010-05-19,712838.076779703
2010-05-20,706473.6935888327
2010-05-21,709655.8481281794
2010-05-24,727688.8971224822
2010-05-25,712660.3466358248
2010-05-26,716053.9412822787
2010-05-27,722841.3805637422
2010-05-28,717750.8635997835
2010-05-31,685349.1362229908
2010-06-01,682014.1740075672
2010-06-02,677964.5403329456
2010-06-03,679393.8261643971
2010-06-04,663296.5367561298
2010-06-07,643643.2777570206
2010-06-08,643643.2777570206
2010-06-09,651832.1205926853
2010-06-10,643643.2777570206
2010-06-11,642005.4609318693
2010-06-15,642005.4609318693
2010-06-17,643643.2777570206
2010-06-18,621237.7660364322
2010-06-21,638987.1762193851
2010-06-22,635616.955985468
2010-06-23,625281.9872430973
2010-06-24,626010.4574846752
2010-06-25,628977.4614274033
2010-06-28,627988.4370815285
2010-06-29,600297.6900541313
2010-06-30,599098.296081253
2010-07-01,575371.5878529629
2010-07-02,586641.6472463092
2010-07-05,567660.429364272
2010-07-06,575965.1923666677
2010-07-07,580710.5587957582
2010-07-08,571219.8259375772
2010-07-09,583676.3921610793
2010-07-12,601100.9869745591
2010-07-13,587157.9443672517
2010-07-14,590256.4359649041
2010-07-15,574764.0910313943
2010-07-16,580167.8284061978
2010-07-19,603994.0027628372
2010-07-20,624246.2796610425
2010-07-21,631989.7626038621
2010-07-22,636954.0865021637
2010-07-23,645405.0319386413
2010-07-26,646961.7333737303
2010-07-27,634285.3948212555
2010-07-28,646171.7227537299
2010-07-29,654392.6221124793
2010-07-30,647815.8786284591
2010-08-02,659325.2097217704
2010-08-03,654265.6880984076
2010-08-04,648321.8334021338
2010-08-05,634012.8979429968
2010-08-06,643258.7540564307
2010-08-09,643598.8625692842
2010-08-10,627346.4369029518
2010-08-11,627346.4369029518
2010-08-12,615969.572893333
2010-08-13,624095.8450276371
2010-08-16,633847.2648467537
2010-08-17,638723.1230091568
2010-08-18,674478.5069159981
2010-08-19,661476.4952215668
2010-08-20,682604.7197491641
2010-08-23,671228.0929440971
2010-08-24,671228.0929440971
2010-08-25,654975.4893743511
2010-08-26,653350.3416895386
2010-08-27,646849.276541185
2010-08-30,648474.6021294113
2010-08-31,641973.5369810577
2010-09-01,650099.8091153618
2010-09-02,651725.0161013122
2010-09-03,643598.8625692842
2010-09-06,651725.0161013122
2010-09-07,650099.8091153618
2010-09-08,646849.276541185
2010-09-09,640348.3299951073
2010-09-10,637097.7381197925
2010-09-13,638723.1230091568
2010-09-14,643598.8625692842
2010-09-15,630596.7915737148
2010-09-16,624095.8450276371
2010-09-17,645224.0695552345
2010-09-20,630596.7915737148
2010-09-21,628971.5252866264
2010-09-27,630596.7915737148
2010-09-28,622470.5787405487
2010-09-29,624095.8450276371
2010-09-30,628971.5252866264
2010-10-08,635472.6497361179
2010-10-11,658226.0812496658
2010-10-12,663101.7022075175
2010-10-13,658226.0812496658
2010-10-14,691296.9656455101
2010-10-15,696140.1190917076
2010-10-18,655135.1487471642
2010-10-19,708247.8871390404
2010-10-20,711476.6304213585
2010-10-21,730203.3722769798
2010-10-22,715351.2456328453
2010-10-25,786867.6743475975
2010-10-26,758131.8822485985
2010-10-27,729073.2697531761
2010-10-28,717772.7067877831
2010-10-29,706149.246380526
2010-11-01,746992.8835722985
2010-11-02,734723.6282813133
2010-11-03,687906.9662558617
2010-11-04,701951.8878180565
2010-11-05,731656.2951972069
2010-11-08,715189.6813437523
2010-11-09,722131.3985030235
2010-11-10,726167.2698218407
2010-11-11,726496.9933741391
2010-11-12,692665.2332418261
2010-11-15,696226.5258624849
2010-11-16,669516.9611485299
2010-11-17,655532.2836392032
2010-11-18,662558.510397266
2010-11-19,668179.2667405711
2010-11-22,677313.4055601464
2010-11-23,671976.0619888869
2010-11-24,679944.1889222828
2010-11-25,686584.1706888643
2010-11-26,681272.4416230288
2010-11-29,694002.5400562128
2010-11-30,679911.2620076975
2010-12-01,672865.4944438776
2010-12-02,655251.2040738901
2010-12-03,664438.8318032424
2010-12-06,664070.4542378584
2010-12-07,679907.6574544111
2010-12-08,679723.4467000166
2010-12-09,682669.8959588209
2010-12-10,693350.6481846968
2010-12-13,762776.5703229109
2010-12-14,770695.2598179976
2010-12-15,752463.8441151778
2010-12-16,733496.2445458571
2010-12-17,744729.5411481062
2010-12-20,738652.5197629133
2010-12-21,762224.2017201582
2010-12-22,762960.6053036848
2010-12-23,759645.9542531173
2010-12-24,761119.2008542219
2010-12-27,769774.2939328352
2010-12-28,758356.7426327864
2010-12-29,746939.3671063582
