date,account_value
2012-02-06,1000000.0
2012-02-07,1000029.2702271605
2012-02-08,1000035.3021821912
2012-02-09,999863.5627421915
2012-02-10,999596.0973780843
2012-02-13,999795.5352137919
2012-02-14,999667.7008545086
2012-02-15,999395.2344980796
2012-02-16,1000091.6374670826
2012-02-17,1000653.8675987211
2012-02-21,1000594.8431786106
2012-02-22,1000421.0740479038
2012-02-23,1000498.0863674686
2012-02-24,1005675.1322827579
2012-02-27,1004702.2805485965
2012-02-28,1019674.28148129
2012-02-29,1019443.4161362888
2012-03-01,1026286.3680157901
2012-03-02,1024390.1177392247
2012-03-05,1012847.8558907748
2012-03-06,997529.5569405797
2012-03-07,1000563.5448155643
2012-03-08,1001124.1818890813
2012-03-09,989763.2065186739
2012-03-12,997842.8652177097
2012-03-13,1018668.4400067569
2012-03-14,1015716.8950639011
2012-03-15,1024192.242134595
2012-03-16,1030639.4428048373
2012-03-19,1045380.5783925296
2012-03-20,1044572.6125226261
2012-03-21,1055274.044436002
2012-03-22,1065282.8174767734
2012-03-23,1059577.666033292
2012-03-26,1070691.1240945102
2012-03-27,1066882.285765195
2012-03-28,1081293.586786771
2012-03-29,1069174.224413419
2012-03-30,1057351.58119061
2012-04-02,1066717.3999009372
2012-04-03,1059627.0563874485
2012-04-04,1047309.8184094669
2012-04-05,1042643.4353432895
2012-04-09,1040203.0742821934
2012-04-10,1033640.4409394505
2012-04-11,1048645.4316125156
2012-04-12,1073461.3825593235
2012-04-13,1029913.9827046635
2012-04-16,999359.8277364017
2012-04-17,1005131.0214982273
2012-04-18,1001635.3029332402
2012-04-19,988196.7279706241
2012-04-20,982854.33799603
2012-04-23,985393.6682782413
2012-04-24,991445.1177392247
2012-04-25,1001635.3838117116
2012-04-26,991135.1180760853
2012-04-27,1016909.4260747426
2012-04-30,1014761.3260571948
2012-05-01,1030989.8886334889
2012-05-02,1013091.0736768239
2012-05-03,1017327.1458513885
2012-05-04,993934.3881571441
2012-05-07,1011549.7188837675
2012-05-08,1020274.1380312591
2012-05-09,1014213.6612398771
2012-05-10,1021722.698326364
2012-05-11,1019681.308468948
2012-05-14,1011526.1611434323
2012-05-15,1002876.2632819515
2012-05-16,1007077.1360637051
2012-05-17,1001640.9099208219
2012-05-18,999416.5527869564
2012-05-21,1004111.8031302792
2012-05-22,1013255.9542285304
2012-05-23,1005100.433928619
2012-05-24,1017210.104447494
2012-05-25,1015974.6267615658
2012-05-29,1020669.6906176906
2012-05-30,1015797.9371381603
2012-05-31,1023036.8234201275
2012-06-01,1008244.7171865307
2012-06-04,1012493.2187372051
2012-06-05,1008401.9274736249
2012-06-06,1028701.7818361126
2012-06-07,1034491.9226350534
2012-06-08,1043084.5748986948
2012-06-11,1007966.9467782724
2012-06-12,1025152.3391694772
2012-06-13,1004231.1485376107
2012-06-14,1037480.7896737802
2012-06-15,1040930.8352305987
2012-06-18,1054431.4533431623
2012-06-19,1062562.5276515577
