date,account_value
2022-09-28,1000000.0
2022-09-29,1000442.6292041892
2022-09-30,999537.179265406
2022-10-01,997909.1066269134
2022-10-02,993930.872111602
2022-10-03,1003471.9880767461
2022-10-04,1017528.8263768074
2022-10-05,1013640.2543151395
2022-10-06,1008523.100784045
2022-10-07,996591.5579480308
2022-10-08,992443.5609376407
2022-10-09,993335.3355599486
2022-10-10,978745.4621696802
2022-10-11,975295.0974671929
2022-10-12,979194.7510689255
2022-10-13,984623.6644074301
2022-10-14,977624.4354730605
2022-10-15,973492.3527541861
2022-10-16,982814.411077675
2022-10-17,993338.1482423411
2022-10-18,986373.7480687922
2022-10-19,977848.7925668876
2022-10-20,973103.813128652
2022-10-21,977831.9002327335
2022-10-22,981570.653704674
2022-10-23,995656.5829169007
2022-10-24,985429.4649942468
2022-10-25,1012241.561633527
2022-10-26,1037041.6522078817
2022-10-27,1019235.4035900137
2022-10-28,1032102.1934492056
2022-10-29,1041950.3089360042
2022-10-30,1032425.3257548213
2022-10-31,1027940.0658494428
2022-11-01,1027137.3537754253
2022-11-02,1013223.5941048728
2022-11-03,1020332.6084532838
2022-11-04,1065148.9747436552
2022-11-05,1070549.1703701082
2022-11-06,1049529.1817542836
2022-11-07,1042806.6717470608
2022-11-08,953260.1398018205
2022-11-09,838578.4120893143
2022-11-10,918201.6528172644
2022-11-11,896520.5159233937
2022-11-12,883956.9000950563
2022-11-13,869745.402380228
2022-11-14,882171.984844096
2022-11-15,890493.2681242413
2022-11-16,883555.5902308876
2022-11-17,883544.870159588
2022-11-18,885136.223918455
2022-11-19,887182.7450024624
2022-11-20,866170.5931697494
2022-11-21,851046.8093837447
2022-11-22,875051.7860247529
2022-11-23,902957.5559681728
2022-11-24,903142.892085076
2022-11-25,897340.7504539001
2022-11-26,897847.5722313896
2022-11-27,894196.5708650674
2022-11-28,883698.2814574172
2022-11-29,897288.0030923365
2022-11-30,920676.3455649848
2022-12-01,915033.0494232008
2022-12-02,921880.2514682647
2022-12-03,910997.1209302072
2022-12-04,913206.4095591264
2022-12-05,915212.8291068625
2022-12-06,916602.0408105876
2022-12-07,903158.2943510034
2022-12-08,920696.6711562929
2022-12-09,918048.9158593719
2022-12-10,917620.1444239167
2022-12-11,914215.9012342573
2022-12-12,916979.0613037412
2022-12-13,934086.7587281532
2022-12-14,929866.33980716
2022-12-15,911209.8677798548
2022-12-16,877949.4196230706
2022-12-17,883820.0334981285
2022-12-18,881443.0869942969
2022-12-19,867476.4238469703
2022-12-20,886826.1464826454
2022-12-21,886669.4065593586
2022-12-22,886099.2037176723
2022-12-23,883553.7187243478
2022-12-24,885569.2648414321
2022-12-25,887768.7170615577
2022-12-26,893090.5855892746
2022-12-27,886049.1665017896
2022-12-28,876726.4607081069
2022-12-29,877866.7446966574
2022-12-30,873761.6675549025
2022-12-31,875827.2748039428
2023-01-01,879813.4475896492
2023-01-02,887743.6362013232
2023-01-03,886756.447420972
2023-01-04,914555.7445062529
2023-01-05,912645.4890268383
2023-01-06,924712.2244431304
2023-01-07,924282.4651634141
2023-01-08,933091.463385795
2023-01-09,946909.2555494215
2023-01-10,953414.1988094896
2023-01-11,978050.3497481131
2023-01-12,992794.0205375018
2023-01-13,1014941.0719026285
2023-01-14,1038806.1533447114
2023-01-15,1035175.4747667783
2023-01-16,1022118.2639272255
2023-01-17,1028854.0754782024
2023-01-18,991797.6100168052
2023-01-19,1009735.81106862
2023-01-20,1048870.7770383998
2023-01-21,1044154.2812484228
2023-01-22,1053214.3163840433
2023-01-23,1067772.27094373
2023-01-24,1031062.9839964826
2023-01-25,1052759.666005528
2023-01-26,1054362.331603443
2023-01-27,1067971.0096574335
