date,account_value
2013-01-02,1000000.0
2013-01-03,999881.9025023041
2013-01-04,1000003.5346753091
2013-01-07,999942.5072876178
2013-01-08,999595.3122088691
2013-01-09,1000193.558593918
2013-01-10,1000638.757558676
2013-01-11,1000361.6317156422
2013-01-14,1000841.6313908189
2013-01-15,1001143.8532021097
2013-01-16,1000956.0965562604
2013-01-17,1002205.8267021172
2013-01-18,1002622.3509326356
2013-01-22,1003852.2562772211
2013-01-23,1004167.2303139712
2013-01-24,1004373.4704529844
2013-01-25,1006004.0720753503
2013-01-28,1006626.7821187435
2013-01-29,1008459.1401721244
2013-01-30,1007850.4225047833
2013-01-31,1006528.054532205
2013-02-01,1009375.6309092344
2013-02-04,1007464.8014791684
2013-02-05,1011341.2592160935
2013-02-06,1011866.4336986517
2013-02-07,1011201.5127553294
2013-02-08,1012273.8531088171
2013-02-11,1010952.1280065003
2013-02-12,1012255.0186455527
2013-02-13,1012449.599888732
2013-02-14,1012072.7330554639
2013-02-15,1012523.4523558408
2013-02-19,1013865.933447569
2013-02-20,1009098.1578273464
2013-02-21,1007517.7804173722
2013-02-22,1007996.4436293872
2013-02-25,1001086.3063515421
2013-02-26,1003604.8080175327
2013-02-27,1009911.2951418356
2013-02-28,1008693.3402059751
2013-03-01,1009202.0141143813
2013-03-04,1008475.2633696885
2013-03-05,1012938.9720440384
2013-03-06,1014545.338884051
2013-03-07,1016374.8422679468
2013-03-08,1021274.707040339
2013-03-11,1023475.9032634101
2013-03-12,1023213.6597812715
2013-03-13,1022935.8166840178
2013-03-14,1024835.9289127461
2013-03-15,1022668.3951917635
2013-03-18,1022282.5585182082
2013-03-19,1023409.2286498591
2013-03-20,1024756.5515723482
2013-03-21,1022865.9153830248
2013-03-22,1025794.3642548635
2013-03-25,1022724.387113528
2013-03-26,1030286.6001587617
2013-03-27,1029974.7089590575
2013-03-28,1033370.5140689561
2013-04-01,1034610.3083651941
2013-04-02,1045633.8695736357
2013-04-03,1039179.6031048791
2013-04-04,1043482.2026071604
2013-04-05,1041696.0295121917
2013-04-08,1044891.6188976925
2013-04-09,1046710.8558039721
2013-04-10,1055992.1625648784
2013-04-11,1059987.1811264055
2013-04-12,1060760.360359823
2013-04-15,1043410.4193184087
2013-04-16,1052705.0047083548
2013-04-17,1042790.6158443143
2013-04-18,1036067.297480213
2013-04-19,1050963.9780287931
2013-04-22,1050644.5441570203
2013-04-23,1056518.6537565
2013-04-24,1047975.9715303305
2013-04-25,1044432.6532711742
2013-04-26,1043924.3760469062
2013-04-29,1048189.9661143492
2013-04-30,1046439.6213268392
2013-05-01,1040779.3357951964
2013-05-02,1050447.997001705
2013-05-03,1059602.1553575743
2013-05-06,1065320.3663173597
2013-05-07,1071944.545221157
2013-05-08,1081490.83746426
2013-05-09,1082868.5586740682
2013-05-10,1088032.7627507246
2013-05-13,1085868.8717244565
2013-05-14,1090857.297919006
2013-05-15,1098880.5665512998
2013-05-16,1094109.2536287287
2013-05-17,1103863.5069012668
2013-05-20,1100227.8414436786
2013-05-21,1101141.302384051
2013-05-22,1096005.5053177306
2013-05-23,1094345.8484845245
2013-05-24,1100320.4508031013
2013-05-28,1106668.3417927597
2013-05-29,1096006.6485439518
2013-05-30,1101856.6777622793
2013-05-31,1082210.2564971368
2013-06-03,1090924.1600941045
2013-06-04,1083474.9593182046
2013-06-05,1069311.3436562975
2013-06-06,1076089.5751184127
2013-06-07,1092619.1248323333
2013-06-10,1095508.7688506744
2013-06-11,1091952.8754799888
2013-06-12,1083538.5634751823
2013-06-13,1097691.4473321426
2013-06-14,1093997.4686081111
2013-06-17,1104346.0908486412
2013-06-18,1116761.8534954174
2013-06-19,1101616.5228325354
2013-06-20,1073628.1500601757
2013-06-21,1083454.2612433785
2013-06-24,1071978.8480274684
2013-06-25,1076285.3318207185
2013-06-26,1092501.0150222625
2013-06-27,1102164.2478042028
2013-06-28,1094728.6971716
2013-07-01,1100251.5262585676
2013-07-02,1092457.9267290572
2013-07-03,1097934.9608624533
2013-07-05,1108961.2841597516
2013-07-08,1116823.6144210813
2013-07-09,1125656.5985881307
2013-07-10,1124982.8435054033
2013-07-11,1139066.7093236102
2013-07-12,1138297.683873064
2013-07-15,1137687.6096997163
2013-07-16,1132271.660744104
2013-07-17,1131398.9179980524
2013-07-18,1146420.470780235
2013-07-19,1153850.0937849672
2013-07-22,1152793.8878277682
2013-07-23,1155176.0315235995
2013-07-24,1150696.846687288
2013-07-25,1151363.2303165223
2013-07-26,1151009.3575193516
2013-07-29,1150312.768356159
2013-07-30,1150656.7243309305
2013-07-31,1152130.943571802
2013-08-01,1164531.2932543093
2013-08-02,1163120.7055550488
2013-08-05,1163934.5848264683
2013-08-06,1162127.7589094036
2013-08-07,1159228.5445944718
2013-08-08,1161633.5131197947
2013-08-09,1156739.9466932237
2013-08-12,1155173.322777027
2013-08-13,1159483.0724754331
2013-08-14,1149801.4571697805
2013-08-15,1133410.764534168
2013-08-16,1132219.2939304311
2013-08-19,1131330.4520852068
2013-08-20,1133122.0220144251
2013-08-21,1123155.841867752
2013-08-22,1129107.884394573
2013-08-23,1133187.3701465605
2013-08-26,1127942.3387159116
2013-08-27,1114122.6230920542
2013-08-28,1115704.1072126997
2013-08-29,1121458.9132561835
2013-08-30,1118576.302585121
2013-09-03,1123122.874247959
2013-09-04,1130402.9671603984
2013-09-05,1132591.7573465593
2013-09-06,1132943.26975189
2013-09-09,1143311.1455256594
2013-09-10,1152640.9059536913
2013-09-11,1159692.5047547892
2013-09-12,1158555.8438337
2013-09-13,1164078.9303394135
2013-09-16,1174867.7158431823
2013-09-17,1176304.2385906302
2013-09-18,1184028.28256581
2013-09-19,1179131.9000421113
2013-09-20,1166627.0948737515
2013-09-23,1168516.800854922
2013-09-24,1167640.0436178662
2013-09-25,1161189.5756135671
2013-09-26,1165160.5626847856
2013-09-27,1159717.644262825
2013-09-30,1149004.5177063062
2013-10-01,1153550.2694718607
2013-10-02,1150343.76643317
2013-10-03,1140693.5492834947
2013-10-04,1147276.6930971984
2013-10-07,1142856.3727037048
2013-10-08,1133380.590194988
2013-10-09,1134582.3660806005
