date,account_value
2022-06-30,1000000.0
2022-07-01,1010078.545605015
2022-07-04,1015265.9405905954
2022-07-05,1022115.7929671442
2022-07-06,1049013.1757561907
2022-07-07,1060041.599706632
2022-07-08,1066109.811079669
2022-07-11,1064454.5974658537
2022-07-12,1070867.1779855392
2022-07-13,1059938.490100054
2022-07-14,1050026.3284811622
2022-07-15,1073146.5069329813
2022-07-18,1077947.1612312729
2022-07-19,1088552.303379355
2022-07-20,1090932.5542931436
2022-07-21,1115642.445771005
2022-07-22,1115563.780453974
2022-07-25,1114843.5767230887
2022-07-26,1091076.3290611196
2022-07-27,1103300.3603754386
2022-07-28,1123351.6507028542
2022-07-29,1137712.6936823113
2022-08-01,1136703.9731910506
2022-08-02,1121723.3363523488
2022-08-03,1128599.7208537285
2022-08-04,1139672.6152676085
2022-08-05,1122339.4868733087
2022-08-08,1135013.3999981086
2022-08-09,1123066.4493823287
2022-08-10,1141214.2885557886
2022-08-11,1150391.3604931685
2022-08-12,1147534.3039578686
2022-08-15,1152731.3915841086
2022-08-16,1149373.9512324685
2022-08-17,1143248.7061045286
2022-08-18,1150372.6624104087
2022-08-19,1143091.4598022087
2022-08-22,1117621.3639524486
2022-08-23,1104402.3795984087
2022-08-24,1106032.9685441735
2022-08-25,1097644.2497570137
2022-08-26,1083214.8691189138
2022-08-30,1082132.1191730336
2022-08-31,1070567.3335607736
2022-09-01,1042457.9380596736
2022-09-02,1062092.3482760915
2022-09-05,1048603.5265535917
2022-09-06,1070148.3256093918
2022-09-07,1064452.0951555416
2022-09-08,1055284.3037574915
2022-09-09,1067424.0912469414
2022-09-12,1089806.2084797416
2022-09-13,1063983.5571046916
2022-09-14,1037677.8663634417
2022-09-15,1037915.9389721416
2022-09-16,1031118.2796742915
2022-09-20,1019870.6251219916
2022-09-21,1032875.3430657416
2022-09-22,1027193.6038019416
2022-09-23,1011476.1906545416
2022-09-26,1011555.8518442916
2022-09-27,995206.2886730917
2022-09-28,988190.7252201416
2022-09-29,948918.9616299917
2022-09-30,970700.3141605916
2022-10-03,966950.1056005416
2022-10-04,1000925.0154749417
2022-10-05,979350.6630806418
2022-10-06,963947.8697681916
2022-10-07,957871.0760418416
2022-10-10,971355.8049653918
2022-10-11,956472.7411190916
2022-10-12,936889.6102835916
2022-10-13,954540.5581323917
2022-10-14,965127.0373501916
2022-10-17,976860.7949749918
2022-10-18,980648.7203531916
2022-10-19,972439.8828237418
2022-10-20,974323.9140148917
2022-10-21,968334.5368818416
2022-10-24,984043.8501901417
2022-10-25,1002119.5799637417
2022-10-26,1007636.2849180417
2022-10-27,998281.4261253416
2022-10-28,992859.0236847416
2022-10-31,1002742.3483472416
2022-11-01,1011926.9610397918
2022-11-02,1011312.9062656916
2022-11-03,1002533.7174729916
2022-11-04,1021661.3544236916
2022-11-07,1023173.9404553915
2022-11-08,1036799.0155641417
2022-11-09,1050425.7504430914
2022-11-10,1088163.3067262915
2022-11-11,1096437.7662003415
2022-11-14,1096519.0006044416
2022-11-15,1096547.4652113914
2022-11-16,1080850.4777214418
2022-11-17,1080416.2813798415
2022-11-18,1088631.6451915416
2022-11-21,1085021.1812037916
2022-11-22,1083457.4875110416
2022-11-23,1101648.4852933413
2022-11-24,1108760.6444086914
2022-11-25,1108442.4615618417
2022-11-28,1099267.4635552417
2022-11-29,1094138.4365521416
2022-11-30,1094044.5273184415
2022-12-01,1102680.5646618418
2022-12-02,1119591.7383994416
2022-12-05,1113920.6828875917
2022-12-06,1108287.6908376415
2022-12-07,1101523.6927711417
2022-12-08,1093427.7524982914
2022-12-09,1096039.5268067957
2022-12-12,1086812.939671917
2022-12-13,1098936.4384049668
2022-12-14,1101882.6706638169
2022-12-15,1082232.6469236168
2022-12-16,1063381.232459617
2022-12-19,1064541.5024570168
2022-12-20,1055465.9038209228
2022-12-21,1077552.3664733754
2022-12-22,1066419.987588665
2022-12-23,1069599.3704538152
2022-12-28,1071505.117018585
2022-12-29,1077511.0633270552
2022-12-30,1070913.0115802153
2023-01-03,1079139.2625591254
2023-01-04,1093860.674660975
2023-01-05,1108302.8279872052
2023-01-06,1120472.094323305
2023-01-09,1119566.4861548652
2023-01-10,1118021.8564337355
2023-01-11,1128098.2911137152
2023-01-12,1146335.631107385
2023-01-13,1148044.6832041848
2023-01-16,1163125.858583685
2023-01-17,1167014.211435465
2023-01-18,1160708.8246527552
2023-01-19,1154696.809223605
2023-01-20,1162283.3594493251
2023-01-23,1164088.0422960252
2023-01-24,1159025.0269501652
2023-01-25,1157881.011943105
2023-01-26,1164111.209570995
2023-01-27,1173759.065289465
2023-01-30,1175938.0966647952
2023-01-31,1173695.171494675
2023-02-01,1180966.834355405
2023-02-02,1216536.0406185752
2023-02-03,1214202.9394603753
2023-02-06,1199481.482212615
2023-02-07,1188218.3731862754
2023-02-08,1191060.557782815
2023-02-09,1193806.4499539053
2023-02-10,1175288.9902114852
2023-02-13,1188484.3165334652
2023-02-14,1198213.7551324852
2023-02-15,1211849.788616155
2023-02-16,1211841.8076247652
2023-02-17,1213719.9759416354
2023-02-20,1212693.5976317055
2023-02-21,1208990.6700684752
2023-02-22,1210815.2605152752
2023-02-23,1208070.1247625053
2023-02-24,1205762.3703377752
2023-02-27,1218587.5826993752
2023-02-28,1229566.3058136452
2023-03-01,1231899.3166128052
2023-03-02,1235312.4853232752
2023-03-03,1238630.546285105
2023-03-06,1243761.114665305
2023-03-07,1237274.440712975
2023-03-08,1234470.7710662151
2023-03-09,1232300.1369736749
2023-03-10,1207891.2185595452
2023-03-13,1175407.470122155
2023-03-14,1201142.0550867151
2023-03-15,1165891.151962385
2023-03-16,1187573.5850377253
2023-03-17,1165364.8851559751
2023-03-20,1179361.418832275
2023-03-21,1199740.8837261053
2023-03-22,1204861.903401965
2023-03-23,1203748.5764796352
2023-03-24,1189431.9805560051
2023-03-27,1198856.6066036352
2023-03-28,1189837.6080062552
2023-03-29,1200927.494831965
2023-03-30,1214503.5534144053
2023-03-31,1213757.3184844654
2023-04-03,1213527.3456531651
2023-04-04,1216746.110046575
2023-04-05,1206869.796910095
2023-04-06,1216582.4006220652
2023-04-11,1224198.8195857252
2023-04-12,1229827.375527195
2023-04-13,1238517.293429655
2023-04-14,1245141.1152883251
2023-04-17,1246408.214533455
2023-04-18,1251428.8807641652
2023-04-19,1249031.4169458651
2023-04-20,1248904.5357167053
