date,account_value
2021-01-04,1000000.0
2021-01-05,1000017.9250472822
2021-01-06,1000164.5320393449
2021-01-07,1000052.9994425424
2021-01-08,1000164.2617426716
2021-01-11,1000437.8615686934
2021-01-12,1001720.0628154589
2021-01-13,1001361.4220240056
2021-01-14,1001411.598459689
2021-01-15,1001916.5509435104
2021-01-18,1002907.4890585458
2021-01-19,1004223.6143596866
2021-01-20,1003483.5415545077
2021-01-21,1003693.4121354129
2021-01-22,1001029.7413058032
2021-01-25,1002205.1148407893
2021-01-26,1000188.5906513736
2021-01-27,1001925.7765214348
2021-01-28,998969.5325477513
2021-01-29,997423.3015311989
2021-02-01,999513.5578114623
2021-02-02,1001345.5498685234
2021-02-03,1003367.6207231808
2021-02-04,1004203.8701904996
2021-02-05,1005418.8093994077
2021-02-08,1003738.8524109882
2021-02-09,1005743.9513732604
2021-02-10,1008930.7063364149
2021-02-11,1008901.779825439
2021-02-16,1009868.2420058239
2021-02-17,1015500.78363644
2021-02-18,1012547.3222230708
2021-02-19,1018164.3302680104
2021-02-22,1018199.6587880951
2021-02-23,1021057.4151194143
2021-02-24,1010347.8683758946
2021-02-25,1014866.3055446415
2021-02-26,1002901.3102408755
2021-03-01,1009218.078689937
2021-03-02,1006291.5165674987
2021-03-03,1010742.0835868368
2021-03-04,1003228.6563814573
2021-03-05,1003857.5056085
2021-03-08,1000688.6107719499
2021-03-09,998234.298615642
2021-03-10,997436.6089498359
2021-03-11,1003374.1441316757
2021-03-12,997645.2896276964
2021-03-15,996689.363645599
2021-03-16,999671.9479035563
2021-03-17,996420.3602473884
2021-03-18,994699.3793702563
2021-03-19,988929.9054745152
2021-03-22,988060.8826950442
2021-03-23,983700.2713567774
2021-03-24,981194.1730219446
2021-03-25,980430.0770836778
2021-03-26,984660.2045129593
2021-03-29,986491.6533841041
2021-03-30,989085.345476798
2021-03-31,985001.3068049164
2021-04-01,991496.6331293718
2021-04-07,986280.8540757792
2021-04-08,986969.4586846719
2021-04-09,983883.6715485497
2021-04-12,980610.2034510236
2021-04-13,980382.352374045
2021-04-14,983120.4452631534
2021-04-15,980867.004033184
2021-04-16,987452.6838650974
2021-04-19,989815.8719776954
2021-04-20,990398.510086207
2021-04-21,989049.7040200629
2021-04-22,991869.4748042866
2021-04-23,991280.7808946506
2021-04-26,986439.8822640203
2021-04-27,985781.2278989449
2021-04-28,985404.0008920282
2021-04-29,988933.042894017
2021-04-30,982677.7332490296
2021-05-03,980407.6541933017
2021-05-04,982104.9587971545
2021-05-05,981880.6863864618
2021-05-06,982950.2129034052
2021-05-07,979091.6618578786
2021-05-10,983883.0841072734
2021-05-11,978136.232466179
2021-05-12,980487.1162566175
2021-05-13,971207.3354368587
2021-05-14,979002.5155006195
2021-05-17,983574.1885943341
2021-05-18,993003.6241723874
2021-05-20,988749.1699019228
2021-05-21,986112.9321818895
2021-05-24,984262.6253784029
2021-05-25,994614.5933547952
2021-05-26,989564.0114143257
2021-05-27,988309.9164168919
2021-05-28,981173.0107882431
2021-05-31,977975.1076271877
2021-06-01,977013.0276335691
2021-06-02,975217.1220527584
2021-06-03,972072.6889054928
2021-06-04,970940.4996519343
2021-06-07,971039.7395152028
2021-06-08,971687.1829323072
2021-06-09,972478.7691742852
2021-06-10,971133.1337784983
2021-06-11,967033.6405062999
2021-06-15,962929.0376968659
2021-06-16,959627.3414807129
2021-06-17,952150.6907326288
2021-06-18,948625.8793548341
2021-06-21,947122.7470674274
2021-06-22,945983.8806408329
2021-06-23,947905.855767796
2021-06-24,947684.7952313935
2021-06-25,955763.7600421594
2021-06-28,954230.121056066
2021-06-29,947373.2197206812
2021-06-30,945701.8236436658
2021-07-02,938170.1289116845
2021-07-05,936500.0960563447
2021-07-06,937628.514761497
2021-07-07,936068.9366689007
2021-07-08,921177.9592213399
2021-07-09,919322.4669073075
2021-07-12,921035.851191177
2021-07-13,928200.0556064753
2021-07-14,924247.3838824887
2021-07-15,929115.973467458
2021-07-16,927268.1941786793
2021-07-19,920806.0891411604
2021-07-20,915646.1236826642
2021-07-21,916315.4787977887
2021-07-22,930366.4585274807
2021-07-23,925387.6296935165
2021-07-26,906562.2889201867
2021-07-27,886523.0247938527
2021-07-28,886434.0620542734
2021-07-29,899061.5630683803
2021-07-30,897437.8579943522
2021-08-02,912608.0174519606
2021-08-03,916089.1530157784
2021-08-04,919297.3422195374
2021-08-05,913648.029129158
2021-08-06,913013.2922770407
2021-08-09,921735.1969592827
2021-08-10,926026.4781215007
2021-08-11,932727.9145088769
2021-08-12,926156.5455028366
2021-08-13,930392.9174074302
2021-08-16,932722.8601436204
2021-08-17,924636.3346216122
2021-08-18,932012.617521351
2021-08-19,923218.4833870935
2021-08-20,914373.606623537
2021-08-23,917331.0255053941
2021-08-24,926078.7824198006
2021-08-25,903579.2647862699
2021-08-26,891293.1236336221
2021-08-27,892125.5287465127
2021-08-30,891271.0294788112
2021-08-31,901413.6056205778
2021-09-01,917553.9923449217
2021-09-02,925763.9724455315
2021-09-03,931227.4103756242
2021-09-06,943941.162770726
2021-09-07,945995.713885745
2021-09-08,935858.2845092271
2021-09-09,932491.5318881299
2021-09-10,944284.752954311
2021-09-13,943809.3333988383
2021-09-14,933406.845959899
2021-09-15,927545.1003777608
2021-09-16,913672.659230073
2021-09-17,917983.9801769229
2021-09-20,900920.5671855928
2021-09-21,903276.9196041308
2021-09-23,913033.6998194491
2021-09-24,904295.6668795842
2021-09-27,903428.4089243705
2021-09-28,910105.2219726124
2021-09-29,909361.0642014439
2021-09-30,910216.7884949108
2021-10-04,901239.6364193341
2021-10-05,902856.7356113733
2021-10-06,899546.5697639144
2021-10-07,916289.5954789557
2021-10-08,931586.9257632853
2021-10-11,938481.6064729614
2021-10-12,931643.3657835447
2021-10-15,932207.9772637539
2021-10-18,933515.2480063586
2021-10-19,942454.9888862821
2021-10-20,942911.8020176891
2021-10-21,952764.0625272447
2021-10-22,952084.3707903763
2021-10-25,945723.3891325307
2021-10-26,939987.9069311117
2021-10-27,930552.2816158201
2021-10-28,930819.0792687531
2021-10-29,922500.1723820956
2021-11-01,921664.518824549
2021-11-02,915273.308331061
2021-11-03,909490.8779862293
2021-11-04,911574.1214833723
2021-11-05,906423.3078368132
2021-11-08,909781.4420188677
2021-11-09,907257.7165064266
2021-11-10,910584.878084409
2021-11-11,923912.9913933541
2021-11-12,923644.9562717108
2021-11-15,923056.4322672246
2021-11-16,928339.488224164
2021-11-17,926944.1315576549
2021-11-18,918576.2857458165
2021-11-19,920447.1168179769
2021-11-22,914394.1747949896
2021-11-23,912236.4832601604
2021-11-24,913090.4086529003
2021-11-25,915515.0163296589
2021-11-26,899571.442980425
2021-11-29,894509.1401710858
2021-11-30,879372.2195191791
2021-12-01,879219.2988161371
2021-12-02,885134.0143807037
2021-12-03,887676.154150628
2021-12-06,881400.8048984942
2021-12-07,900502.573929037
2021-12-08,900275.1717555918
2021-12-09,907389.0290686893
2021-12-10,895286.4095534288
2021-12-13,896822.0698129531
2021-12-14,878768.9559137602
2021-12-15,878417.2517209
2021-12-16,882799.0203678659
2021-12-17,878987.3303698741
2021-12-20,867518.8849551755
2021-12-21,873058.2691164156
2021-12-22,876505.2754613392
2021-12-23,883532.4923818578
2021-12-24,893656.8391170454
2021-12-28,891188.2161189069
2021-12-29,883721.9740997829
2021-12-30,875867.5431704553
2021-12-31,885218.7556601097
2022-01-03,888896.8036912828
