date,account_value
2015-01-05,1000000.0
2015-01-06,999951.2383743769
2015-01-07,999993.4810063718
2015-01-08,999734.0331670204
2015-01-09,999675.4498722983
2015-01-12,999563.3140571924
2015-01-13,999640.0921609723
2015-01-14,999320.5111473933
2015-01-15,999827.5091171158
2015-01-16,999998.2962272229
2015-01-19,998289.7513729217
2015-01-20,999346.2518177988
2015-01-21,1000282.4759644191
2015-01-22,1000786.6226234233
2015-01-23,1000566.9223952345
2015-01-26,1000912.9144848983
2015-01-27,1000596.4687584649
2015-01-28,999519.0611601364
2015-01-29,998739.9470318521
2015-01-30,998321.5228526517
2015-02-02,997591.8721558622
2015-02-03,998293.3421314951
2015-02-04,997915.7805496498
2015-02-05,997047.7186299452
2015-02-06,996353.9991779285
2015-02-09,996525.9122746676
2015-02-10,997398.8460157753
2015-02-11,997284.8892854573
2015-02-12,997131.1481784484
2015-02-13,997602.7477912223
2015-02-16,997624.8464198108
2015-02-17,1000179.1740871385
2015-02-25,999536.1488540528
2015-02-26,1001943.4478220479
2015-02-27,1001390.6971809225
2015-03-02,1002555.4451630733
2015-03-03,1000010.6363360772
2015-03-04,999713.821478026
2015-03-05,997846.6137266597
2015-03-06,998442.1015656301
2015-03-09,999317.2260733771
2015-03-10,998980.7886217057
2015-03-11,1000173.3255747773
2015-03-12,1002079.8537468738
2015-03-13,1003226.9335553872
2015-03-16,1006424.4156869141
2015-03-17,1009729.8573166897
2015-03-18,1013455.4082022511
2015-03-19,1012780.7862336938
2015-03-20,1012379.1128027907
2015-03-23,1016019.9493781913
2015-03-24,1021872.9072624742
2015-03-25,1018889.5348225243
2015-03-26,1017083.1465663658
2015-03-27,1018418.2396687183
2015-03-30,1026107.291894621
2015-03-31,1021286.8714736465
2015-04-01,1024503.1241922302
2015-04-02,1026573.9512423365
2015-04-03,1030022.0368041588
2015-04-07,1033947.9452170682
2015-04-08,1031223.1782768489
2015-04-09,1029102.9587840457
2015-04-10,1030674.780673035
2015-04-13,1032041.652357573
2015-04-14,1030435.0166799198
2015-04-15,1027126.2288590099
2015-04-16,1031419.0998994941
2015-04-17,1038695.9099716941
2015-04-20,1036984.8766728365
2015-04-21,1039883.4489870383
2015-04-22,1044863.4587370369
2015-04-23,1052777.1964525653
2015-04-24,1052738.687399163
2015-04-27,1056688.5018576877
2015-04-28,1049130.6514497413
2015-04-29,1053429.236576168
2015-04-30,1050390.6208151702
2015-05-04,1059937.2142629058
2015-05-05,1041067.3242462063
2015-05-06,1034076.9763265839
2015-05-07,1029705.9965163493
2015-05-08,1034896.4427154489
2015-05-11,1040886.7670386513
2015-05-12,1039927.083620989
2015-05-13,1040469.8816042041
2015-05-14,1038948.4006192628
2015-05-15,1033758.6412079964
2015-05-18,1027966.3141953336
2015-05-19,1037457.198933693
2015-05-20,1038464.348084533
2015-05-21,1042426.8891976979
2015-05-22,1053629.240390221
2015-05-25,1063540.5363755561
2015-05-26,1068855.6234147241
2015-05-27,1069947.0016619693
2015-05-28,1043965.0291656582
2015-05-29,1043495.7999534215
2015-06-01,1060506.4102955041
2015-06-02,1062471.7718257199
2015-06-03,1056215.0679895664
2015-06-04,1055448.6206476777
2015-06-05,1072979.9211360263
2015-06-08,1088098.9919880729
2015-06-09,1089959.6267426102
2015-06-10,1088940.9236575605
2015-06-11,1090036.5974912841
2015-06-12,1093409.940221778
2015-06-15,1098842.8919673108
2015-06-16,1089090.4146381125
2015-06-17,1094181.3759241824
2015-06-18,1081657.3181813322
2015-06-19,1050117.8617556586
2015-06-23,1067329.4212673872
2015-06-24,1079510.628843672
