date,account_value
2017-10-02,1000000.0
2017-10-03,999982.0839246622
2017-10-04,999928.648474136
2017-10-05,1000018.9090016424
2017-10-06,1000196.0354608377
2017-10-09,1000026.1571566614
2017-10-10,1000218.1738097991
2017-10-11,1000490.5204169523
2017-10-12,1000080.4894944952
2017-10-13,999867.8741325643
2017-10-16,999253.2527354853
2017-10-17,998816.8053471976
2017-10-18,998713.8658549719
2017-10-19,1000018.610939897
2017-10-20,999882.4704885095
2017-10-23,1000294.5690144051
2017-10-24,1001130.2238105565
2017-10-25,999267.7630643111
2017-10-26,1000175.01546047
2017-10-27,1001569.8101823683
2017-10-30,997434.2025160681
2017-10-31,995323.5643933045
2017-11-01,996938.7762687764
2017-11-02,993715.9936848863
2017-11-03,1000290.4475989048
2017-11-06,997082.3033280792
2017-11-07,998178.7145388252
2017-11-08,999322.3882779162
2017-11-09,997838.3745009887
2017-11-10,998454.4331514228
2017-11-13,1002019.3925077941
2017-11-14,1001638.4175529745
2017-11-15,997914.3215816692
2017-11-16,1001997.1511570851
2017-11-17,1001656.0283624975
2017-11-20,1005234.4049232722
2017-11-21,1005760.244727489
2017-11-22,1005188.3787174353
2017-11-24,1005031.0012284215
2017-11-27,1007721.2160819976
2017-11-28,1016055.2755607453
2017-11-29,1024451.1070614627
2017-11-30,1028843.2815841234
2017-12-01,1026855.706756644
2017-12-04,1040904.3573785655
2017-12-05,1026950.2157769225
2017-12-06,1015612.5889332481
2017-12-07,1022779.9799989373
2017-12-08,1025626.7318199245
2017-12-11,1024123.8427960154
2017-12-12,1026080.4394095218
2017-12-13,1028592.8632215853
2017-12-14,1021666.1552614955
2017-12-15,1029232.346066033
2017-12-18,1035652.8162893454
2017-12-19,1035034.4162911824
2017-12-20,1034751.634676786
2017-12-21,1037339.0300979747
2017-12-22,1037152.3045545666
2017-12-26,1036800.5844523117
2017-12-27,1039423.5280586078
2017-12-28,1040815.5217637587
2017-12-29,1038724.6121020939
2018-01-02,1050984.4504415048
2018-01-03,1059480.3683446092
2018-01-04,1066483.8468605615
2018-01-05,1076027.3064374838
2018-01-08,1078343.0858531154
2018-01-09,1077244.0018206956
2018-01-10,1077069.5395349218
2018-01-11,1094308.7628449549
2018-01-12,1114992.8910131485
2018-01-16,1113343.8623796983
2018-01-17,1121733.8032356242
2018-01-18,1119857.1322577621
2018-01-19,1127464.1193841775
2018-01-22,1133980.8486714566
2018-01-23,1129895.2222265531
2018-01-24,1126331.586267484
2018-01-25,1127209.3998729151
2018-01-26,1140839.873448788
2018-01-29,1131056.6308501072
2018-01-30,1118532.1030735278
2018-01-31,1114091.856613135
2018-02-01,1093673.754848553
2018-02-02,1080113.2046740253
2018-02-05,1039039.8165447661
2018-02-06,1052376.388847396
2018-02-07,1048961.1691326415
2018-02-08,1011973.2892817642
2018-02-09,1017354.9522462564
2018-02-12,1026541.9623991925
2018-02-13,1027183.2456847872
2018-02-14,1035668.3384242747
2018-02-15,1040844.7192727362
2018-02-16,1038153.0533958094
2018-02-20,1027647.1893304611
2018-02-21,1022683.0999090256
2018-02-22,1025527.4673776737
2018-02-23,1037098.632328208
2018-02-26,1053165.999996144
2018-02-27,1038076.0180054037
2018-02-28,1013046.1858177765
2018-03-01,1011804.5048119074
2018-03-02,1004436.3467798029
2018-03-05,1011217.3987519171
