date,account_value
2022-09-28,1000000.0
2022-09-29,1000033.2139823046
2022-09-30,999912.7538818067
2022-10-01,999815.550212776
2022-10-02,999396.819103783
2022-10-03,1000285.6151311831
2022-10-04,1001270.5715310709
2022-10-05,1000903.7691487002
2022-10-06,1000079.8994509615
2022-10-07,999541.7964634626
2022-10-08,998989.2559551548
2022-10-09,999871.2215648168
2022-10-10,997966.1278158032
2022-10-11,996889.1041563138
2022-10-12,996945.2138138938
2022-10-13,996107.3944793335
2022-10-14,995993.7390326468
2022-10-15,995069.5382195144
2022-10-16,997268.1053592399
2022-10-17,998363.963747727
2022-10-18,998309.6275079597
2022-10-19,996842.6572321514
2022-10-20,995682.7500828842
2022-10-21,996619.9476466269
2022-10-22,997249.906122396
2022-10-23,1001764.4451854088
2022-10-24,998176.3936055299
2022-10-25,1003494.4070950719
2022-10-26,1006155.7381775607
2022-10-27,1002642.0165875626
2022-10-28,1006739.4547428295
2022-10-29,1010273.9937589113
2022-10-30,1009914.5722742167
2022-10-31,1011392.3231159381
2022-11-01,1010141.7582623528
2022-11-02,1012329.0151518378
2022-11-03,1018876.4694580582
2022-11-04,1039130.1046635897
2022-11-05,1043097.4739708236
2022-11-06,1031733.5513568046
2022-11-07,1032413.9751540814
2022-11-08,999891.3098735341
2022-11-09,959943.9012182916
2022-11-10,994717.8567253589
2022-11-11,987740.792307955
2022-11-12,977377.245591299
2022-11-13,970645.6505569922
2022-11-14,972595.7380229114
2022-11-15,975993.2305056776
2022-11-16,971405.5821370828
2022-11-17,977325.2352576604
2022-11-18,979888.645025901
2022-11-19,982904.7037910037
2022-11-20,973405.569201033
2022-11-21,969118.7835800766
2022-11-22,993594.5341278755
2022-11-23,1027577.6148929277
2022-11-24,1026870.0902609486
2022-11-25,1016818.5925724395
2022-11-26,1027337.2690845898
2022-11-27,1022314.4919876431
2022-11-28,1013351.8940973242
2022-11-29,1023481.3862834687
2022-11-30,1037595.3662512298
2022-12-01,1031966.7325311163
2022-12-02,1035829.5475933246
2022-12-03,1027417.1913748656
2022-12-04,1030563.7945045832
2022-12-05,1039456.0903067838
2022-12-06,1038078.5850431737
2022-12-07,1022864.169330847
2022-12-08,1031739.4527124335
2022-12-09,1025735.1333550111
2022-12-10,1027034.8596429487
2022-12-11,1024595.3533833046
2022-12-12,1022816.4274543452
