date,account_value
2013-01-02,1000000.0
2013-01-03,999967.9225134905
2013-01-04,1000064.5196919402
2013-01-07,999930.306781946
2013-01-08,999854.1853809471
2013-01-09,1000039.1769540574
2013-01-10,1000430.1098326681
2013-01-11,1000486.785225153
2013-01-14,1000706.3152110958
2013-01-15,1001034.0235495872
2013-01-16,1001276.3642714289
2013-01-17,1002084.1787581558
2013-01-18,1002645.4487941208
2013-01-22,1003247.5246281719
2013-01-23,1003979.4608597318
2013-01-24,1003848.1826746692
2013-01-25,1005812.1936584377
2013-01-28,1006130.6777864285
2013-01-29,1007778.7265323203
2013-01-30,1006895.0237323747
2013-01-31,1006530.2352163052
2013-02-01,1008953.9457797244
2013-02-04,1006243.3117237892
2013-02-05,1008554.5558266679
2013-02-06,1009951.0492220576
2013-02-07,1008999.9909302467
2013-02-08,1010127.6698798679
2013-02-11,1010116.0336728157
2013-02-12,1011555.5570979769
2013-02-13,1010907.3723830549
2013-02-14,1010818.7927074264
2013-02-15,1010814.5055189211
2013-02-19,1012960.390131365
2013-02-20,1009771.0224840203
2013-02-21,1009028.6688705081
2013-02-22,1011761.3914276807
2013-02-25,1006449.172644941
2013-02-26,1009840.8890561311
2013-02-27,1014895.0828782711
2013-02-28,1014606.4843376752
2013-03-01,1016076.9967992726
2013-03-04,1017449.4973733446
2013-03-05,1021639.3413666326
2013-03-06,1023160.2603948556
2013-03-07,1024017.1936181148
2013-03-08,1028915.366621298
2013-03-11,1030418.8324749988
2013-03-12,1028543.4265656169
2013-03-13,1029274.8093907187
2013-03-14,1032771.2088967327
2013-03-15,1030815.1272214148
2013-03-18,1026793.3394858629
2013-03-19,1026796.145446564
2013-03-20,1030657.921367144
2013-03-21,1027504.1791784957
2013-03-22,1034025.3005202087
2013-03-25,1029199.5523494458
2013-03-26,1034450.9294625917
2013-03-27,1032070.9002407363
2013-03-28,1033347.0728663239
2013-04-01,1033407.1899614852
2013-04-02,1040451.0067463097
2013-04-03,1033288.9372268433
2013-04-04,1037937.3128887657
2013-04-05,1037563.3495114121
2013-04-08,1041651.071540421
2013-04-09,1042930.1767845864
2013-04-10,1051148.4649735703
2013-04-11,1056289.267193791
2013-04-12,1059245.923472304
2013-04-15,1042864.8936546692
2013-04-16,1052609.1873820024
2013-04-17,1044425.141998484
2013-04-18,1040510.2747714943
2013-04-19,1049190.144000418
2013-04-22,1050103.2844036545
2013-04-23,1059506.54350281
2013-04-24,1052756.5782806382
2013-04-25,1050386.0320612607
2013-04-26,1051791.2677679677
2013-04-29,1059366.625818501
2013-04-30,1058848.4291971822
2013-05-01,1052975.420095652
2013-05-02,1063822.3653633045
2013-05-03,1074159.931237765
2013-05-06,1073164.855717336
2013-05-07,1078250.3796383615
2013-05-08,1078908.5384042563
2013-05-09,1079391.455101091
2013-05-10,1083409.3066493373
2013-05-13,1084288.7166839002
2013-05-14,1093041.066804769
2013-05-15,1099198.6708337837
2013-05-16,1091575.4341579548
2013-05-17,1096881.668460197
2013-05-20,1096310.0031456065
2013-05-21,1100784.0138129382
2013-05-22,1098040.397334395
2013-05-23,1093940.004948565
2013-05-24,1098683.0862313714
2013-05-28,1106845.4056859412
2013-05-29,1094373.1699397978
2013-05-30,1091377.0524134813
2013-05-31,1073694.8437289738
2013-06-03,1083372.9052923885
2013-06-04,1079865.3551298748
2013-06-05,1064534.1509930855
2013-06-06,1067448.0960025964
2013-06-07,1083416.1437493777
2013-06-10,1084160.5910727764
2013-06-11,1076718.5787628589
2013-06-12,1067423.6525646625
2013-06-13,1082583.3646875662
2013-06-14,1075732.4102593989
2013-06-17,1083598.954338081
2013-06-18,1091822.2162547088
2013-06-19,1077710.2392817435
2013-06-20,1050427.1760745158
2013-06-21,1058258.9663451838
2013-06-24,1048930.927016832
2013-06-25,1055801.0470047917
2013-06-26,1066908.6009701276
2013-06-27,1072922.3652327065
2013-06-28,1066525.3506551653
2013-07-01,1072859.7590839486
2013-07-02,1072960.0363324417
2013-07-03,1076280.707562513
2013-07-05,1084874.396149097
2013-07-08,1091184.1643154435
2013-07-09,1098994.6094987055
2013-07-10,1098729.3464640821
2013-07-11,1111856.9354562582
2013-07-12,1116794.079893024
2013-07-15,1113412.2269134345
2013-07-16,1109834.116453235
2013-07-17,1109616.358750585
2013-07-18,1114637.3365154834
2013-07-19,1117791.274260549
2013-07-22,1112856.7620103583
2013-07-23,1111667.9883403392
2013-07-24,1109630.892676762
2013-07-25,1112986.6681156468
2013-07-26,1114642.7883482443
2013-07-29,1111292.8156212792
2013-07-30,1110618.2262147698
2013-07-31,1110787.792699858
2013-08-01,1121278.611073953
