date,account_value
2022-06-30,1000000.0
2022-07-01,1000935.2808899756
2022-07-04,1004982.638225235
2022-07-05,983875.4668908626
2022-07-06,1004741.0301334506
2022-07-07,1014867.0669864677
2022-07-08,1017988.2090510303
2022-07-11,1020100.9863503231
2022-07-12,1023263.1194965739
2022-07-13,1010788.2691663848
2022-07-14,1007037.6534367984
2022-07-15,1032804.2765006978
2022-07-18,1042964.443607629
2022-07-19,1054527.8920571248
2022-07-20,1047950.3868437839
2022-07-21,1060866.9567760255
2022-07-22,1056956.6927585027
2022-07-25,1053360.5979080088
2022-07-26,1045764.9886380275
2022-07-27,1054027.7957594332
2022-07-28,1065657.3948182047
2022-07-29,1074247.5709671045
2022-08-01,1070106.2216868245
2022-08-02,1061463.7204962943
2022-08-03,1069130.5380973243
2022-08-04,1082877.7227352145
2022-08-05,1069599.2516957445
2022-08-08,1078587.5386431946
2022-08-09,1068852.4145105847
2022-08-10,1085436.1454979943
2022-08-11,1078240.4882828044
2022-08-12,1081562.6129139045
2022-08-15,1090629.9089825444
2022-08-16,1083838.8139143146
2022-08-17,1081138.8186682446
2022-08-18,1091720.7483944744
2022-08-19,1085834.5808102046
2022-08-22,1077135.2190753145
2022-08-23,1055366.5305089946
2022-08-24,1061347.8831485843
2022-08-25,1061543.5011841643
2022-08-26,1045242.7462951844
2022-08-30,1032721.1557532944
2022-08-31,1020453.9210642445
2022-09-01,996996.3657730843
2022-09-02,1018496.8033730545
2022-09-05,1013506.4654089944
2022-09-06,1022888.2596854644
2022-09-07,1019428.9174562444
2022-09-08,1031230.9185163644
2022-09-09,1043735.9078605045
2022-09-12,1063746.5087642744
2022-09-13,1041242.9795393045
2022-09-14,1021410.6420038844
2022-09-15,1017698.2730442345
2022-09-16,1008893.8862156044
2022-09-20,997902.7725872543
2022-09-21,1010162.4872612543
2022-09-22,992691.5392704043
2022-09-23,988975.7564621945
2022-09-26,995459.3966113745
2022-09-27,968422.9376674845
2022-09-28,975714.2563826945
2022-09-29,947940.6782216046
2022-09-30,963342.6478737044
2022-10-03,962481.2915873046
2022-10-04,987886.2968226245
2022-10-05,982101.7340981745
2022-10-06,980233.6395118246
2022-10-07,968720.8354151745
2022-10-10,967861.8779418545
2022-10-11,957335.7840576845
2022-10-12,942693.6398732844
2022-10-13,947979.8131807045
2022-10-14,952067.7782016944
2022-10-17,966926.6515865544
2022-10-18,973243.1567164643
2022-10-19,959840.4936553445
2022-10-20,963817.3833178146
2022-10-21,958798.5202069144
2022-10-24,971440.9522258446
2022-10-25,979692.5983718046
2022-10-26,1002162.2193410245
2022-10-27,991812.9565932044
2022-10-28,990847.8112776845
2022-10-31,997414.8322212145
2022-11-01,999590.2375216444
2022-11-02,998762.4621170843
2022-11-03,999197.4075906845
2022-11-04,1020628.2156261343
