date,account_value
2021-01-04,1000000.0
2021-01-05,1000032.9342072405
2021-01-06,1000121.5370870677
2021-01-07,1000213.0915352448
2021-01-08,1000435.2243859159
2021-01-11,1000453.5945725853
2021-01-12,1001252.9390881682
2021-01-13,1001276.6796299161
2021-01-14,1001688.2924240137
2021-01-15,1002187.8525454825
2021-01-18,1002160.5664071826
2021-01-19,1003664.9264055662
2021-01-20,1003046.0113811443
2021-01-21,1003746.8650532691
2021-01-22,1001600.7587964543
2021-01-25,1003971.4550352936
2021-01-26,1001287.2640969844
2021-01-27,1001246.8037194809
2021-01-28,999289.3838121356
2021-01-29,997090.6670579349
2021-02-01,998784.7060562512
2021-02-02,1000023.0630773995
2021-02-03,1001287.8832749017
2021-02-04,1001976.115778552
2021-02-05,1002506.5005816398
2021-02-08,1001505.39780466
2021-02-09,1001891.3541512867
2021-02-10,1005745.41076829
2021-02-11,1005881.5855310434
2021-02-16,1009633.3735331282
2021-02-17,1014028.0385305214
2021-02-18,1011871.2226287315
2021-02-19,1013893.7397954739
2021-02-22,1013149.7573893205
2021-02-23,1016103.7036994019
2021-02-24,1009620.3248821427
2021-02-25,1014951.7931024436
2021-02-26,1003944.5007443086
2021-03-01,1005348.3239800174
2021-03-02,1003548.8240885956
2021-03-03,1010875.1331636684
2021-03-04,1007348.3925490077
2021-03-05,1005838.602597994
2021-03-08,1002887.3202574037
2021-03-09,1004054.6063136349
2021-03-10,1005121.1921555612
2021-03-11,1010484.119784422
2021-03-12,1004144.2130414976
2021-03-15,1001841.1875757163
2021-03-16,1002248.2701000664
2021-03-17,997093.7335096223
2021-03-18,998288.4672862084
2021-03-19,993365.9633306633
2021-03-22,993446.8302095849
2021-03-23,990861.0690932331
2021-03-24,986794.8986029383
2021-03-25,986748.8543470583
2021-03-26,991019.5829482516
2021-03-29,992962.0676752321
2021-03-30,997080.9929726019
2021-03-31,992939.3636721887
2021-04-01,999903.7552123081
2021-04-07,992190.9598374041
2021-04-08,993103.5585490814
2021-04-09,992148.7319224421
2021-04-12,988482.026919941
2021-04-13,990920.6634423403
2021-04-14,995814.9891102058
2021-04-15,995363.8450643941
2021-04-16,1000613.6687417787
2021-04-19,999191.0632173335
2021-04-20,999816.6873208203
2021-04-21,994456.0655250023
2021-04-22,996894.9765775631
2021-04-23,998824.452016563
2021-04-26,992614.9750676039
2021-04-27,991991.8504384891
2021-04-28,992908.0096009681
2021-04-29,998404.3189802121
2021-04-30,994528.8503469123
2021-05-03,989753.1436030461
2021-05-04,992162.469586707
2021-05-05,996316.663239202
2021-05-06,1002839.253431922
2021-05-07,1003938.6115821663
2021-05-10,1007420.646999294
2021-05-11,997242.1939897109
2021-05-12,997815.6306189694
2021-05-13,987252.1949299504
2021-05-14,995000.1298916396
2021-05-17,995855.1745057022
2021-05-18,1007388.3598566169
2021-05-20,1001086.9014711865
2021-05-21,997890.5129761084
2021-05-24,998222.6113319854
2021-05-25,1012516.3912376583
2021-05-26,1013185.0170786963
2021-05-27,1008080.5324470198
2021-05-28,1012004.0032861494
2021-05-31,1006266.6463861095
2021-06-01,1006679.9103358792
2021-06-02,1005327.1899221814
2021-06-03,996838.8490015413
2021-06-04,994804.3777145913
2021-06-07,994668.2975936562
2021-06-08,998696.2797609337
2021-06-09,998690.0414412924
2021-06-10,995873.411149166
2021-06-11,991998.2871414073
2021-06-15,988339.8794789844
2021-06-16,989189.08871036
2021-06-17,982881.8433568805
2021-06-18,985955.2317886571
2021-06-21,970659.6823856754
2021-06-22,968271.9081493672
2021-06-23,977521.9780130908
2021-06-24,979115.0622455308
2021-06-25,984756.8679759686
2021-06-28,983497.0610564756
2021-06-29,977560.4211954786
2021-06-30,974898.8457320497
2021-07-02,969141.673496645
2021-07-05,970588.2800151686
2021-07-06,975509.5580058855
2021-07-07,964921.2553354179
2021-07-08,947180.4252263776
2021-07-09,946065.4120337979
2021-07-12,946566.0328433948
2021-07-13,959279.3796864633
2021-07-14,950523.3149350215
2021-07-15,958325.7772028681
2021-07-16,956651.2657065496
2021-07-19,941977.6036907033
2021-07-20,933678.0836770968
