date,account_value
2015-01-05,1000000.0
2015-01-06,999940.4073979652
2015-01-07,999819.4180251786
2015-01-08,999641.1555098273
2015-01-09,999559.3365168845
2015-01-12,999301.1208041405
2015-01-13,999312.6232634786
2015-01-14,999125.9483859445
2015-01-15,999858.501031361
2015-01-16,999977.2802982023
2015-01-19,997510.5691919014
2015-01-20,998490.3952516266
2015-01-21,999700.3496450991
2015-01-22,999536.2964627931
2015-01-23,999507.9659817675
2015-01-26,999901.0861492819
2015-01-27,998941.7195914895
2015-01-28,997813.5845446816
2015-01-29,997210.8822005878
2015-01-30,997058.1941729467
2015-02-02,995734.6317993051
2015-02-03,997085.9879959243
2015-02-04,996624.2760796245
2015-02-05,995424.0193886181
2015-02-06,995378.780290582
2015-02-09,998193.0455058974
2015-02-10,998374.1843308482
2015-02-11,998541.8404245394
2015-02-12,998588.8640511702
2015-02-13,998557.8937176148
2015-02-16,998742.7048594606
2015-02-17,999933.136405748
2015-02-25,1000079.124869596
2015-02-26,1002230.274328391
2015-02-27,1003454.3819148956
2015-03-02,1003563.5060676183
2015-03-03,999431.2097626617
2015-03-04,999958.7101275569
2015-03-05,997690.7210751036
2015-03-06,996759.621082606
2015-03-09,1001658.5057095584
2015-03-10,999476.4637576058
2015-03-11,1001926.6046560009
2015-03-12,1004351.5884043175
2015-03-13,1003068.0603612505
2015-03-16,1006348.981823504
2015-03-17,1009234.3597490047
2015-03-18,1013265.0569586086
2015-03-19,1010473.4670225165
2015-03-20,1009668.3829486384
2015-03-23,1012393.1952505626
2015-03-24,1014078.1925502401
2015-03-25,1011068.2534456286
2015-03-26,1013657.0059289499
2015-03-27,1012729.7596684173
2015-03-30,1019976.2643377364
2015-03-31,1016605.0851646349
2015-04-01,1019308.0066667242
2015-04-02,1018742.0759591786
2015-04-03,1022353.4481816374
2015-04-07,1025445.9583915977
2015-04-08,1026934.1864681902
2015-04-09,1024254.7455353031
2015-04-10,1026020.2140283326
2015-04-13,1030841.5799942865
2015-04-14,1032235.6036147149
2015-04-15,1031768.954396529
2015-04-16,1050997.7403352323
2015-04-17,1058377.9437783463
2015-04-20,1058554.9214741266
2015-04-21,1077877.1008582187
2015-04-22,1084398.4179045127
2015-04-23,1081324.7144246923
2015-04-24,1081869.7262670281
2015-04-27,1083694.484873391
2015-04-28,1074479.9535587463
2015-04-29,1077610.2886450924
2015-04-30,1078708.1295791357
2015-05-04,1086503.2004971588
2015-05-05,1063627.0114341925
2015-05-06,1059812.5016577742
2015-05-07,1060137.3643967544
2015-05-08,1069772.6788384598
2015-05-11,1076142.4490832863
2015-05-12,1073161.9716825597
2015-05-13,1074273.6722912276
2015-05-14,1066928.480984814
2015-05-15,1057059.8914772654
2015-05-18,1049682.3911739658
2015-05-19,1065088.2825858665
2015-05-20,1070772.9204564816
2015-05-21,1077731.8934177028
2015-05-22,1101131.2219349225
2015-05-25,1118966.8840284059
2015-05-26,1119382.2286832654
2015-05-27,1105552.8717616033
2015-05-28,1070858.8248346234
2015-05-29,1070801.4833197645
2015-06-01,1088691.9345785475
2015-06-02,1086313.5925281825
2015-06-03,1080694.6839113855
2015-06-04,1078397.44713383
2015-06-05,1081544.89470017
2015-06-08,1102673.4789496637
2015-06-09,1093354.143978167
2015-06-10,1094733.1019151637
2015-06-11,1096142.0961266458
2015-06-12,1103256.073799015
2015-06-15,1099665.4513631333
2015-06-16,1085572.1221927209
2015-06-17,1086415.862779079
2015-06-18,1063251.743987804
2015-06-19,1035448.1777129663
2015-06-23,1064907.73152785
2015-06-24,1079319.6016117758
2015-06-25,1062653.3822080079
2015-06-26,1028675.8485039636
2015-06-29,1032121.9460240286
2015-06-30,1064959.6420452767
2015-07-01,1053281.8772146977
2015-07-02,1044681.7493052075
2015-07-03,1016840.3945393709
2015-07-06,1034632.3718649036
2015-07-07,1023945.5278983708
2015-07-08,1002664.8952731607
2015-07-09,1042444.3284577717
2015-07-10,1060233.2528582723
2015-07-13,1047038.7527111699
2015-07-14,1028934.6001682903
2015-07-15,1037972.157721722
2015-07-16,1037900.1304099523
2015-07-17,1053534.9392888006
2015-07-20,1049492.6325528962
2015-07-21,1043385.8554421756
2015-07-22,1030305.807414738
2015-07-23,1037978.9183278
2015-07-24,1034821.1081299847
2015-07-27,984989.6000772183
2015-07-28,995746.6996033125
2015-07-29,1009249.4620380346
2015-07-30,997217.9929156464
2015-07-31,1002591.5573278032
2015-08-03,1016611.480413486
2015-08-04,1024719.2950074973
2015-08-05,1004903.1812745878
2015-08-06,996929.6786853886
2015-08-07,1007938.6584336951
2015-08-10,1029989.3631942254
2015-08-11,1022074.1913938738
2015-08-12,1012334.9540056556
2015-08-13,1020526.2252299576
2015-08-14,1019675.7142551288
2015-08-17,1015483.0996474375
2015-08-18,981202.17871444
2015-08-19,986701.5501800997
2015-08-20,965713.1375446682
2015-08-21,935320.3294428088
2015-08-24,877322.615499055
2015-08-25,882938.1850555525
2015-08-26,900489.5034359943
2015-08-27,939298.035125427
2015-08-28,940963.3821515793
2015-08-31,952558.2514654682
2015-09-01,949007.3940023368
2015-09-02,952533.7281032833
2015-09-07,926342.5855646324
2015-09-08,933513.406387171
2015-09-09,943452.1353866344
2015-09-10,944192.3819698581
2015-09-11,942605.4446571871
2015-09-14,966870.7340853484
2015-09-15,953679.0964305021
2015-09-16,972215.3486268525
2015-09-17,947838.9895354953
2015-09-18,950638.8549788815
2015-09-21,952461.6166094386
2015-09-22,955659.9116612943
2015-09-23,937362.1014563306
2015-09-24,936642.6420663776
2015-09-25,932829.0853084131
2015-09-28,928753.6370354577
2015-09-29,919959.0998192043
2015-09-30,924528.4779702123
2015-10-08,948948.2142330981
2015-10-09,950464.1948853381
2015-10-12,962033.7232572371
2015-10-13,963160.1106221856
2015-10-14,954624.6861283303
2015-10-15,968083.2437101242
2015-10-16,978786.2151889307
2015-10-19,982047.1020852161
2015-10-20,980118.6943428008
2015-10-21,969458.4544696193
2015-10-22,976668.2560793816
2015-10-23,998522.3888964226
2015-10-26,1013070.5988266917
2015-10-27,1003810.2216076525
2015-10-28,992234.0072634176
2015-10-29,994612.4461987736
2015-10-30,995893.6974585616
2015-11-02,989156.2476541221
2015-11-03,982349.7910369697
2015-11-04,1004665.9227324992
2015-11-05,1013707.2714122393
2015-11-06,1027049.3267911276
2015-11-09,1044443.2186599735
2015-11-10,1043777.5459177779
2015-11-11,1036210.6378711263
2015-11-12,1035709.7451363932
2015-11-13,1018797.0551289684
2015-11-16,1017632.1942476492
2015-11-17,1019416.3549923409
2015-11-18,1023091.951731177
2015-11-19,1025500.7214045489
2015-11-20,1024527.3735581455
2015-11-23,1021046.2646641171
2015-11-24,1016302.6775838519
2015-11-25,1021073.5339916549
2015-11-26,1017339.9712308084
2015-11-27,984000.5793480859
2015-11-30,1002470.0807169143
2015-12-01,1012014.7784376218
2015-12-02,1048269.1387785679
2015-12-03,1043427.6389178981
2015-12-04,1019577.9558409177
2015-12-07,1018897.5960264329
2015-12-08,1008015.6938770476
2015-12-09,1018051.8497335294
2015-12-10,1014027.7139536744
2015-12-11,1005561.1486839687
2015-12-14,1022251.1096448989
2015-12-15,1028304.5788675207
2015-12-16,1025607.1737149046
2015-12-17,1045646.3041531837
2015-12-18,1045419.4297714005
2015-12-21,1082301.1367430063
2015-12-22,1081848.6807765695
2015-12-23,1075391.897450989
2015-12-24,1080011.0525498278
2015-12-25,1079924.5451208884
2015-12-28,1049229.1372675407
2015-12-29,1053878.246244131
2015-12-30,1050071.9269400146
2015-12-31,1045853.3894174249
2016-01-04,994322.1510315841
2016-01-05,1004490.2979599129
2016-01-06,1011263.5193761582
2016-01-07,957184.2595656953
2016-01-08,976338.8117129453
2016-01-11,952344.9305406909
2016-01-12,948477.7871501092
2016-01-13,946217.5975195109
2016-01-14,965480.1191847145
2016-01-15,936885.2153787893
2016-01-18,935868.3681987184
2016-01-19,974662.5731312748
2016-01-20,947278.4307419467
2016-01-21,926341.7643363068
2016-01-22,937617.8242248945
2016-01-25,939363.2274048943
2016-01-26,904457.1000802191
2016-01-27,905081.6512855996
2016-01-28,888626.9021544539
2016-01-29,909708.0959893648
2016-02-01,903134.839728209
2016-02-02,919393.5771864929
2016-02-03,918296.6227339258
2016-02-04,926240.4204546241
2016-02-05,922841.1743232158
2016-02-15,913538.2981577299
2016-02-16,929874.9868310239
2016-02-17,931091.6200309868
2016-02-18,928707.5710184233
2016-02-19,928720.3226978546
2016-02-22,947059.8184011556
2016-02-23,953800.4910371748
2016-02-24,965372.7888274711
2016-02-25,929690.7644546325
2016-02-26,943353.676934966
2016-02-29,937438.7512971499
2016-03-01,952502.067928587
2016-03-02,988818.3532256834
2016-03-03,995631.6740101064
2016-03-04,1027683.8561881902
2016-03-07,1019005.0264765284
2016-03-08,1009676.8266424184
2016-03-09,1001147.3460115292
2016-03-10,987689.0141360183
2016-03-11,983174.9260212498
2016-03-14,980790.1943006788
2016-03-15,993572.8428925583
2016-03-16,997208.9132512477
2016-03-17,999484.9647162051
2016-03-18,997916.2131219462
2016-03-21,1014255.9162446661
2016-03-22,1013935.1124280718
2016-03-23,1016451.6618454263
2016-03-24,1024056.8156783031
2016-03-25,1027942.628402031
2016-03-28,1027919.1332272415
2016-03-29,1018514.919615672
2016-03-30,1031924.0462668461
2016-03-31,1033769.6056482492
2016-04-01,1032341.2099591995
2016-04-05,1037327.6042836737
2016-04-06,1057179.3206404757
2016-04-07,1045691.9460682038
2016-04-08,1035385.2241612327
2016-04-11,1033526.6475308088
2016-04-12,1034513.2636014386
2016-04-13,1035568.6639709327
2016-04-14,1037813.9849249695
2016-04-15,1041814.278072619
2016-04-18,1032781.5061085105
2016-04-19,1033608.4662206414
2016-04-20,1019415.164853374
2016-04-21,1021102.2420909682
2016-04-22,1034822.5277284182
2016-04-25,1028469.6814019714
2016-04-26,1035123.0150465546
2016-04-27,1037203.9916893407
2016-04-28,1036962.7698456113
2016-04-29,1044489.8279187423
2016-05-03,1064942.3289542363
2016-05-04,1055836.0432471165
2016-05-05,1065446.7545456302
2016-05-06,1042949.1851058371
2016-05-09,1030819.9886975344
2016-05-10,1031517.0289834874
2016-05-11,1040052.5897019375
2016-05-12,1040607.5274855372
2016-05-13,1029964.6141876666
2016-05-16,1032193.9319106435
2016-05-17,1027715.3063296508
2016-05-18,1018862.4505547322
2016-05-19,1019647.4977247088
2016-05-20,1031166.0076600969
2016-05-23,1042015.873087036
2016-05-24,1035796.8295276759
2016-05-25,1033951.3965617124
2016-05-26,1038163.4701744867
2016-05-27,1034815.0246557579
2016-05-30,1038117.8142947775
2016-05-31,1064937.2652706532
2016-06-01,1061370.835522396
2016-06-02,1067010.517372769
2016-06-03,1093591.9325117788
2016-06-06,1081343.043845914
2016-06-07,1083607.5706329157
2016-06-08,1079042.341188972
2016-06-13,1054086.0695445086
2016-06-14,1063623.3294637462
2016-06-15,1075876.4743268024
2016-06-16,1067968.3877211204
2016-06-17,1076423.679362358
2016-06-20,1074055.9423881287
2016-06-21,1069812.5639710983
2016-06-22,1080606.812865575
2016-06-23,1072548.0508115883
2016-06-24,1062132.4095956034
2016-06-27,1086745.8064544792
2016-06-28,1088345.4041792594
2016-06-29,1090851.6512540549
2016-06-30,1098383.2181023683
2016-07-01,1101851.7362107986
2016-07-04,1127278.9346159364
2016-07-05,1137229.9269225395
2016-07-06,1163272.4599428824
2016-07-07,1167790.351984967
2016-07-08,1153821.1411484848
2016-07-11,1162205.1103842705
2016-07-12,1191466.448768708
2016-07-13,1183520.923030169
2016-07-14,1181566.1118213441
2016-07-15,1189920.4134646063
2016-07-18,1189188.046202938
2016-07-19,1173311.1141549177
2016-07-20,1169723.0644269013
2016-07-21,1181537.913275517
2016-07-22,1163387.280343011
2016-07-25,1167462.4831009684
2016-07-26,1189849.6749303339
2016-07-27,1180834.584736973
2016-07-28,1186597.0164692614
2016-07-29,1178987.171970058
2016-08-01,1167620.9940769377
2016-08-02,1170255.7159684966
2016-08-03,1172100.3343294966
2016-08-04,1173017.3322274005
2016-08-05,1173328.2830557993
2016-08-08,1182395.6227492937
2016-08-09,1191091.3599011365
2016-08-10,1182811.5043982558
2016-08-11,1184967.8927055176
2016-08-12,1205120.8455604503
2016-08-15,1226858.3854789245
2016-08-16,1201922.0448367104
2016-08-17,1197735.4289517691
2016-08-18,1195958.696260292
2016-08-19,1194581.633143358
2016-08-22,1192598.309402407
2016-08-23,1190565.6477186459
2016-08-24,1186794.8077712269
2016-08-25,1176096.6042220248
2016-08-26,1172461.6510205513
2016-08-29,1180531.515668346
2016-08-30,1180821.8561681537
