date,account_value
2017-10-02,1000000.0
2017-10-03,1000075.7266543962
2017-10-04,1000035.3324898272
2017-10-05,1000158.9086605314
2017-10-06,1000125.2495003829
2017-10-09,999575.4086846912
2017-10-10,999595.6021989026
2017-10-11,999674.0652169447
2017-10-12,999713.0245092282
2017-10-13,999467.6189412834
2017-10-16,999657.0544751323
2017-10-17,998994.8615198105
2017-10-18,998083.6177888479
2017-10-19,999437.6067143003
2017-10-20,1000523.0048500221
2017-10-23,997417.1340020911
2017-10-24,997004.6752137543
2017-10-25,998292.1109830693
2017-10-26,995254.3130928095
2017-10-27,994000.2971885769
2017-10-30,990868.5372948298
2017-10-31,988141.5180275657
2017-11-01,988764.9244225542
2017-11-02,992513.6949153658
2017-11-03,997213.6243354476
2017-11-06,997448.731156764
2017-11-07,998745.4990146792
2017-11-08,1000209.2000603813
2017-11-09,996592.2260344091
2017-11-10,997916.2184522352
2017-11-13,993972.034010889
2017-11-14,990235.7703929767
2017-11-15,990464.2277000921
2017-11-16,993297.0362927516
2017-11-17,990849.6028728643
2017-11-20,993958.8343613868
2017-11-21,995922.5562603965
2017-11-22,996223.8576144511
2017-11-24,998055.6306061328
2017-11-27,998070.9886594987
2017-11-28,1006233.6048469474
2017-11-29,1004951.3121818588
2017-11-30,1004575.588289602
2017-12-01,996290.8486078123
2017-12-04,997371.3601859466
2017-12-05,991416.6768821799
2017-12-06,990750.3759875504
2017-12-07,995154.1506930231
2017-12-08,999709.2661135157
2017-12-11,1000130.3352950996
2017-12-12,1005465.4538460423
2017-12-13,1006028.9145410166
2017-12-14,1000922.6407147507
2017-12-15,1007085.7427780067
2017-12-18,1006292.3203507762
2017-12-19,1003154.0260413026
2017-12-20,1001138.855244477
2017-12-21,997426.6554975742
2017-12-22,996687.5572462599
2017-12-26,997099.5529398471
2017-12-27,999411.1279895527
2017-12-28,1002569.3540290594
2017-12-29,999100.7586219889
2018-01-02,1003836.8037352742
2018-01-03,1011479.4766963999
2018-01-04,1021312.2402626594
2018-01-05,1024158.522187681
2018-01-08,1022387.9567799724
2018-01-09,1026735.7554270339
2018-01-10,1024000.6935223569
2018-01-11,1031363.9200124156
2018-01-12,1036076.2246938292
2018-01-16,1031631.1466366819
2018-01-17,1033733.9138013624
2018-01-18,1023712.300906058
2018-01-19,1022003.9321225634
2018-01-22,1023091.8022818347
2018-01-23,1026591.4831617451
2018-01-24,1024001.2172202659
2018-01-25,1033979.5686134973
2018-01-26,1053367.53478545
2018-01-29,1051683.8582794012
2018-01-30,1043745.9710136652
2018-01-31,1044875.3718466923
2018-02-01,1045861.7141084578
2018-02-02,1028333.3066059393
2018-02-05,983690.8619228823
2018-02-06,1002777.9368115067
2018-02-07,1011380.464254652
2018-02-08,971648.0168796912
2018-02-09,991622.7472425989
2018-02-12,1002348.2450583131
2018-02-13,1007844.6027689361
2018-02-14,1023169.1826530672
2018-02-15,1033627.5495299252
2018-02-16,1034420.5040766064
2018-02-20,1021855.7349507764
2018-02-21,1016017.7788507518
2018-02-22,1014098.130266162
2018-02-23,1025315.8315771369
2018-02-26,1041064.2290002152
2018-02-27,1031167.7797675536
2018-02-28,1017680.4628430014
2018-03-01,1001736.5460579314
2018-03-02,1007043.0353997557
2018-03-05,1015625.84562593
2018-03-06,1015462.8958578988
2018-03-07,1017461.8248668353
2018-03-08,1020224.0072654424
2018-03-09,1034390.7985549382
2018-03-12,1031413.9823319354
2018-03-13,1019832.7039530253
2018-03-14,1013359.6182088286
2018-03-15,1014696.3832252772
2018-03-16,1014904.3127316167
2018-03-19,1006045.5613359439
2018-03-20,992998.6147088646
2018-03-21,994612.0429008802
2018-03-22,969767.6564145673
2018-03-23,951962.8943577432
2018-03-26,970610.293282775
2018-03-27,963558.9455164811
2018-03-28,961161.150857867
2018-03-29,971148.9959871181
2018-04-02,955180.7327333788
2018-04-03,964546.39067859
2018-04-04,977284.9398143116
2018-04-05,983472.8036779965
