date,account_value
2022-09-28,1000000.0
2022-09-29,1005636.0211661712
2022-09-30,998562.9107828089
2022-10-01,992243.7817565618
2022-10-02,979893.6565817163
2022-10-03,1011299.2709976193
2022-10-04,1048255.3300542874
2022-10-05,1039406.1772123423
2022-10-06,1029208.6817756211
2022-10-07,1009725.7748908763
2022-10-08,1004097.349898632
2022-10-09,1010771.1659182673
2022-10-10,994721.3859990344
2022-10-11,990191.5023088759
2022-10-12,992717.2973848424
2022-10-13,1003616.5718121672
2022-10-14,993928.941333183
2022-10-15,990427.8154864464
2022-10-16,1001967.0562294902
2022-10-17,1020143.2179180892
2022-10-18,1010257.8446700922
2022-10-19,1000000.8844415363
2022-10-20,993759.829321751
2022-10-21,997980.9601166953
2022-10-22,998896.5362856542
2022-10-23,1016143.8765537213
2022-10-24,1002522.1347460072
2022-10-25,1040288.1874230962
2022-10-26,1073157.0822206463
2022-10-27,1047694.4722669533
2022-10-28,1062909.1939719492
2022-10-29,1074804.4752014712
2022-10-30,1065420.1716922608
2022-10-31,1057929.9613029885
2022-11-01,1056519.4862623373
2022-11-02,1038094.0570524122
2022-11-03,1041506.2064953862
2022-11-04,1091678.279864837
2022-11-05,1097812.726406573
2022-11-06,1076697.9267485614
2022-11-07,1060466.1553446183
2022-11-08,952004.2062089422
2022-11-09,818034.098148252
2022-11-10,912741.3097085092
2022-11-11,880573.395268676
2022-11-12,864776.4864610608
2022-11-13,841678.8689247271
2022-11-14,855904.3577566671
2022-11-15,869676.1773371662
2022-11-16,856831.8440865781
2022-11-17,857268.6187683583
2022-11-18,858004.1216303091
2022-11-19,859929.5810263384
2022-11-20,838043.673044868
2022-11-21,812213.4801297884
2022-11-22,833006.155735235
2022-11-23,854687.5063290964
2022-11-24,854317.7616136592
2022-11-25,849440.0158724
2022-11-26,846541.2877270691
2022-11-27,845456.871015928
2022-11-28,834439.7715834213
2022-11-29,845862.7061615562
2022-11-30,882518.7464417069
2022-12-01,871743.1959273311
2022-12-02,877951.0880246742
2022-12-03,868484.8726580134
2022-12-04,879943.2505846422
2022-12-05,871866.5116619482
2022-12-06,877209.4053228981
2022-12-07,863836.8691405801
2022-12-08,883674.7218826202
2022-12-09,878043.8259380612
2022-12-10,877949.60435059
2022-12-11,876011.2343182663
2022-12-12,880369.5751773622
2022-12-13,909450.6477895532
2022-12-14,911163.1717041753
2022-12-15,888143.7381088501
2022-12-16,849792.6767182533
2022-12-17,857858.3915484513
2022-12-18,856035.944860552
2022-12-19,838839.6356921621
2022-12-20,863436.4220698342
2022-12-21,858687.452387373
2022-12-22,859379.930506543
2022-12-23,857840.8621762623
2022-12-24,860179.2728651682
2022-12-25,859391.2213969853
2022-12-26,863821.1692786082
2022-12-27,853551.5182174832
2022-12-28,844031.2560960532
2022-12-29,848595.8390349542
2022-12-30,846492.7245998202
2022-12-31,843151.2498939733
2023-01-01,847033.9434117732
