date,account_value
2013-01-02,1000000.0
2013-01-03,999962.1239288596
2013-01-04,1000051.9977631158
2013-01-07,999808.7300105045
2013-01-08,999550.9816824518
2013-01-09,999967.4419734321
2013-01-10,1000100.392588899
2013-01-11,999890.8020443119
2013-01-14,1000246.8909754644
2013-01-15,1000061.5981866155
2013-01-16,999622.5789658513
2013-01-17,1000203.6488526141
2013-01-18,999861.271844653
2013-01-22,1000585.7670802504
2013-01-23,1001331.3905057637
2013-01-24,1001794.4396941678
2013-01-25,1002703.8154330173
2013-01-28,1002977.1294077442
2013-01-29,1003650.0314775055
2013-01-30,1002787.2304513404
2013-01-31,1001946.5633454595
2013-02-01,1003784.197384953
2013-02-04,1002212.4921135937
2013-02-05,1004831.7963749252
2013-02-06,1005070.6354867463
2013-02-07,1003933.1363567365
2013-02-08,1005728.9530032448
2013-02-11,1004225.8743403297
2013-02-12,1004445.0192954012
2013-02-13,1004205.6927846074
2013-02-14,1003998.0217173474
2013-02-15,1003825.644154756
2013-02-19,1005495.1060397237
2013-02-20,1003459.3217133507
2013-02-21,1003526.5294027437
2013-02-22,1006656.0298055509
2013-02-25,1003740.4804102054
2013-02-26,1005112.2012895484
2013-02-27,1011736.7203986439
2013-02-28,1010989.9110712999
2013-03-01,1013650.254741276
2013-03-04,1015595.5236897805
2013-03-05,1019774.5345428106
2013-03-06,1021613.1754757073
2013-03-07,1023609.817864053
2013-03-08,1025631.8419710724
2013-03-11,1026768.0425440427
2013-03-12,1028504.3074952366
2013-03-13,1029643.1381851265
2013-03-14,1032945.0918033603
2013-03-15,1033131.4323923904
2013-03-18,1027633.2242202123
2013-03-19,1030336.6724712213
2013-03-20,1035300.2564001973
2013-03-21,1030630.7123642457
2013-03-22,1035777.247819731
2013-03-25,1034336.2232168476
2013-03-26,1042659.8285442564
2013-03-27,1043035.4781201489
2013-03-28,1047557.9568016569
2013-04-01,1047621.7122370112
2013-04-02,1058065.8459968998
2013-04-03,1053061.8399379828
2013-04-04,1056501.9685935252
2013-04-05,1052945.7078951953
2013-04-08,1057549.1063599465
2013-04-09,1059584.7618122676
2013-04-10,1073504.8329359677
2013-04-11,1077979.771468798
2013-04-12,1082193.9626355623
2013-04-15,1063447.0635200809
2013-04-16,1076258.1223762822
2013-04-17,1067446.0481893735
2013-04-18,1058018.7257186589
2013-04-19,1066512.5458901753
2013-04-22,1069752.630546925
2013-04-23,1076189.14797426
2013-04-24,1062249.0375703177
2013-04-25,1072452.9905435757
2013-04-26,1074614.2861998277
2013-04-29,1076902.259602838
2013-04-30,1071689.2742940898
2013-05-01,1064423.279927812
2013-05-02,1074381.2916747401
2013-05-03,1082688.1325014366
2013-05-06,1079590.953863812
2013-05-07,1084091.407255442
2013-05-08,1089471.6627130464
2013-05-09,1089590.879133918
2013-05-10,1098330.0098662132
2013-05-13,1099203.7874550032
2013-05-14,1108801.3108511337
2013-05-15,1111034.0016210168
2013-05-16,1109320.5758631148
2013-05-17,1120733.02735191
2013-05-20,1110381.4315794576
2013-05-21,1120186.264036609
2013-05-22,1114074.1833582213
2013-05-23,1118268.9199075855
2013-05-24,1119285.6679718888
2013-05-28,1129026.1006872258
2013-05-29,1119119.8288047947
2013-05-30,1123567.2360547385
2013-05-31,1098875.1709519818
2013-06-03,1106296.9553689084
2013-06-04,1099379.9120529618
2013-06-05,1083120.4194514393
2013-06-06,1092904.262879022
2013-06-07,1107177.9751762794
2013-06-10,1105443.3521633267
2013-06-11,1098837.7306695322
2013-06-12,1087683.1473725007
2013-06-13,1105345.6656106962
2013-06-14,1097627.8389672425
2013-06-17,1109346.5712469572
2013-06-18,1122615.477997806
2013-06-19,1106640.3709902738
2013-06-20,1078213.2040391592
2013-06-21,1085951.2832486203
2013-06-24,1074915.87416785
2013-06-25,1077048.3123079312
2013-06-26,1094002.9243593763
2013-06-27,1101100.7216068415
2013-06-28,1091093.9688184808
2013-07-01,1093119.5315600885
2013-07-02,1086941.5297785543
2013-07-03,1090767.7965695166
2013-07-05,1103047.2265777697
2013-07-08,1111480.4327002005
2013-07-09,1116132.3504573035
2013-07-10,1126672.9497519364
2013-07-11,1140279.7805297722
2013-07-12,1138284.186605
2013-07-15,1141380.8890060124
2013-07-16,1135421.0276917748
2013-07-17,1136155.074807486
2013-07-18,1149526.0115264573
2013-07-19,1160671.430162207
2013-07-22,1159653.2820202583
2013-07-23,1157260.5332509158
2013-07-24,1156775.934235041
2013-07-25,1163925.2265006832
2013-07-26,1163707.875370522
2013-07-29,1161014.8365839103
2013-07-30,1163643.6328094697
2013-07-31,1159358.8643685898
2013-08-01,1169234.644668243
2013-08-02,1171320.9560056825
2013-08-05,1167235.318752435
2013-08-06,1159989.823951978
2013-08-07,1170292.2162257512
2013-08-08,1164749.0201967242
2013-08-09,1157023.7667589572
2013-08-12,1151537.0048837494
2013-08-13,1156466.657022181
2013-08-14,1147674.3986099868
2013-08-15,1127190.2750708936
2013-08-16,1123733.2493038916
2013-08-19,1122707.571306146
2013-08-20,1125838.080590402
2013-08-21,1117039.4851831677
2013-08-22,1123456.537425489
2013-08-23,1125255.879945988
2013-08-26,1138075.0979059718
2013-08-27,1116265.097880137
2013-08-28,1118240.011139232
2013-08-29,1120799.0592597183
