date,account_value
2022-06-30,1000000.0
2022-07-01,1005833.2863248507
2022-07-04,1003755.8285096359
2022-07-05,1000607.4355716825
2022-07-06,1023697.239043072
2022-07-07,1041490.3124907285
2022-07-08,1051211.589500424
2022-07-11,1048898.2364795315
2022-07-12,1051640.6895082104
2022-07-13,1034289.9719538474
2022-07-14,1028412.2739645441
2022-07-15,1051763.797979103
2022-07-18,1066790.4906300711
2022-07-19,1076595.8283602428
2022-07-20,1083097.192715886
2022-07-21,1085657.3247251257
2022-07-22,1085360.4111722794
2022-07-25,1087160.778673959
2022-07-26,1083989.957546726
2022-07-27,1086850.0749270292
2022-07-28,1084647.4314264336
2022-07-29,1074810.8671430936
2022-08-01,1071882.5206772834
2022-08-02,1077315.7197897078
2022-08-03,1082508.8533069706
2022-08-04,1078489.2509116863
2022-08-05,1083662.8640074849
2022-08-08,1086832.4469715203
2022-08-09,1089805.9164271334
2022-08-10,1095471.2502156142
2022-08-11,1103616.1761745226
2022-08-12,1106400.8832140735
2022-08-15,1112442.1024106818
2022-08-16,1117732.0553114451
2022-08-17,1114092.12821182
2022-08-18,1119965.4691651338
2022-08-19,1121082.0751002273
2022-08-22,1116755.875331355
2022-08-23,1106991.4966860374
2022-08-24,1108493.935247086
2022-08-25,1111255.0878568164
2022-08-26,1105236.567022098
2022-08-30,1099352.1496694472
2022-08-31,1088317.5459777857
2022-09-01,1069218.2010791725
2022-09-02,1086987.5889034076
2022-09-05,1085449.8472241093
2022-09-06,1090091.746838207
2022-09-07,1081268.0857668067
2022-09-08,1080852.7377508068
2022-09-09,1089735.8719244068
2022-09-12,1105349.1321976068
2022-09-13,1089500.6745375067
2022-09-14,1063792.1695400071
2022-09-15,1067803.7237444068
2022-09-16,1063599.3255561069
2022-09-20,1062524.1056943068
2022-09-21,1069178.6582315068
2022-09-22,1059586.8587478069
2022-09-23,1035197.5914949068
2022-09-26,1039018.6347666067
2022-09-27,1035471.6922265068
2022-09-28,1038348.0102756066
2022-09-29,1011435.6348264067
2022-09-30,1014566.1680756067
2022-10-03,1019918.5582941069
2022-10-04,1040431.6978033067
2022-10-05,1034137.4281598068
2022-10-06,1020323.8156158066
2022-10-07,1024775.0728367066
2022-10-10,1025677.3241128067
2022-10-11,1010473.6073999067
2022-10-12,1004035.5606263068
2022-10-13,1007347.9049951066
2022-10-14,1009900.1781933069
2022-10-17,1018201.9300458068
2022-10-18,1021404.4464508068
2022-10-19,1020551.9829684068
2022-10-20,1025084.5841856067
2022-10-21,1029168.7266539066
2022-10-24,1042464.2403241068
2022-10-25,1048347.5352576067
2022-10-26,1060538.5233020918
2022-10-27,1068209.6478246688
2022-10-28,1063721.4491338688
2022-10-31,1066257.6974052556
2022-11-01,1081062.2692124113
2022-11-02,1054908.7734628003
2022-11-03,1064156.7630342015
2022-11-04,1079648.195830615
2022-11-07,1078244.876744715
2022-11-08,1078799.101030715
2022-11-09,1084738.6590368154
2022-11-10,1097827.9593873152
2022-11-11,1093668.1417819152
2022-11-14,1101091.1240342516
2022-11-15,1098361.8048270517
2022-11-16,1088914.2454114514
2022-11-17,1092695.9984306516
2022-11-18,1100237.0067206156
2022-11-21,1099000.5216830508
2022-11-22,1103033.0847090671
2022-11-23,1109503.0322706634
2022-11-24,1108390.9507291636
2022-11-25,1111986.1371486634
2022-11-28,1108509.0038673633
2022-11-29,1108583.1790946636
2022-11-30,1115768.1242347634
2022-12-01,1120853.0497301633
2022-12-02,1128822.1142456634
2022-12-05,1131190.6064019073
2022-12-06,1124037.479032658
2022-12-07,1117651.8556063478
2022-12-08,1102750.5445233586
2022-12-09,1105629.854261535
2022-12-12,1100622.3736866054
2022-12-13,1104743.1273190053
2022-12-14,1105104.0896311004
2022-12-15,1099387.4628891002
2022-12-16,1085046.2051358004
2022-12-19,1092585.2539961
2022-12-20,1087687.1379500001
2022-12-21,1108037.0145841
2022-12-22,1104366.3603261001
2022-12-23,1106959.3250124003
2022-12-28,1110354.0061506003
2022-12-29,1110787.5946695004
2022-12-30,1099187.4038030002
2023-01-03,1119947.8037662003
2023-01-04,1123675.5849028002
2023-01-05,1129997.6081314
2023-01-06,1139993.5326613002
2023-01-09,1138533.1262175
2023-01-10,1121620.4513786002
2023-01-11,1125889.8844790005
2023-01-12,1140931.4521670004
2023-01-13,1137172.0305186003
2023-01-16,1143394.6707743001
2023-01-17,1140057.5391380005
2023-01-18,1134266.1721522002
2023-01-19,1127698.0423656001
2023-01-20,1130507.0500978003
2023-01-23,1131400.8632833003
2023-01-24,1122067.6167996004
2023-01-25,1119229.7334447003
2023-01-26,1119202.6172258002
2023-01-27,1123429.6100200003
2023-01-30,1125564.9251346004
2023-01-31,1124690.5196505003
2023-02-01,1127702.3396909002
2023-02-02,1145623.1008478003
2023-02-03,1153717.5059331001
2023-02-06,1145022.8377183003
2023-02-07,1143449.49670297
2023-02-08,1143446.51164187
2023-02-09,1140093.3742810702
2023-02-10,1140204.16506387
2023-02-13,1153824.08429897
2023-02-14,1156386.2717678698
2023-02-15,1167368.77323237
2023-02-16,1165649.0800006702
2023-02-17,1167433.46796647
2023-02-20,1171237.39433447
2023-02-21,1161171.61460697
2023-02-22,1156516.56819057
2023-02-23,1154999.1970288786
2023-02-24,1156183.4552285785
2023-02-27,1165090.8136137787
2023-02-28,1160096.9944862786
2023-03-01,1164101.7427950788
2023-03-02,1163613.6091797787
2023-03-03,1165837.3640989785
2023-03-06,1166761.9667960785
2023-03-07,1162336.3969681787
2023-03-08,1160163.2270790786
2023-03-09,1154249.7940620787
2023-03-10,1134903.3338030786
2023-03-13,1099319.575172779
2023-03-14,1110848.9459060787
2023-03-15,1074017.6310623786
2023-03-16,1082877.0546214788
2023-03-17,1070665.0419068786
2023-03-20,1081679.2679789786
2023-03-21,1103524.9589447787
2023-03-22,1102624.2934648786
2023-03-23,1085461.1730835787
2023-03-24,1079629.2609108787
2023-03-27,1088286.0972941786
2023-03-28,1087151.5260941787
2023-03-29,1094383.3787113787
2023-03-30,1099954.9053730788
2023-03-31,1099101.3715309787
2023-04-03,1106119.3962561786
2023-04-04,1094254.9551131786
2023-04-05,1087942.2418443786
2023-04-06,1101174.9433726785
2023-04-11,1111320.5121084787
2023-04-12,1118464.9757564785
2023-04-13,1118994.1820048788
2023-04-14,1124925.992587779
2023-04-17,1123343.8475709783
2023-04-18,1130279.3084587788
2023-04-19,1139941.8934784788
2023-04-20,1136602.7148265785
2023-04-21,1140276.8593379788
2023-04-24,1142833.5414460786
2023-04-25,1144896.1477203788
2023-04-26,1143095.2130084787
2023-04-27,1128306.9259983788
2023-04-28,1130737.1040636785
2023-05-02,1114432.4514151788
2023-05-03,1110515.8054145786
2023-05-04,1090772.6986436788
2023-05-05,1101313.3936198785
2023-05-09,1099405.2458625785
2023-05-10,1091781.9549344787
2023-05-11,1089043.1685118787
2023-05-12,1088851.1838313788
2023-05-15,1089248.7308720786
2023-05-16,1086894.5454987786
2023-05-17,1077415.4370367788
2023-05-18,1080317.0238088786
2023-05-19,1086146.4592554786
2023-05-22,1088427.9594442786
2023-05-23,1090123.7943470788
2023-05-24,1074515.4814601787
2023-05-25,1058950.3666838522
2023-05-26,1067188.9124976306
2023-05-30,1050455.3096580307
2023-05-31,1035684.5267207306
2023-06-01,1042232.1953644305
2023-06-02,1058084.6908915304
2023-06-05,1053160.7852006305
2023-06-06,1060414.1651823306
2023-06-07,1062305.2459001306
2023-06-08,1062160.7794394307
2023-06-09,1060486.2744330307
2023-06-12,1057362.8473677305
2023-06-13,1059906.4090335306
2023-06-14,1060271.6125133305
2023-06-15,1064486.1635617304
2023-06-16,1065134.9703131304
2023-06-19,1059619.8641701306
2023-06-20,1054664.854943605
2023-06-21,1059326.8207219047
2023-06-22,1051172.654105505
2023-06-23,1051757.3454884046
2023-06-26,1050787.4020334047
2023-06-27,1049312.9930059046
2023-06-28,1053748.5926415047
2023-06-29,1051271.082052305
