date,account_value
2021-01-04,1000000.0
2021-01-05,1000048.1401012888
2021-01-06,1000097.8338995776
2021-01-07,999993.433642404
2021-01-08,999912.4314252117
2021-01-11,999940.5746072046
2021-01-12,1000257.5073501979
2021-01-13,1000447.8686201647
2021-01-14,1000504.165429913
2021-01-15,1000429.8301391549
2021-01-18,1000581.7896806897
2021-01-19,1000842.6875964641
2021-01-20,1000533.9430672285
2021-01-21,1000605.5019159963
2021-01-22,999894.4525793798
2021-01-25,999849.3923759469
2021-01-26,999526.891588874
2021-01-27,999876.0622634037
2021-01-28,999517.5293150406
2021-01-29,999050.1197683952
2021-02-01,999679.2261616503
2021-02-02,999416.935091888
2021-02-03,999880.1291568272
2021-02-04,999734.5700295923
2021-02-05,999888.2202756264
2021-02-08,999588.7717808839
2021-02-09,999596.5054023587
2021-02-10,999684.7912764411
2021-02-11,1000281.2487942161
2021-02-16,1002248.6236925547
2021-02-17,1003275.3956035583
2021-02-18,1003326.0873059625
2021-02-19,1004987.6259504241
2021-02-22,1004677.9820686912
2021-02-23,1006994.3809091559
2021-02-24,1006140.1806965539
2021-02-25,1008355.0663107393
2021-02-26,1005299.9695139942
2021-03-01,1004639.2682066129
2021-03-02,1004002.3649747691
2021-03-03,1005248.494112657
2021-03-04,1004177.8895905863
2021-03-05,1003894.3222598899
2021-03-08,1003453.2735560187
2021-03-09,1003688.2551614281
2021-03-10,1004165.5993693252
2021-03-11,1004677.9975869348
2021-03-12,1004294.8446129337
2021-03-15,1004238.7441785738
2021-03-16,1003951.8550322548
2021-03-17,1003736.447582237
2021-03-18,1003210.6823734813
2021-03-19,1000821.5846699567
2021-03-22,1002001.4494272603
2021-03-23,1001717.9727777056
2021-03-24,1000335.6751180368
2021-03-25,999957.1319387031
2021-03-26,1000291.2870962485
2021-03-29,1001970.8096531047
2021-03-30,1005922.2698371606
2021-03-31,1002538.0453508798
2021-04-01,1002219.0043658644
2021-04-07,1002128.3658188643
2021-04-08,1002346.39179767
2021-04-09,1001481.9144233911
2021-04-12,1001296.7275118979
2021-04-13,1003595.7438320688
2021-04-14,1006860.0918649478
2021-04-15,1007743.6545277762
2021-04-16,1009952.7860239544
2021-04-19,1009794.7864527681
2021-04-20,1010593.9338932764
2021-04-21,1009496.6803929805
2021-04-22,1011080.6536224097
2021-04-23,1011497.5261175819
