date,account_value
2015-01-05,1000000.0
2015-01-06,999944.1750175168
2015-01-07,999935.5060915763
2015-01-08,999734.5864321673
2015-01-09,999637.9088598501
2015-01-12,999369.5568211369
2015-01-13,999232.1150362871
2015-01-14,999001.3075317513
2015-01-15,999474.3325554804
2015-01-16,999472.6460925245
2015-01-19,997451.1650273795
2015-01-20,997689.8162000886
2015-01-21,998906.1167682338
2015-01-22,999247.0018520342
2015-01-23,999353.5905352875
2015-01-26,999959.5318965175
2015-01-27,999309.3747151084
2015-01-28,998794.8905292299
2015-01-29,998244.1398786053
2015-01-30,998073.0262580919
2015-02-02,996985.3827441235
2015-02-03,997989.099497039
2015-02-04,997696.4497124994
2015-02-05,996818.1689642195
2015-02-06,996282.4901285191
2015-02-09,997473.7890518842
2015-02-10,997949.728755307
2015-02-11,998124.6306302026
2015-02-12,997795.6470518181
2015-02-13,998372.6848680729
2015-02-16,998633.8491416943
2015-02-17,999012.1017909135
2015-02-25,998385.9138493474
2015-02-26,1000457.8469152194
2015-02-27,1001365.8849092649
2015-03-02,1002101.9965538264
2015-03-03,999908.016885923
2015-03-04,999861.9426830572
2015-03-05,998813.0881453424
2015-03-06,999045.7363900143
2015-03-09,1000995.6579556381
2015-03-10,1000176.31286299
2015-03-11,1000456.5142168656
2015-03-12,1002123.1473169017
2015-03-13,1003142.2869126165
2015-03-16,1005775.7132103298
2015-03-17,1007911.7112717618
2015-03-18,1009880.985033843
2015-03-19,1008714.3487842212
2015-03-20,1009432.4456239732
2015-03-23,1011638.590155522
2015-03-24,1012347.341390369
2015-03-25,1010404.9099394594
2015-03-26,1011159.5827703576
2015-03-27,1011112.6785609104
2015-03-30,1014986.4958580283
2015-03-31,1012956.0858061169
2015-04-01,1014945.2506013578
2015-04-02,1014961.6174663634
2015-04-03,1016754.0280647569
2015-04-07,1020665.990082673
2015-04-08,1021921.4094754441
2015-04-09,1019960.0269471161
2015-04-10,1022816.1140302768
2015-04-13,1025042.97139284
2015-04-14,1025197.0470844732
2015-04-15,1022293.740072288
2015-04-16,1030801.9100415906
2015-04-17,1035982.265314596
2015-04-20,1035211.916169194
2015-04-21,1044715.8949219593
2015-04-22,1049697.82729295
2015-04-23,1051577.3798424695
2015-04-24,1050340.2099774014
2015-04-27,1053081.990352076
2015-04-28,1046194.687597146
2015-04-29,1050201.8778979867
2015-04-30,1047641.2299558753
2015-05-04,1050587.1158449796
2015-05-05,1038857.8833823797
2015-05-06,1038247.0898568386
2015-05-07,1035475.3819252278
2015-05-08,1041605.0321135395
2015-05-11,1047233.9632311591
2015-05-12,1045989.8189319931
2015-05-13,1046658.4601784158
2015-05-14,1050136.9071974067
2015-05-15,1043301.1695836843
2015-05-18,1035510.8895479427
2015-05-19,1046315.227880697
2015-05-20,1047615.6978307103
2015-05-21,1051838.6541757374
2015-05-22,1064293.3299445072
2015-05-25,1076144.6553831743
2015-05-26,1078210.852587814
2015-05-27,1079339.6498917935
2015-05-28,1052385.0606622405
2015-05-29,1051702.8461051092
2015-06-01,1069046.3661856744
2015-06-02,1071388.935577569
2015-06-03,1067968.7716778559
2015-06-04,1066546.7297233583
2015-06-05,1072268.8055590373
2015-06-08,1085527.8266251767
2015-06-09,1083193.668130817
2015-06-10,1082870.8803013954
2015-06-11,1082260.2939336093
2015-06-12,1085082.922947155
2015-06-15,1079961.2747815996
2015-06-16,1064649.4716688965
2015-06-17,1069734.767094611
2015-06-18,1054584.143751658
2015-06-19,1030074.3580089363
2015-06-23,1043589.668480865
2015-06-24,1054000.2189332463
2015-06-25,1037575.7765349519
2015-06-26,1008292.3862123585
2015-06-29,1001369.8947837455
2015-06-30,1023994.4884462223
2015-07-01,1006551.8501403269
2015-07-02,993220.5792306503
2015-07-03,974840.7401344647
2015-07-06,988347.9577624935
2015-07-07,980080.0000147314
2015-07-08,956914.8061841719
2015-07-09,984183.8135945252
2015-07-10,1005297.312423087
2015-07-13,1013264.7057388264
2015-07-14,997085.9986666505
2015-07-15,986339.1462625628
2015-07-16,989884.5257983475
2015-07-17,1001796.2178162114
2015-07-20,997718.49100742
2015-07-21,996970.6073061015
2015-07-22,992271.8693039354
2015-07-23,1002978.9782071668
2015-07-24,998004.065731037
2015-07-27,961212.8241429733
2015-07-28,959749.944622817
2015-07-29,970460.2535119655
2015-07-30,959758.4010871494
2015-07-31,961172.0632111223
2015-08-03,967554.7521790501
2015-08-04,978794.4356499288
2015-08-05,969215.3584975805
2015-08-06,967434.0437866226
2015-08-07,974811.6592277242
2015-08-10,995058.7869869622
2015-08-11,992261.6893452797
2015-08-12,984767.163961171
2015-08-13,994740.0283702131
2015-08-14,992235.079984697
2015-08-17,996596.6979084094
2015-08-18,966859.2496858861
2015-08-19,974653.8308382519
2015-08-20,961929.2044989009
2015-08-21,943949.5397574181
2015-08-24,905895.6350951376
2015-08-25,887377.7701206608
2015-08-26,886962.6751784169
