date,account_value
2017-10-02,1000000.0
2017-10-03,1000047.0644391421
2017-10-04,1000044.0001435067
2017-10-05,1000281.3487541336
2017-10-06,1000461.231803016
2017-10-09,999999.631641614
2017-10-10,999986.1357578387
2017-10-11,1000266.9750143206
2017-10-12,1000275.5373863422
2017-10-13,1000104.0247335111
2017-10-16,999980.1258017954
2017-10-17,999486.2127599092
2017-10-18,999364.6440357723
2017-10-19,999981.7804773967
2017-10-20,1000362.7789577205
2017-10-23,998150.9224369784
2017-10-24,998895.1285396763
2017-10-25,999376.4228826514
2017-10-26,998516.1028513354
2017-10-27,1001710.0458984699
2017-10-30,999607.8239306901
2017-10-31,998470.4344792911
2017-11-01,998321.9612688919
2017-11-02,998541.2489014752
2017-11-03,1000549.6604306455
2017-11-06,1000303.4736218817
2017-11-07,1000499.8668856138
2017-11-08,1001276.9649735303
2017-11-09,999113.8225645703
2017-11-10,999547.2378488153
2017-11-13,997704.8489209441
2017-11-14,995968.1595460945
2017-11-15,995029.4111679094
2017-11-16,997842.4444920341
2017-11-17,995588.1731307982
2017-11-20,998267.8714984213
2017-11-21,1001810.8056953193
2017-11-22,1001216.0944840214
2017-11-24,1003411.4886236811
2017-11-27,1002973.6908590931
2017-11-28,1010336.4634488055
2017-11-29,1010941.4998625997
2017-11-30,1013235.4230884626
2017-12-01,1006376.0134425658
2017-12-04,1009729.4320755403
2017-12-05,1005117.9301100102
2017-12-06,1003333.9279503415
2017-12-07,1006715.3538817624
2017-12-08,1010049.605190177
2017-12-11,1009579.1051127312
2017-12-12,1012507.8532709958
2017-12-13,1012153.3946643489
2017-12-14,1008488.9098943318
2017-12-15,1012390.1785901183
2017-12-18,1014943.9063092237
2017-12-19,1012555.9633195542
2017-12-20,1010167.6172025455
2017-12-21,1008592.6906635598
2017-12-22,1006772.4930925942
2017-12-26,1006675.507798088
2017-12-27,1008939.2315146463
2017-12-28,1012359.9031837223
2017-12-29,1007564.5886572928
2018-01-02,1015415.04156473
2018-01-03,1026138.0042919647
2018-01-04,1035362.0244999042
2018-01-05,1041298.7265204496
2018-01-08,1042300.8023009805
2018-01-09,1046926.7458540878
2018-01-10,1045910.8093546268
2018-01-11,1057591.8541126421
2018-01-12,1070693.0533885728
2018-01-16,1065472.2568008746
2018-01-17,1065865.8787598058
2018-01-18,1060342.6645982487
2018-01-19,1061438.388958188
2018-01-22,1065093.6927293262
2018-01-23,1069818.6484921118
2018-01-24,1068355.72223605
2018-01-25,1078117.1282205791
2018-01-26,1091233.291714285
2018-01-29,1090028.13159887
2018-01-30,1086460.0997175742
2018-01-31,1087827.981167135
2018-02-01,1074863.8345467374
2018-02-02,1063999.190363205
2018-02-05,1025661.0340963311
2018-02-06,1046652.2498629495
2018-02-07,1052357.7005871092
2018-02-08,1012700.6406432219
2018-02-09,1025593.2836912335
2018-02-12,1040461.7535155874
2018-02-13,1049758.1431999514
2018-02-14,1066451.2772679378
2018-02-15,1081228.6161414091
2018-02-16,1077305.3314321064
2018-02-20,1068357.0070820877
2018-02-21,1068531.3563999182
2018-02-22,1066001.9827193448
2018-02-23,1075644.2388934384
2018-02-26,1089701.403856402
2018-02-27,1077870.5436001292
2018-02-28,1069419.2960985173
2018-03-01,1049648.2274004992
2018-03-02,1056383.6712517738
2018-03-05,1065479.3067577903
2018-03-06,1068357.9295950383
2018-03-07,1074466.3023185988
2018-03-08,1076933.4816134642
2018-03-09,1090798.8592357922
2018-03-12,1087285.3566394798
2018-03-13,1084750.847983265
2018-03-14,1077216.1191380094
2018-03-15,1079245.4917452035
2018-03-16,1075825.1970799365
2018-03-19,1073291.5493953049
2018-03-20,1077681.9481738138
2018-03-21,1077633.6971621006
2018-03-22,1051214.8888155539
2018-03-23,1042341.8617853454
2018-03-26,1071187.651788584
2018-03-27,1052056.2771779033
2018-03-28,1040473.5358272434
2018-03-29,1053580.040939207
2018-04-02,1033015.7291886987
2018-04-03,1043842.2398789384
2018-04-04,1061062.7699668948
2018-04-05,1076458.7227096097
2018-04-06,1052459.0698167954
2018-04-09,1048760.701236629
2018-04-10,1059321.3948673971
2018-04-11,1057352.1101919047
2018-04-12,1069041.5522841255
2018-04-13,1064356.419014462
2018-04-16,1071345.7246446318
2018-04-17,1085164.1840494636
2018-04-18,1091672.7860233577
2018-04-19,1091163.8807022462
2018-04-20,1081905.2531180005
2018-04-23,1081641.3654140043
2018-04-24,1054715.4622385062
2018-04-25,1044682.543503416
2018-04-26,1061134.0563194063
2018-04-27,1050414.277603698
2018-04-30,1045085.3795756486
2018-05-01,1027611.58398584
2018-05-02,1018701.6979324786
2018-05-03,1026589.5578152407
2018-05-04,1032129.1487183397
2018-05-07,1039966.1499662538
2018-05-08,1053601.06080098
2018-05-09,1052652.3731101975
2018-05-10,1059832.0033725917
2018-05-11,1058802.4195440938
2018-05-14,1049823.041037626
2018-05-15,1046862.0725075176
2018-05-16,1053105.0728276176
2018-05-17,1056807.0140872356
2018-05-18,1060023.0822844368
2018-05-21,1069472.3201786657
2018-05-22,1057759.387506495
2018-05-23,1065505.7670907644
2018-05-24,1073330.8716396359
2018-05-25,1072205.2434526987
2018-05-29,1059006.349451088
2018-05-30,1072940.6684295484
2018-05-31,1072160.646086262
2018-06-01,1083882.2357521015
2018-06-04,1091141.8509933925
2018-06-05,1088134.3171182177
2018-06-06,1100809.3158781803
2018-06-07,1102624.3112515612
2018-06-08,1104327.7446712423
2018-06-11,1100535.8224703118
2018-06-12,1096764.8846588852
2018-06-13,1093860.381433908
2018-06-14,1087640.099432416
2018-06-15,1086544.4700204819
2018-06-18,1089073.1240060998
2018-06-19,1073578.4244649615
2018-06-20,1061565.83027503
2018-06-21,1057511.587529397
2018-06-22,1056046.185927831
2018-06-25,1044061.1898665155
2018-06-26,1040481.5547742794
2018-06-27,1028385.9445368178
2018-06-28,1031125.7932278245
2018-06-29,1029325.4253046275
2018-07-02,1033479.8774825835
2018-07-03,1029452.2636798784
2018-07-05,1032149.3237085744
2018-07-06,1033284.5616614261
2018-07-09,1051426.5988259902
2018-07-10,1054623.481016809
2018-07-11,1048254.9232152817
2018-07-12,1068867.9324256263
2018-07-13,1073224.3621366879
2018-07-16,1073301.5853012588
2018-07-17,1080001.4534407593
2018-07-18,1084531.9304848544
2018-07-19,1081128.1145305505
2018-07-20,1078909.3437056073
2018-07-23,1068924.1228010845
2018-07-24,1070798.5145586731
2018-07-25,1059086.274839382
2018-07-26,1048940.5963022816
2018-07-27,1059031.5419196861
2018-07-30,1044245.4347558704
2018-07-31,1055448.0021341087
2018-08-01,1054435.1825011664
2018-08-02,1057240.7035815404
2018-08-03,1056738.3058934542
2018-08-06,1058642.1532939093
2018-08-07,1061638.1244436095
2018-08-08,1064294.007346191
2018-08-09,1061780.7537830204
2018-08-10,1054820.8673741054
2018-08-13,1053810.4976435534
2018-08-14,1061082.021376727
2018-08-15,1054184.783440524
2018-08-16,1059193.4625956574
2018-08-17,1065829.5836005656
2018-08-20,1073089.8074888338
2018-08-21,1076224.8736719084
2018-08-22,1071505.6740875589
2018-08-23,1070745.236079112
2018-08-24,1076339.3893346533
2018-08-27,1087071.6632215474
2018-08-28,1085724.3164810606
2018-08-29,1090457.1520496288
2018-08-30,1088890.8004740523
2018-08-31,1090239.6870603543
2018-09-04,1092962.4980723101
2018-09-05,1085944.6908462322
2018-09-06,1086388.5904289682
2018-09-07,1082265.228947207
2018-09-10,1088106.6674666898
2018-09-11,1089918.6296365645
2018-09-12,1091634.3300535437
2018-09-13,1087473.068920548
2018-09-14,1092297.2496373549
2018-09-17,1088329.722175265
2018-09-18,1100390.4817506229
2018-09-19,1093231.612619734
2018-09-20,1086615.8383068317
2018-09-21,1090458.8949424464
2018-09-24,1087529.6263667466
2018-09-25,1099866.188279475
2018-09-26,1100397.6508338496
2018-09-27,1107723.3232351968
2018-09-28,1107947.5686776682
