date,account_value
2022-09-28,1000000.0
2022-09-29,1004311.9547322448
2022-09-30,997009.0838501835
2022-10-01,990527.94298232
2022-10-02,977589.1448509403
2022-10-03,1008836.8810853142
2022-10-04,1045365.4463879963
2022-10-05,1036476.3725262723
2022-10-06,1026637.2425112464
2022-10-07,1007066.8993618963
2022-10-08,1001017.0393862923
2022-10-09,1006770.4617404894
2022-10-10,990731.5367016313
2022-10-11,986143.7815072733
2022-10-12,989489.2476411591
2022-10-13,1000043.7554546543
2022-10-14,990816.6008919623
2022-10-15,986463.7907242612
2022-10-16,998103.9332348782
2022-10-17,1015722.1282921772
2022-10-18,1005343.8098979441
2022-10-19,994848.6568389533
2022-10-20,989173.0646103134
2022-10-21,994015.0576759635
2022-10-22,995420.4293703792
2022-10-23,1013374.2968230573
2022-10-24,1000245.6369701963
2022-10-25,1040042.3157921784
2022-10-26,1074753.4612258563
2022-10-27,1048927.108063196
2022-10-28,1064651.548064743
2022-10-29,1077648.2483395312
2022-10-30,1067845.777789983
2022-10-31,1060279.104951801
2022-11-01,1059277.012051155
2022-11-02,1040669.5292178493
2022-11-03,1043933.6303485694
2022-11-04,1094652.418084285
2022-11-05,1100239.231056513
2022-11-06,1079420.1844788182
2022-11-07,1063449.068033113
2022-11-08,953455.3680680884
2022-11-09,817946.4309963973
2022-11-10,913236.8040919822
2022-11-11,882621.3710049804
2022-11-12,867377.5302045483
2022-11-13,844204.4239507223
2022-11-14,858110.9719339353
2022-11-15,871660.9195631843
2022-11-16,858654.9792292222
2022-11-17,859055.0197958011
2022-11-18,860025.6053659754
2022-11-19,861850.5241303922
2022-11-20,838805.8229069184
2022-11-21,812831.9326720634
2022-11-22,833794.9432903725
2022-11-23,856182.3471094145
2022-11-24,856303.8722813556
2022-11-25,851378.9030210424
2022-11-26,848760.8488536864
2022-11-27,847470.1956011062
2022-11-28,836078.6943535681
2022-11-29,848329.4656997892
2022-11-30,885773.0842623493
2022-12-01,874951.5915349274
2022-12-02,881293.8985243132
2022-12-03,871041.7165701834
2022-12-04,883011.9022412393
2022-12-05,874747.6172945141
2022-12-06,880300.5410854103
2022-12-07,866615.0116629603
2022-12-08,886994.4700283422
2022-12-09,881241.0712145492
2022-12-10,881184.3083973053
2022-12-11,879513.9369520254
2022-12-12,884191.3622258193
2022-12-13,913533.2267263322
2022-12-14,914915.9256242454
2022-12-15,891448.2653805304
2022-12-16,852326.0749932075
2022-12-17,860342.2695142603
2022-12-18,858489.4472554605
2022-12-19,841692.0235479283
2022-12-20,866640.2695683483
