date,account_value
2013-01-02,1000000.0
2013-01-03,999992.0604629497
2013-01-04,1000210.0819472618
2013-01-07,1000185.3173204993
2013-01-08,999971.5652530821
2013-01-09,1000441.7341861782
2013-01-10,1001083.0793666134
2013-01-11,1001069.0767727109
2013-01-14,1000893.1757975292
2013-01-15,1000720.8227453841
2013-01-16,1001820.2253846244
2013-01-17,1001996.4385133972
2013-01-18,1003085.1003537768
2013-01-22,1003911.4008331754
2013-01-23,1003593.9323552987
2013-01-24,1003701.9456890196
2013-01-25,1003814.4656825574
2013-01-28,1003748.7958770136
2013-01-29,1006223.0787239583
2013-01-30,1005746.4723536829
2013-01-31,1006351.6262160143
2013-02-01,1008956.8085430159
2013-02-04,1005435.6680553087
2013-02-05,1009838.616314342
2013-02-06,1010657.9372720906
2013-02-07,1009412.196178844
2013-02-08,1010968.8954541621
2013-02-11,1010960.5748970772
2013-02-12,1012743.4729399676
2013-02-13,1011786.9806996665
2013-02-14,1012852.259923061
2013-02-15,1010980.1983557773
2013-02-19,1015286.3200713325
2013-02-20,1010855.8481464323
2013-02-21,1007239.6636451164
2013-02-22,1013524.205436317
2013-02-25,1004507.3172068803
2013-02-26,1006738.2640138641
2013-02-27,1015130.3424205778
2013-02-28,1011608.4489698044
2013-03-01,1013257.8282972353
2013-03-04,1016478.1866773586
2013-03-05,1020656.2766053656
2013-03-06,1023717.5978662127
2013-03-07,1027581.5865792921
2013-03-08,1024868.6600038374
2013-03-11,1027511.3433672616
2013-03-12,1026060.6358554913
2013-03-13,1027069.0519445969
2013-03-14,1030204.0827639997
2013-03-15,1031672.5796729123
2013-03-18,1023879.5611422479
2013-03-19,1019557.3521734292
2013-03-20,1025429.114371103
2013-03-21,1014691.0424224735
2013-03-22,1021901.4126710774
2013-03-25,1021122.5192703205
2013-03-26,1027945.4591731315
2013-03-27,1030622.6485640235
2013-03-28,1032412.2756610065
2013-04-01,1027959.8482441517
2013-04-02,1034136.0490465561
2013-04-03,1022898.888377462
2013-04-04,1026609.1770720441
2013-04-05,1026107.7258639637
2013-04-08,1029832.7375336702
2013-04-09,1035927.6724695507
2013-04-10,1047944.7875369089
2013-04-11,1050028.7259153877
2013-04-12,1053553.8676252991
2013-04-15,1035406.5548284109
2013-04-16,1037026.3600292432
2013-04-17,1023467.3759837185
2013-04-18,1015718.0987786824
2013-04-19,1023567.9786145093
2013-04-22,1025615.7396067998
2013-04-23,1039996.2488237626
2013-04-24,1037036.0757988621
2013-04-25,1044404.0989068019
2013-04-26,1043599.5153816154
2013-04-29,1045917.7484538801
2013-04-30,1045260.0587584283
2013-05-01,1032427.9324732587
2013-05-02,1044913.3613260639
2013-05-03,1056499.4932182701
2013-05-06,1059853.844333988
2013-05-07,1064681.3075025594
2013-05-08,1066083.1054242807
2013-05-09,1060714.017989785
2013-05-10,1065067.9766186043
2013-05-13,1066489.4722984082
2013-05-14,1084093.5178412606
2013-05-15,1092180.4839267288
2013-05-16,1086503.251308725
2013-05-17,1101745.1432541634
2013-05-20,1099082.2942707783
2013-05-21,1108138.5969590757
2013-05-22,1100232.9991209256
2013-05-23,1096619.8264765965
2013-05-24,1101848.33435585
2013-05-28,1111197.7292933022
2013-05-29,1105773.754968664
2013-05-30,1111345.1281237542
2013-05-31,1095404.8683026503
2013-06-03,1106691.962589771
2013-06-04,1100758.8069288938
2013-06-05,1082711.052394386
2013-06-06,1092668.5117170904
2013-06-07,1114529.6924876133
2013-06-10,1119791.7567306
2013-06-11,1103346.7292469232
2013-06-12,1093798.9024713188
2013-06-13,1110415.9870093286
2013-06-14,1098759.1793516804
2013-06-17,1108538.3154277932
2013-06-18,1117604.7695687367
2013-06-19,1103097.1176591374
2013-06-20,1074041.9885057865
2013-06-21,1077901.8924585702
2013-06-24,1064164.9869327715
2013-06-25,1073243.0992662332
2013-06-26,1083846.6138487433
2013-06-27,1094286.3121585348
2013-06-28,1083708.5871827276
2013-07-01,1090036.834755018
2013-07-02,1082424.4144724347
2013-07-03,1085266.1973675173
2013-07-05,1100106.5586010567
2013-07-08,1105238.7295779074
2013-07-09,1114671.6125912874
2013-07-10,1113756.5625189017
2013-07-11,1126624.0210000474
2013-07-12,1130874.7991847494
2013-07-15,1135744.2637580468
2013-07-16,1129120.9136084535
2013-07-17,1129086.9071028517
2013-07-18,1135549.5713728063
2013-07-19,1141984.920694265
2013-07-22,1141692.3127955263
2013-07-23,1139725.6646811578
2013-07-24,1136104.3549804895
2013-07-25,1144858.3932073857
2013-07-26,1142822.1785129698
2013-07-29,1136858.1013782518
2013-07-30,1137850.6374933545
2013-07-31,1129905.4854785248
2013-08-01,1145816.7849747655
2013-08-02,1148747.34832616
2013-08-05,1148625.5048604582
2013-08-06,1137959.0980243376
2013-08-07,1137140.24481509
2013-08-08,1134824.9482038305
2013-08-09,1129320.8506100995
2013-08-12,1126162.1322512587
2013-08-13,1131580.4282512853
2013-08-14,1125812.5347751786
2013-08-15,1108112.8592193944
2013-08-16,1107078.7714568193
2013-08-19,1102863.5907400968
2013-08-20,1103993.5607217844
2013-08-21,1096801.4169057137
2013-08-22,1103855.1242369802
2013-08-23,1104792.4698680837
2013-08-26,1104616.962287687
2013-08-27,1085234.022864538
2013-08-28,1090441.6017699698
2013-08-29,1092447.8167336918
2013-08-30,1087525.720514381
2013-09-03,1098409.3809416634
2013-09-04,1104744.7522497633
2013-09-05,1108200.1781551226
2013-09-06,1108190.6905982243
2013-09-09,1118341.0235966584
2013-09-10,1136256.8750577467
2013-09-11,1141006.041000696
2013-09-12,1138167.190584547
2013-09-13,1143437.4921695439
2013-09-16,1155273.6167577626
2013-09-17,1159073.4282363506
2013-09-18,1169995.0858613756
2013-09-19,1167523.2980636402
2013-09-20,1163995.1176196039
2013-09-23,1153133.8191530912
2013-09-24,1148349.0348048913
2013-09-25,1142749.8431397893
2013-09-26,1144914.5948223816
2013-09-27,1137490.0358832243
2013-09-30,1128896.5321199414
2013-10-01,1135358.3768807598
2013-10-02,1129291.8561431996
2013-10-03,1115130.7201874559
2013-10-04,1120795.7717203118
2013-10-07,1112499.0693033978
2013-10-08,1100733.5621489065
2013-10-09,1099920.7903732983
2013-10-10,1128502.7437448613
2013-10-11,1140223.255839401
2013-10-14,1141365.874879955
2013-10-15,1132236.371756002
2013-10-16,1149201.6934346713
2013-10-17,1155107.4326029222
2013-10-18,1146649.1909593523
2013-10-21,1144869.9267543294
2013-10-22,1154755.028496681
2013-10-23,1152751.4855219896
2013-10-24,1159655.2824228513
2013-10-25,1164975.4770441244
2013-10-28,1164810.8787518442
2013-10-29,1170614.2483408449
2013-10-30,1164150.4202803343
2013-10-31,1157955.447861961
2013-11-01,1163446.7265451695
2013-11-04,1159977.3920426157
2013-11-05,1158492.4115537812
2013-11-06,1166014.3052120875
2013-11-07,1151286.1196752621
2013-11-08,1169541.7515012356
2013-11-11,1170139.077494436
2013-11-12,1164423.6457271955
2013-11-13,1171116.9580681722
2013-11-14,1177666.9352080573
2013-11-15,1180993.2778660944
2013-11-18,1181617.5279901188
2013-11-19,1181766.723836192
2013-11-20,1178767.062595121
2013-11-21,1187471.7876927909
2013-11-22,1195171.819688568
2013-11-25,1197897.1949041393
2013-11-26,1196324.1569510142
2013-11-27,1198324.0745514361
2013-11-29,1196956.9931759613
2013-12-02,1194556.1558514421
2013-12-03,1185093.51923301
2013-12-04,1182180.199823345
2013-12-05,1177827.7389010703
2013-12-06,1193434.242077046
2013-12-09,1191324.0370433405
2013-12-10,1189848.632512283
2013-12-11,1177919.8936871602
2013-12-12,1168814.417498001
2013-12-13,1171435.2577253692
2013-12-16,1178318.032167981
2013-12-17,1171617.5172331627
2013-12-18,1195852.0359084748
2013-12-19,1197346.9771735657
2013-12-20,1206052.607991085
2013-12-23,1209340.0390393513
2013-12-24,1214092.9545612533
2013-12-26,1222935.1264797656
2013-12-27,1223689.7858674286
2013-12-30,1224146.1464324482
2013-12-31,1227524.5130628785
2014-01-02,1217452.1172379425
2014-01-03,1220348.7988505962
2014-01-06,1218029.4483391484
2014-01-07,1228842.55726628
2014-01-08,1223574.0084923198
2014-01-09,1225551.6495621956
2014-01-10,1220449.172744128
2014-01-13,1209482.3851880748
2014-01-14,1216068.2154640376
2014-01-15,1221370.6848840949
2014-01-16,1219187.0260975235
2014-01-17,1226845.6851819274
2014-01-21,1229526.7086452777
2014-01-22,1236720.7411902798
2014-01-23,1220361.6436262387
2014-01-24,1197410.817389077
2014-01-27,1202256.5482407997
2014-01-28,1208908.0700267665
2014-01-29,1196252.2738875207
2014-01-30,1215738.4747905042
2014-01-31,1200583.7385309485
2014-02-03,1175449.77878038
2014-02-04,1183518.8623495728
2014-02-05,1182914.4996240137
2014-02-06,1202032.512455692
2014-02-07,1222478.3354621427
2014-02-10,1223100.7379740656
2014-02-11,1239157.2573333243
2014-02-12,1239434.3278790168
2014-02-13,1243367.7962017553
2014-02-14,1248329.0083447646
2014-02-18,1246350.2215862845
2014-02-19,1234931.2912858445
2014-02-20,1241611.3111191613
2014-02-21,1242370.7254962632
2014-02-24,1247803.6436112593
2014-02-25,1250427.7295419634
2014-02-26,1249364.1547819
2014-02-27,1254908.1478446291
2014-02-28,1259238.390690378
2014-03-03,1247819.1581896418
2014-03-04,1265688.171223913
2014-03-05,1262258.7925132865
2014-03-06,1265087.0138371617
2014-03-07,1269811.8607617682
