date,account_value
2022-06-30,1000000.0
2022-07-01,1003043.5028321464
2022-07-04,1001185.0950073772
2022-07-05,988688.5971587806
2022-07-06,1003988.1696016615
2022-07-07,1025263.6183452919
2022-07-08,1036342.8993554872
2022-07-11,1040470.2116439351
2022-07-12,1053067.492092031
2022-07-13,1038625.7304147949
2022-07-14,1041385.9416113081
2022-07-15,1060648.971897423
2022-07-18,1072380.5344185026
2022-07-19,1080409.0474893288
2022-07-20,1079789.8156601605
2022-07-21,1096543.200414068
2022-07-22,1100575.6010225376
2022-07-25,1089839.7371598592
2022-07-26,1076586.294921908
2022-07-27,1089488.0523535172
2022-07-28,1111629.7545553166
2022-07-29,1138061.2718027723
2022-08-01,1135151.0702754182
2022-08-02,1131022.9265236214
2022-08-03,1133756.8937172738
2022-08-04,1146795.0939426091
2022-08-05,1127592.9223039357
2022-08-08,1139451.0707902433
2022-08-09,1130275.6012281717
2022-08-10,1162677.7099581775
2022-08-11,1164671.2080383925
2022-08-12,1161760.177586672
2022-08-15,1174833.479349358
2022-08-16,1168484.6636213816
2022-08-17,1164790.4865896227
2022-08-18,1169236.7696446665
2022-08-19,1160375.4678384787
2022-08-22,1145641.487585044
2022-08-23,1129276.1146328251
2022-08-24,1130994.7129513875
2022-08-25,1126614.3781878538
2022-08-26,1098068.1019505106
2022-08-30,1083211.0859884007
2022-08-31,1070363.358324712
2022-09-01,1047195.6890239144
2022-09-02,1075609.8017242192
2022-09-05,1071523.2789252787
2022-09-06,1067857.9683481103
2022-09-07,1072562.961016808
2022-09-08,1090560.6444329747
2022-09-09,1108712.3922264848
2022-09-12,1135202.6872981447
2022-09-13,1111281.7330489147
2022-09-14,1098766.724346465
2022-09-15,1092118.705507455
2022-09-16,1082565.3471951648
2022-09-20,1058097.1605868246
2022-09-21,1081430.7958782401
2022-09-22,1044356.7311611205
2022-09-23,1045991.451069091
2022-09-26,1054076.913902234
2022-09-27,1043740.616882814
2022-09-28,1048267.370469624
2022-09-29,1030393.9305035595
2022-09-30,1042996.3260556115
2022-10-03,1050677.505580486
2022-10-04,1083694.98967309
2022-10-05,1079631.7929178854
2022-10-06,1080533.9229150822
2022-10-07,1056546.8983600324
2022-10-10,1056177.9743648344
2022-10-11,1040305.4972402549
2022-10-12,1027359.1404154802
2022-10-13,1026708.5689800753
2022-10-14,1034788.2120053028
2022-10-17,1052115.8680479345
2022-10-18,1061498.2708148132
2022-10-19,1053613.6185381007
2022-10-20,1056211.6854876804
2022-10-21,1051061.8046739597
2022-10-24,1075113.7365411941
2022-10-25,1077293.8842055877
2022-10-26,1099247.1948380477
2022-10-27,1093101.0753956875
2022-10-28,1090864.4612628077
2022-10-31,1091379.0255676878
2022-11-01,1077493.2229580577
2022-11-02,1078370.2517818175
2022-11-03,1057226.4132495178
2022-11-04,1079082.0606685977
2022-11-07,1082576.8525007777
2022-11-08,1101609.354732568
2022-11-09,1100811.4276526577
2022-11-10,1164355.3554098178
2022-11-11,1140784.6161384077
2022-11-14,1133106.0041405277
2022-11-15,1135350.6332228377
2022-11-16,1146557.3269430278
2022-11-17,1137607.7896748476
2022-11-18,1148228.3280466676
2022-11-21,1153808.3069754378
2022-11-22,1154178.1257111877
2022-11-23,1167891.581005808
2022-11-24,1165777.7016938778
2022-11-25,1167538.6634241873
2022-11-28,1164459.6501743477
2022-11-29,1142371.1716109074
2022-11-30,1151387.7884009876
2022-12-01,1169588.991917448
2022-12-02,1168819.4593443077
2022-12-05,1167084.2507434376
2022-12-06,1154705.9937080075
2022-12-07,1145956.4230714878
2022-12-08,1136551.0892503578
2022-12-09,1140706.5372367275
2022-12-12,1144239.4639769578
2022-12-13,1160191.332779368
2022-12-14,1167709.2172772377
2022-12-15,1142243.647998998
2022-12-16,1122455.6596241377
2022-12-19,1117474.2556371775
2022-12-20,1109089.0341321277
2022-12-21,1124447.9379932876
2022-12-22,1115399.3783199377
2022-12-23,1113131.240880528
2022-12-28,1125396.0930185178
2022-12-29,1128950.3889416878
2022-12-30,1112413.8139217875
2023-01-03,1118111.9873640977
2023-01-04,1137669.785462828
2023-01-05,1131204.6214469378
2023-01-06,1139377.6311150377
2023-01-09,1147132.9774986978
2023-01-10,1144450.1046611676
2023-01-11,1147203.2231874675
2023-01-12,1143391.5479636376
2023-01-13,1149873.9007403776
2023-01-16,1165047.756858178
2023-01-17,1167265.4980496776
2023-01-18,1190385.2739019678
2023-01-19,1161212.5952185376
2023-01-20,1161883.1549219775
2023-01-23,1169379.1289786375
2023-01-24,1170665.3411879777
2023-01-25,1147298.9413698376
2023-01-26,1162421.4052281477
2023-01-27,1169181.7431363775
2023-01-30,1180673.3769853478
2023-01-31,1180314.1629956479
2023-02-01,1187825.8274471776
2023-02-02,1249610.4794515478
2023-02-03,1243782.1368283075
2023-02-06,1226324.4720185078
2023-02-07,1212758.1001834476
2023-02-08,1211904.2274166078
2023-02-09,1205769.110599438
2023-02-10,1190821.2304659777
2023-02-13,1205298.969759678
2023-02-14,1201889.0056269576
2023-02-15,1220407.1707258276
2023-02-16,1222006.6699522375
2023-02-17,1214620.7870058678
2023-02-20,1209858.7552727978
2023-02-21,1194143.6863962277
2023-02-22,1192216.9099662278
2023-02-23,1190711.0068130975
2023-02-24,1177733.0086012275
2023-02-27,1180458.354664028
2023-02-28,1164486.9759189577
2023-03-01,1168521.5612255977
2023-03-02,1173177.3504515276
2023-03-03,1174143.8787155978
2023-03-06,1177187.4986686977
2023-03-07,1182143.2343712274
2023-03-08,1174569.7215115877
2023-03-09,1175008.2717307275
2023-03-10,1143628.9509137578
2023-03-13,1096916.993333648
2023-03-14,1120183.3424669877
2023-03-15,1082406.8971954177
2023-03-16,1090151.9258881777
2023-03-17,1080458.42554511
2023-03-20,1086644.6494955488
2023-03-21,1102966.8774480799
2023-03-22,1100687.8917136833
2023-03-23,1090872.925503172
2023-03-24,1066764.4931118372
2023-03-27,1071627.8694900868
2023-03-28,1064701.7809591996
2023-03-29,1078363.555288046
2023-03-30,1100603.7356210041
2023-03-31,1100941.4151926374
