date,account_value
2021-01-04,1000000.0
2021-01-05,1000092.469552405
2021-01-06,1000884.4106211856
2021-01-07,1000803.9089687758
2021-01-08,1001933.6216580314
2021-01-11,1000948.9327525763
2021-01-12,1000212.3230697338
2021-01-13,999100.5945435372
2021-01-14,1002808.9426155012
2021-01-15,1001840.8251539387
2021-01-18,1006389.093764509
2021-01-19,1011844.1168051995
2021-01-20,1021536.3193571782
2021-01-21,1022652.4469738554
2021-01-22,1023160.6544352449
2021-01-25,1031263.5872960098
2021-01-26,1021422.8956275997
2021-01-27,1014863.4592083879
2021-01-28,1009695.1932182019
2021-01-29,1009151.1634193945
2021-02-01,1028786.9399564218
2021-02-02,1031223.402907456
2021-02-03,1043363.182696295
2021-02-04,1035573.8594321669
2021-02-05,1036133.9015390344
2021-02-08,1039103.1312271296
2021-02-09,1041315.117201996
2021-02-10,1057657.7407140783
2021-02-11,1067489.299902366
2021-02-16,1065569.3611012097
2021-02-17,1077933.6542208358
2021-02-18,1057166.6938502127
2021-02-19,1054385.8471227512
2021-02-22,1032681.7244694007
2021-02-23,1027940.7407229394
2021-02-24,999998.5599650843
2021-02-25,1006071.3202193072
2021-02-26,971365.9058921344
2021-03-01,998721.1306613092
2021-03-02,992422.6008081893
2021-03-03,1007311.7260836858
2021-03-04,969217.5668395509
2021-03-05,965647.8074212499
2021-03-08,932060.5853381051
2021-03-09,921808.4593142488
2021-03-10,941098.420649179
2021-03-11,977327.9049527806
2021-03-12,962950.3403869828
2021-03-15,943331.230197788
2021-03-16,961311.5715817297
2021-03-17,954169.3946489792
2021-03-18,970716.1247876652
2021-03-19,964072.4393181502
2021-03-22,948913.450023364
2021-03-23,922625.6489573498
2021-03-24,903798.3950707605
2021-03-25,896083.2735319687
2021-03-26,920797.4909299412
2021-03-29,888286.1558401273
2021-03-30,909554.6440779291
2021-03-31,914721.6546125341
2021-04-01,961551.6195887955
2021-04-07,946545.2829687977
2021-04-08,951951.8512219895
2021-04-09,938043.6075255831
2021-04-12,910404.8555987234
2021-04-13,872412.6711308726
2021-04-14,889956.112913925
2021-04-15,887850.4818566998
2021-04-16,898935.3552400903
2021-04-19,898082.6118380529
2021-04-20,907651.843499107
2021-04-21,885630.7483199302
2021-04-22,900408.3003020661
2021-04-23,929756.5544890175
2021-04-26,923338.2916790756
2021-04-27,938632.6072998157
2021-04-28,931760.7345025137
2021-04-29,934402.7898585616
2021-04-30,908580.1187109827
2021-05-03,897035.8189854728
2021-05-04,895314.3203931948
2021-05-05,885962.2885945537
2021-05-06,884474.8891607294
2021-05-07,878395.2390722961
2021-05-10,832661.1472989274
2021-05-11,798033.1795211767
2021-05-12,812450.3815126583
2021-05-13,799311.7529231831
2021-05-14,786070.8749348001
2021-05-17,810441.102452634
2021-05-18,828142.7642454528
2021-05-20,856761.4216034916
2021-05-21,861056.3820684144
2021-05-24,850498.3287495214
2021-05-25,869532.8086039181
2021-05-26,876809.0018323206
2021-05-27,858431.3170088469
2021-05-28,843555.2312004743
2021-05-31,909814.2589227109
2021-06-01,952588.1833664277
2021-06-02,950223.6295890087
2021-06-03,937314.723689362
2021-06-04,925784.9136777996
2021-06-07,921735.5782803177
2021-06-08,913833.821767173
2021-06-09,905383.9825951774
2021-06-10,917017.4889024285
2021-06-11,938159.5563376418
2021-06-15,917877.6888979786
2021-06-16,885772.8984644891
2021-06-17,889731.7589275248
2021-06-18,906873.4214937998
2021-06-21,910191.2914510675
2021-06-22,891134.9899842007
2021-06-23,927894.292588176
2021-06-24,944147.0004051402
2021-06-25,982460.236411834
2021-06-28,979854.8454939948
2021-06-29,964047.0802045723
2021-06-30,956693.4012985452
2021-07-02,915911.9045156984
2021-07-05,875932.4731672
2021-07-06,882878.596135445
2021-07-07,873267.5763411691
2021-07-08,825559.8907668437
2021-07-09,852943.9392790813
2021-07-12,866943.8733743086
2021-07-13,892914.0700933405
2021-07-14,879866.0921438155
2021-07-15,884257.2668994782
2021-07-16,883994.5240365571
2021-07-19,847853.8130945977
2021-07-20,842911.2515773511
2021-07-21,832486.9961131584
2021-07-22,858880.1095450209
2021-07-23,841566.1891999753
2021-07-26,748179.7308507367
2021-07-27,646341.5870630173
2021-07-28,681581.7700867944
2021-07-29,731419.9089312355
2021-07-30,702633.9161250175
2021-08-02,709909.648835075
2021-08-03,701867.9604736267
2021-08-04,708201.6208778349
2021-08-05,700330.6079337689
2021-08-06,706783.2882368101
2021-08-09,724863.4628324087
2021-08-10,769417.8973549597
2021-08-11,768561.210925353
2021-08-12,766105.9663447521
2021-08-13,757297.6883445247
2021-08-16,730391.2102785058
2021-08-17,710008.999165088
2021-08-18,722441.8544933219
2021-08-19,681292.6821085728
2021-08-20,659432.6904517836
2021-08-23,670762.3220715197
2021-08-24,731420.6793574749
2021-08-25,742785.2512141342
2021-08-26,739394.6295631838
2021-08-27,735341.927082994
2021-08-30,746784.4904563571
2021-08-31,797571.3251445658
2021-09-01,809169.1665465818
2021-09-02,814503.5174665563
2021-09-03,794707.7549516326
2021-09-06,801049.80429514
2021-09-07,825819.0385236436
2021-09-08,833051.8774141879
2021-09-09,804782.9784714377
2021-09-10,830097.7102337091
2021-09-13,801464.7582690447
2021-09-14,794811.679832871
2021-09-15,765857.9456024618
2021-09-16,758910.3860724488
2021-09-17,781413.6679334198
2021-09-20,760915.2702602032
2021-09-21,753037.9025879333
2021-09-23,789557.4015773092
2021-09-24,790574.8365552911
2021-09-27,799760.0682277442
2021-09-28,813032.8017581089
2021-09-29,806495.1371167493
2021-09-30,799673.7917601838
2021-10-04,771832.2488808683
2021-10-05,766146.2005251178
2021-10-06,754273.8409840008
2021-10-07,808810.1776927504
2021-10-08,815945.5808169928
2021-10-11,862319.5018077516
2021-10-12,841850.5865781442
2021-10-15,869413.3037769104
2021-10-18,867549.5564669729
2021-10-19,883337.1051862664
2021-10-20,902193.8014525785
2021-10-21,887135.758808709
2021-10-22,888035.2245207286
2021-10-25,882885.8789040389
2021-10-26,870820.1699251799
2021-10-27,838356.1336224313
2021-10-28,846752.3195445604
2021-10-29,840240.0613491776
2021-11-01,833617.9177293122
2021-11-02,840173.0537850269
2021-11-03,853129.945934749
2021-11-04,873073.1222520301
2021-11-05,847647.0703580074
2021-11-08,836002.9871052676
2021-11-09,833898.597487845
2021-11-10,848741.5576068747
2021-11-11,863227.5815537483
2021-11-12,879105.602602919
2021-11-15,877773.7445255109
2021-11-16,897942.1177618022
2021-11-17,887193.0821359677
2021-11-18,868028.7015078972
2021-11-19,858388.3145498653
2021-11-22,840295.5335252667
2021-11-23,818786.6949389495
2021-11-24,841060.8184342425
2021-11-25,843426.6068120163
2021-11-26,815417.949173305
2021-11-29,772476.35306836
2021-11-30,748463.4472486422
2021-12-01,764505.221343063
2021-12-02,774463.7554743077
2021-12-03,761424.201044309
2021-12-06,739818.9269899142
2021-12-07,773535.9523050894
2021-12-08,773703.9080633863
2021-12-09,782133.152108351
2021-12-10,770714.4308593593
2021-12-13,782483.0511110312
2021-12-14,776552.0898740895
2021-12-15,767108.3965963596
2021-12-16,762107.1404782494
2021-12-17,733693.7587873912
2021-12-20,714665.6303872472
