date,account_value
2015-01-05,1000000.0
2015-01-06,999894.811146001
2015-01-07,999747.8432066974
2015-01-08,999549.081299941
2015-01-09,999378.9166102766
2015-01-12,998941.7377030093
2015-01-13,998795.0760972807
2015-01-14,998383.8865214634
2015-01-15,999108.3466836651
2015-01-16,999205.4041682734
2015-01-19,996294.4806461293
2015-01-20,997334.1245248236
2015-01-21,998921.7811694588
2015-01-22,998913.5531603461
2015-01-23,999101.0117942642
2015-01-26,1000192.2034601758
2015-01-27,999072.2027659379
2015-01-28,997908.5398984115
2015-01-29,997221.5483956904
2015-01-30,997230.4697977586
2015-02-02,995604.9119330441
2015-02-03,997198.861470619
2015-02-04,996413.5510461419
2015-02-05,994552.2840287422
2015-02-06,993901.448283025
2015-02-09,997605.8392216575
2015-02-10,997848.9843531688
2015-02-11,998484.9970392068
2015-02-12,998507.658143993
2015-02-13,998865.8398080494
2015-02-16,1000297.3763973492
2015-02-17,1000461.1940679782
2015-02-25,1000577.729127629
2015-02-26,1003008.0453268816
2015-02-27,1005619.8010208801
2015-03-02,1006394.1459866181
2015-03-03,1002141.7341614235
2015-03-04,1003179.7852783683
2015-03-05,1002038.7813010255
2015-03-06,1001384.7646902928
2015-03-09,1007174.6150160353
2015-03-10,1005167.1011051947
2015-03-11,1008189.9560092777
2015-03-12,1010112.6655128631
2015-03-13,1009411.0485194812
2015-03-16,1013479.5358640377
2015-03-17,1018058.9642147593
2015-03-18,1021551.7510042279
2015-03-19,1017683.339964359
2015-03-20,1015962.0460117429
2015-03-23,1019771.7233097319
2015-03-24,1020579.9785851091
2015-03-25,1017404.7034189503
2015-03-26,1020965.8222612693
2015-03-27,1018509.4383350359
2015-03-30,1024148.9844039611
2015-03-31,1021397.4500411614
2015-04-01,1023840.8945542835
2015-04-02,1024055.4553567166
2015-04-03,1028755.5514643644
2015-04-07,1034625.0262500176
2015-04-08,1037010.3619413266
2015-04-09,1030035.9310066856
2015-04-10,1034610.913824094
2015-04-13,1039477.7906456948
2015-04-14,1043202.8267482752
2015-04-15,1039668.1355287158
2015-04-16,1065028.7472554152
2015-04-17,1074095.237623185
2015-04-20,1075927.1776738702
2015-04-21,1104864.7667115426
2015-04-22,1116028.8662432686
2015-04-23,1110717.2408314445
2015-04-24,1112854.5720345571
2015-04-27,1111893.9190469156
2015-04-28,1095274.7569636058
2015-04-29,1104613.4807166853
2015-04-30,1105720.2392791882
2015-05-04,1115663.9724753615
2015-05-05,1090365.7466370952
2015-05-06,1088932.9894393785
2015-05-07,1084517.7757902353
2015-05-08,1100238.46194368
2015-05-11,1110384.8749420675
2015-05-12,1109928.8553900325
2015-05-13,1112548.3847102562
2015-05-14,1109115.4711878295
2015-05-15,1096167.6566856704
2015-05-18,1088525.1766139867
2015-05-19,1108066.1114500673
2015-05-20,1116794.9722715023
2015-05-21,1132037.4801822933
2015-05-22,1162737.6434517577
2015-05-25,1186048.5267897914
2015-05-26,1187435.4904971002
2015-05-27,1175095.3704550157
2015-05-28,1132498.4188595545
2015-05-29,1131738.5010188697
2015-06-01,1159714.0671019389
2015-06-02,1157553.6731762297
2015-06-03,1145823.1303199832
2015-06-04,1138308.1426577251
2015-06-05,1139279.915480449
2015-06-08,1165678.6075574167
2015-06-09,1159105.4897876398
2015-06-10,1164249.0246387396
2015-06-11,1168945.7658080847
2015-06-12,1181944.425452773
2015-06-15,1175688.0563479553
2015-06-16,1143012.2999903304
2015-06-17,1147824.9211932428
2015-06-18,1113293.9533912109
2015-06-19,1072506.4020939348
2015-06-23,1111771.7487668328
2015-06-24,1137647.9654379075
2015-06-25,1108515.554245131
2015-06-26,1063078.6709507727
2015-06-29,1066386.4060474043
2015-06-30,1106229.7639818955
2015-07-01,1085792.7692001169
2015-07-02,1074290.4744105374
2015-07-03,1037660.3712521241
2015-07-06,1050330.1134177363
2015-07-07,1022057.112129572
2015-07-08,987345.6108152961
2015-07-09,1043972.971651697
2015-07-10,1076574.0002828585
2015-07-13,1080312.363917306
2015-07-14,1056987.4783624385
2015-07-15,1044778.3233593858
2015-07-16,1051257.82035997
2015-07-17,1074699.4028336275
2015-07-20,1067871.4118117562
2015-07-21,1061773.2117504533
2015-07-22,1050691.221846967
2015-07-23,1065438.0135144386
2015-07-24,1059530.7716607228
2015-07-27,986213.0973136576
2015-07-28,994154.3878422988
2015-07-29,1012534.3624379563
2015-07-30,997069.9564197898
2015-07-31,1001433.8506766236
2015-08-03,1017145.7088999858
2015-08-04,1034912.3176813116
2015-08-05,1012261.9163507387
2015-08-06,1010944.6021677151
2015-08-07,1025529.6837840586
2015-08-10,1058086.2230339728
2015-08-11,1051768.8090081313
2015-08-12,1040379.4899280999
2015-08-13,1058827.1280203348
2015-08-14,1056497.6128524044
