date,account_value
2017-10-02,1000000.0
2017-10-03,1000040.7694516376
2017-10-04,999802.8828013231
2017-10-05,1000307.5312993169
2017-10-06,1000534.9784464965
2017-10-09,999452.2352982423
2017-10-10,998998.6012080204
2017-10-11,999410.3919618498
2017-10-12,999207.2493352741
2017-10-13,1000665.1810717452
2017-10-16,1000500.1355456425
2017-10-17,1002462.97967649
2017-10-18,1002180.3463133284
2017-10-19,999298.9622563955
2017-10-20,998331.7256179976
2017-10-23,996922.723272596
2017-10-24,996311.3536107792
2017-10-25,996312.690572355
2017-10-26,997296.6287407973
2017-10-27,997344.7825146001
2017-10-30,999676.5362224749
2017-10-31,999472.2104597591
2017-11-01,998425.0616588499
2017-11-02,1007765.8353764464
2017-11-03,1011108.0397889405
2017-11-06,1011583.660401721
2017-11-07,1009055.0992596862
2017-11-08,1005843.905099968
2017-11-09,1010425.1151847261
2017-11-10,1005155.2140202194
2017-11-13,1002885.8727470543
2017-11-14,1011271.1318547346
2017-11-15,1011530.8877898963
2017-11-16,1020354.2447261554
2017-11-17,1025941.989550536
2017-11-20,1029650.5598655012
2017-11-21,1030695.2948508017
2017-11-22,1034608.541770824
2017-11-24,1031361.8412573141
2017-11-27,1035335.7411562396
2017-11-28,1059603.816331071
2017-11-29,1080810.6220458774
2017-11-30,1080390.0771570103
2017-12-01,1071965.4585632961
2017-12-04,1100302.4822775512
2017-12-05,1104010.804324153
2017-12-06,1091445.693613249
2017-12-07,1096869.4888165214
2017-12-08,1116689.7641433675
2017-12-11,1105024.9006418025
2017-12-12,1110343.1304924907
2017-12-13,1106172.5509314265
2017-12-14,1098902.6812089095
2017-12-15,1097270.2341149803
2017-12-18,1107789.2141446471
2017-12-19,1102893.5860660414
2017-12-20,1101513.1797968037
2017-12-21,1107917.8013988747
2017-12-22,1110826.4443226652
2017-12-26,1114625.1012917657
2017-12-27,1107198.6947674789
2017-12-28,1119218.5771181723
2017-12-29,1109809.1869505693
2018-01-02,1136471.6319725334
2018-01-03,1152768.3760534597
2018-01-04,1167213.6837960111
2018-01-05,1185451.0487312512
2018-01-08,1175985.4730219734
2018-01-09,1181923.9694145871
2018-01-10,1179229.0820503407
2018-01-11,1187496.6891072616
2018-01-12,1207818.6093970982
2018-01-16,1201341.8810822952
2018-01-17,1211246.2986106875
2018-01-18,1207466.6333404204
2018-01-19,1220194.0594181905
2018-01-22,1220648.2321014889
2018-01-23,1220195.9808277446
2018-01-24,1227726.2514271026
2018-01-25,1222563.3035052458
2018-01-26,1235450.3721815427
2018-01-29,1223537.3105619757
2018-01-30,1209618.4027737845
2018-01-31,1197358.2015734834
2018-02-01,1194660.0007526826
2018-02-02,1172778.4511575585
2018-02-05,1133068.1544551656
2018-02-06,1152165.7994995557
2018-02-07,1133623.3485811253
2018-02-08,1107389.080624929
2018-02-09,1119631.9274943967
2018-02-12,1131119.9541541429
2018-02-13,1114770.874481531
2018-02-14,1130109.684389182
2018-02-15,1139160.3803118658
2018-02-16,1129624.4847894823
2018-02-20,1128522.5566068366
2018-02-21,1134990.1799871721
2018-02-22,1132374.9124122
2018-02-23,1145379.2051434824
2018-02-26,1160429.6373595227
2018-02-27,1075342.6372414855
2018-02-28,1075443.1986227075
2018-03-01,1065045.321864741
2018-03-02,1065102.6543665328
2018-03-05,1061844.2151003205
2018-03-06,1071036.2708253318
2018-03-07,1062583.3499626282
2018-03-08,1062822.6286251268
2018-03-09,1075755.4283845124
2018-03-12,1071243.1709126213
2018-03-13,1064016.262865155
2018-03-14,1061748.7900558424
2018-03-15,1061316.254883268
2018-03-16,1060904.3902486223
2018-03-19,1057464.5318733328
2018-03-20,1056619.1619555515
2018-03-21,1057126.3806926934
2018-03-22,1041455.1782597324
2018-03-23,1024775.0604586349
2018-03-26,1042270.0182077117
2018-03-27,1027484.1339530472
2018-03-28,1028669.3653577723
2018-03-29,1046367.5384682169
2018-04-02,1000970.0472603716
2018-04-03,1012956.1838774846
2018-04-04,1029188.7742767575
2018-04-05,1041125.3321263641
2018-04-06,1017445.3392355551
2018-04-09,1009330.9382393922
2018-04-10,1017237.052016387
2018-04-11,1014352.6568216081
2018-04-12,1018955.713437667
2018-04-13,1005424.4468268714
2018-04-16,1004043.0256094766
2018-04-17,1008115.4746549537
2018-04-18,1012036.1840526916
2018-04-19,1006868.1422802826
2018-04-20,995944.9105981177
2018-04-23,1000584.2992965459
2018-04-24,997356.0678043629
2018-04-25,1001947.6821614621
2018-04-26,1016662.2042600269
2018-04-27,1025823.4077407088
2018-04-30,1016543.4324309278
2018-05-01,1023185.1308094191
2018-05-02,1019051.7815482862
2018-05-03,1023869.9489871849
2018-05-04,1041370.6801665868
2018-05-07,1041470.0487672553
2018-05-08,1051396.3799410155
2018-05-09,1055274.1075999353
2018-05-10,1058839.9336434507
2018-05-11,1065192.6713786118
2018-05-14,1065984.8103281606
2018-05-15,1053226.9880197786
2018-05-16,1049077.5253091804
2018-05-17,1048088.8438676917
2018-05-18,1056326.7526412983
2018-05-21,1071587.5262381178
2018-05-22,1013825.7269379725
2018-05-23,1051253.4228184181
2018-05-24,1067549.6902868063
2018-05-25,1064928.6555859756
2018-05-29,1054032.9112025958
2018-05-30,1081711.2925313835
2018-05-31,1070388.9718298668
2018-06-01,1079202.9047222775
2018-06-04,1090826.1122301875
2018-06-05,1083028.7523759147
2018-06-06,1092488.1916625616
2018-06-07,1102142.6499944828
2018-06-08,1111392.316354161
2018-06-11,1120264.6984382404
2018-06-12,1115412.3118515015
2018-06-13,1108530.5612843311
2018-06-14,1105057.2848883667
2018-06-15,1112173.2708289206
2018-06-18,1107274.0499766537
2018-06-19,1099786.9818650163
2018-06-20,1097765.615805304
2018-06-21,1096987.454685728
2018-06-22,1092191.252939817
2018-06-25,1083104.196076429
2018-06-26,1078007.6986076555
2018-06-27,1068378.0316091953
2018-06-28,1075373.824369663
2018-06-29,1071303.2250140812
2018-07-02,1070135.460847848
2018-07-03,1072853.0870976583
2018-07-05,1075053.5588867278
2018-07-06,1080831.568512602
2018-07-09,1096261.931384527
2018-07-10,1103344.9272801059
2018-07-11,1091386.9350063708
2018-07-12,1104776.6365149927
2018-07-13,1107682.0810005749
2018-07-16,1111950.0702355336
2018-07-17,1119258.91215445
2018-07-18,1119156.8343753698
2018-07-19,1133900.1208590786
2018-07-20,1130728.788323171
2018-07-23,1127044.2820276492
2018-07-24,1120254.1212580146
2018-07-25,1102267.1243669621
2018-07-26,1103069.9573699227
2018-07-27,1101573.3410122881
2018-07-30,1095993.802091271
2018-07-31,1105850.807744808
2018-08-01,1101236.9394324648
2018-08-02,1110183.6585334216
2018-08-03,1111911.9000734165
2018-08-06,1113854.2789477073
2018-08-07,1119030.440663016
2018-08-08,1121975.3464274725
2018-08-09,1123217.3356242392
2018-08-10,1119789.1370578082
2018-08-13,1111506.55664485
2018-08-14,1133235.710927365
2018-08-15,1125112.840297311
2018-08-16,1135276.4654665224
2018-08-17,1140705.4816502794
2018-08-20,1147295.4454035591
2018-08-21,1149954.6168121253
2018-08-22,1157675.653264425
2018-08-23,1168723.9057313493
2018-08-24,1169387.5718864745
2018-08-27,1171286.6619046782
2018-08-28,1173559.4212456704
2018-08-29,1175207.1056092228
2018-08-30,1168960.1436278208
2018-08-31,1174857.024049956
2018-09-04,1187446.2459220602
2018-09-05,1175982.65106771
2018-09-06,1180799.2121743083
2018-09-07,1180348.7246406253
2018-09-10,1186765.2148735865
2018-09-11,1191341.4345638638
2018-09-12,1190882.6227386722
2018-09-13,1185847.1424035805
2018-09-14,1183796.375912472
2018-09-17,1184113.980378031
2018-09-18,1189827.599568542
2018-09-19,1197445.9946416465
2018-09-20,1192348.763837189
2018-09-21,1201372.5336737086
2018-09-24,1192275.0259526996
2018-09-25,1206206.9873307864
2018-09-26,1206662.1182330707
2018-09-27,1209877.7906176266
2018-09-28,1209040.7007130294
