date,account_value
2022-09-28,1000000.0
2022-09-29,1000984.5186944153
2022-09-30,998008.5044993596
2022-10-01,993769.839469666
2022-10-02,982525.700433467
2022-10-03,1005269.4438441753
2022-10-04,1032370.1947037438
2022-10-05,1025679.3117108169
2022-10-06,1018461.426833848
2022-10-07,1003375.7561348253
2022-10-08,998121.7055696261
2022-10-09,1001940.4813327189
2022-10-10,988289.2826216681
2022-10-11,984268.0492340329
2022-10-12,987117.0162034258
2022-10-13,994083.0643364701
2022-10-14,987709.7889488469
2022-10-15,984211.9698156784
2022-10-16,994766.9090188516
2022-10-17,1010704.6324635514
2022-10-18,1002114.1235701753
2022-10-19,992178.926774938
2022-10-20,986463.0013784077
2022-10-21,990060.8963094521
2022-10-22,991835.5148923264
2022-10-23,1006474.252738087
2022-10-24,993496.8367666174
2022-10-25,1029472.1789180308
2022-10-26,1059269.8732258282
2022-10-27,1036615.5057440753
2022-10-28,1050154.7954356696
2022-10-29,1064345.2642707438
2022-10-30,1054689.7468061603
2022-10-31,1047935.4147061143
2022-11-01,1046060.774592929
2022-11-02,1025297.2430062531
2022-11-03,1030544.0553573136
2022-11-04,1078737.7969702282
2022-11-05,1079973.9208988347
2022-11-06,1055583.6671350296
2022-11-07,1046826.7652016382
2022-11-08,946030.7792964599
2022-11-09,837539.7815367882
2022-11-10,936616.7823332845
2022-11-11,906922.741793408
2022-11-12,884322.9041054606
2022-11-13,864733.9249421514
2022-11-14,877410.3208029647
2022-11-15,887424.3161361436
2022-11-16,870022.2446650781
2022-11-17,867061.4508981081
2022-11-18,869430.7284312281
2022-11-19,874403.523673848
2022-11-20,848239.0482879967
2022-11-21,827584.913648276
2022-11-22,845375.0076129877
2022-11-23,869108.2031262097
2022-11-24,870924.7880214816
2022-11-25,864960.1730950025
2022-11-26,863975.9530622463
2022-11-27,861442.4938316485
2022-11-28,853015.213319941
2022-11-29,866623.1353872607
2022-11-30,898303.1774705654
2022-12-01,888054.4911058856
2022-12-02,893681.1578733681
2022-12-03,879185.3713714855
2022-12-04,891862.2707834912
2022-12-05,883731.0161754461
2022-12-06,886277.258263516
2022-12-07,867542.4469834574
2022-12-08,886927.0935286804
2022-12-09,880412.18956763
2022-12-10,881281.4751972952
2022-12-11,877006.8763356204
2022-12-12,876846.9176680028
2022-12-13,898192.8846286436
2022-12-14,895859.0495510275
2022-12-15,876812.0156782208
2022-12-16,827901.3836700472
2022-12-17,837465.0615628108
2022-12-18,835618.9937319988
