date,account_value
2013-01-02,1000000.0
2013-01-03,999940.1202319298
2013-01-04,999982.5809057883
2013-01-07,999891.1578414649
2013-01-08,999810.7742675074
2013-01-09,999965.1657879731
2013-01-10,1000122.5299107683
2013-01-11,1000136.0658962324
2013-01-14,1000175.3058653295
2013-01-15,1000430.413755863
2013-01-16,1000454.1880350873
2013-01-17,1001161.4150861662
2013-01-18,1001621.0508582648
2013-01-22,1002319.9889336566
2013-01-23,1003515.6450242997
2013-01-24,1003929.3003362484
2013-01-25,1004213.6952441101
2013-01-28,1004254.1083232688
2013-01-29,1004441.6848767985
2013-01-30,1003978.6961271133
2013-01-31,1003238.3041733074
2013-02-01,1004745.7259118975
2013-02-04,1003375.5443487262
2013-02-05,1005133.6512959383
2013-02-06,1005416.1813738534
2013-02-07,1005060.9583182371
2013-02-08,1006380.0423782538
2013-02-11,1005115.4586004809
2013-02-12,1005583.9366825083
2013-02-13,1005553.2765898893
2013-02-14,1004899.5484614597
2013-02-15,1005620.8002384831
2013-02-19,1005954.5857382258
2013-02-20,1003349.1511270466
2013-02-21,1001399.0445430584
2013-02-22,1003479.4512870846
2013-02-25,998669.298024048
2013-02-26,1002770.9836663058
2013-02-27,1006423.679900534
2013-02-28,1005957.6194107822
2013-03-01,1007395.5729589085
2013-03-04,1009307.3497600559
2013-03-05,1011516.7854096359
2013-03-06,1012974.0294440159
2013-03-07,1013949.032409989
2013-03-08,1017457.726769797
2013-03-11,1017852.8604793899
2013-03-12,1017620.540071391
2013-03-13,1018359.4205425291
2013-03-14,1019977.061737378
2013-03-15,1017799.4693432169
2013-03-18,1017213.5342547806
2013-03-19,1017133.9121152866
2013-03-20,1019314.5292723854
2013-03-21,1017671.6988012703
2013-03-22,1019658.9632997178
2013-03-25,1018510.7951107301
2013-03-26,1022340.9274421989
2013-03-27,1020868.7262767878
2013-03-28,1023800.3333023157
2013-04-01,1023664.5276909247
2013-04-02,1030409.3927830402
2013-04-03,1026557.0757213298
2013-04-04,1027739.1001582539
2013-04-05,1024549.7095565121
2013-04-08,1027993.6114093601
2013-04-09,1028810.0554946358
2013-04-10,1033838.4648113968
2013-04-11,1036499.7152183582
2013-04-12,1037702.037090953
2013-04-15,1027222.6676908999
2013-04-16,1034906.0966272175
2013-04-17,1030939.3628942253
2013-04-18,1023895.1969624816
2013-04-19,1022137.0568430969
2013-04-22,1020246.079545602
2013-04-23,1023158.4615906822
2013-04-24,1022213.678249324
2013-04-25,1022571.5528258277
2013-04-26,1021178.1685155135
2013-04-29,1025731.288527587
2013-04-30,1027191.7566200153
2013-05-01,1022191.2311760626
2013-05-02,1028403.2523431636
2013-05-03,1034714.4537716189
2013-05-06,1038691.8771469832
2013-05-07,1041537.2443559313
2013-05-08,1047412.5884757091
2013-05-09,1048305.8451832953
2013-05-10,1051837.4876058246
2013-05-13,1051088.4622343227
2013-05-14,1054823.0524362708
2013-05-15,1059122.2001685705
2013-05-16,1057273.4590103084
2013-05-17,1064751.10289956
2013-05-20,1061960.0517973586
2013-05-21,1067016.3601168566
2013-05-22,1064598.2736926929
2013-05-23,1060397.10431573
2013-05-24,1060914.6652918463
2013-05-28,1069727.101671136
2013-05-29,1064505.8496790933
2013-05-30,1067412.8163360797
2013-05-31,1055729.4833683579
2013-06-03,1061079.6467859852
2013-06-04,1051597.0668760045
2013-06-05,1038302.745546056
2013-06-06,1047374.2189355595
2013-06-07,1061724.1645816318
2013-06-10,1057592.5697986633
2013-06-11,1053983.4498773015
2013-06-12,1044398.395883218
2013-06-13,1053356.7717075646
2013-06-14,1050379.373651397
2013-06-17,1056364.4295049622
2013-06-18,1068230.2455880712
2013-06-19,1054963.630946336
2013-06-20,1030574.8717924245
2013-06-21,1032696.6809325134
2013-06-24,1025496.6172893174
2013-06-25,1030300.28103949
2013-06-26,1044772.5482894271
2013-06-27,1051946.8854443647
2013-06-28,1045229.601807711
2013-07-01,1047267.3064285376
2013-07-02,1041508.2791081507
2013-07-03,1047875.4722339328
2013-07-05,1059018.6794475291
2013-07-08,1068461.7089166166
2013-07-09,1071401.6060199894
2013-07-10,1070379.0506235117
2013-07-11,1080673.2518306687
2013-07-12,1081663.2587642062
2013-07-15,1081016.1891424754
2013-07-16,1076563.74213188
2013-07-17,1078633.3560688612
2013-07-18,1091059.4896735824
2013-07-19,1091142.394246938
2013-07-22,1091407.8100529646
2013-07-23,1095266.29445171
2013-07-24,1094783.3964940275
2013-07-25,1091228.9065335935
2013-07-26,1090150.3855542978
2013-07-29,1088523.52726217
2013-07-30,1087899.9112532418
2013-07-31,1089456.5624125684
2013-08-01,1096760.327295005
2013-08-02,1099705.3822064498
2013-08-05,1099117.0775306504
2013-08-06,1093754.1212898782
2013-08-07,1086786.4590902245
2013-08-08,1090728.657888864
2013-08-09,1085268.1248651831
2013-08-12,1086766.04779542
2013-08-13,1088673.8045030034
2013-08-14,1078193.780830545
2013-08-15,1058112.2683431713
2013-08-16,1057636.3754659132
2013-08-19,1053057.3600346234
2013-08-20,1051903.474971639
2013-08-21,1044484.1160737394
2013-08-22,1048284.9723406422
2013-08-23,1050614.6079901718
2013-08-26,1050532.3515648579
2013-08-27,1036559.2428220733
2013-08-28,1038037.443537659
2013-08-29,1041590.8882611755
2013-08-30,1039254.9567778619
2013-09-03,1043015.2277876065
2013-09-04,1048652.026125581
2013-09-05,1047353.4805396474
2013-09-06,1046517.8247181209
2013-09-09,1057726.4595637268
2013-09-10,1068857.2276591952
2013-09-11,1075127.5052226356
2013-09-12,1075895.482201792
2013-09-13,1079960.1243376925
2013-09-16,1088221.80347767
2013-09-17,1089502.7131197273
2013-09-18,1102498.5618683074
2013-09-19,1101716.018222689
2013-09-20,1087833.9539639838
2013-09-23,1084245.9803554632
2013-09-24,1080867.929511288
2013-09-25,1075115.9467142108
2013-09-26,1078409.4445900444
2013-09-27,1072344.0342596439
2013-09-30,1064986.3007232002
2013-10-01,1070829.2926364501
2013-10-02,1069540.4716295628
2013-10-03,1061747.3768449672
2013-10-04,1064707.9544381946
2013-10-07,1057743.8003021395
2013-10-08,1050092.7709835724
2013-10-09,1052380.7179084627
2013-10-10,1076951.1194664405
2013-10-11,1085069.6780533069
2013-10-14,1087350.689087209
2013-10-15,1076565.5058822196
2013-10-16,1087534.3211236307
2013-10-17,1088304.8978759674
2013-10-18,1080967.1605967658
