date,account_value
2022-06-30,1000000.0
2022-07-01,1004589.6879619423
2022-07-04,1005416.7623958505
2022-07-05,1009754.7324728601
2022-07-06,1037927.0420202464
2022-07-07,1050671.5584292437
2022-07-08,1054384.5162601238
2022-07-11,1054404.916750303
2022-07-12,1055360.9834905197
2022-07-13,1043042.0294754236
2022-07-14,1036206.5853088272
2022-07-15,1061082.8885371832
2022-07-18,1064333.9298988725
2022-07-19,1071231.8618649438
2022-07-20,1079279.3279768243
2022-07-21,1117481.0549216405
2022-07-22,1115200.0216159744
2022-07-25,1111984.5763643987
2022-07-26,1092414.084156862
2022-07-27,1101991.0295087823
2022-07-28,1124343.6924551325
2022-07-29,1146898.8009236918
2022-08-01,1143416.6507144542
2022-08-02,1136807.0805972277
2022-08-03,1148027.636330945
2022-08-04,1157716.6437400926
2022-08-05,1149782.5992707529
2022-08-08,1160852.6819591033
2022-08-09,1146907.46179056
2022-08-10,1188010.4952956592
2022-08-11,1198119.405820494
2022-08-12,1194892.4580283884
2022-08-15,1197074.0764721525
2022-08-16,1188979.9490490635
2022-08-17,1181893.8841672055
2022-08-18,1184590.8671284132
2022-08-19,1172745.7810170874
2022-08-22,1144723.2732320628
2022-08-23,1134994.9209653528
2022-08-24,1134552.690442263
2022-08-25,1138269.626408373
2022-08-26,1128738.5844182929
2022-08-30,1119754.7005319968
2022-08-31,1109567.6571634642
2022-09-01,1075042.8799575784
2022-09-02,1111191.204613594
2022-09-05,1105690.738222974
2022-09-06,1119161.757246154
2022-09-07,1116775.676841874
2022-09-08,1127587.494536374
2022-09-09,1145315.0642609538
2022-09-12,1165524.119859554
2022-09-13,1139914.285501414
2022-09-14,1126636.577479234
2022-09-15,1132270.093476344
2022-09-16,1122289.7121920239
2022-09-20,1110856.609266624
2022-09-21,1120650.6812465342
2022-09-22,1098981.2443287543
2022-09-23,1085469.175555924
2022-09-26,1086727.933951614
2022-09-27,1081138.361847634
2022-09-28,1071646.953535234
2022-09-29,1029870.6714519542
2022-09-30,1054288.913319794
2022-10-03,1053280.0084611839
2022-10-04,1089258.5941384837
2022-10-05,1076551.716525344
2022-10-06,1063797.8792813339
2022-10-07,1051327.521024474
