date,account_value
2021-01-04,1000000.0
2021-01-05,1000002.4704035323
2021-01-06,1000042.169028308
2021-01-07,1000028.6693030884
2021-01-08,1000013.1613911766
2021-01-11,999988.5489027088
2021-01-12,1000102.260634475
2021-01-13,1000163.0538584391
2021-01-14,1000194.3731549702
2021-01-15,1000125.0505208973
2021-01-18,1000190.3534830215
2021-01-19,1000453.4638429878
2021-01-20,1000422.9178067225
2021-01-21,1000411.4810310425
2021-01-22,1000053.0994458493
2021-01-25,999939.074418907
2021-01-26,999727.6407307442
2021-01-27,999993.1702691057
2021-01-28,999702.943092815
2021-01-29,999414.2834494517
2021-02-01,999636.6056214324
2021-02-02,1000027.3462676347
2021-02-03,1000062.0061821924
2021-02-04,999982.6344939611
2021-02-05,999950.5295117815
2021-02-08,999985.1540174409
2021-02-09,1000163.148997507
2021-02-10,1000186.0594087498
2021-02-11,1000293.1938128959
2021-02-16,1001231.2729088214
2021-02-17,1001721.9085289859
2021-02-18,1001567.2141181635
2021-02-19,1002448.8319312212
2021-02-22,1002711.0117546235
2021-02-23,1003308.652516527
2021-02-24,1002615.7714432111
2021-02-25,1003380.4395942639
2021-02-26,1002102.152145142
2021-03-01,1002001.3156085516
2021-03-02,1002033.2452781415
2021-03-03,1002529.1844830643
2021-03-04,1002092.7289993659
2021-03-05,1001724.4602852123
2021-03-08,1002124.3395386846
2021-03-09,1001967.6980728136
2021-03-10,1001981.7747226914
2021-03-11,1003423.7579513235
2021-03-12,1002887.3450504796
2021-03-15,1003266.4148352493
2021-03-16,1003348.457350551
2021-03-17,1003274.9874591699
2021-03-18,1002739.337416223
2021-03-19,1001659.6033385653
2021-03-22,1001866.9296144556
2021-03-23,1001124.6936384668
2021-03-24,1000340.7022322211
2021-03-25,1000297.4911031831
2021-03-26,1000830.9077635156
2021-03-29,1001766.8126663152
2021-03-30,1002668.8676358226
2021-03-31,1002031.7002797386
2021-04-01,1001915.788547485
2021-04-07,1002691.1103657697
2021-04-08,1002608.4737425658
2021-04-09,1002560.1208965138
2021-04-12,1001843.7492782102
2021-04-13,1002142.2729105274
2021-04-14,1003670.7962280585
2021-04-15,1003644.3239798663
2021-04-16,1004298.7819781651
2021-04-19,1004514.7941313052
2021-04-20,1004041.086935964
2021-04-21,1003373.7252889434
2021-04-22,1004016.9629780944
2021-04-23,1004583.3607407084
2021-04-26,1003491.66987406
2021-04-27,1002720.1350283051
2021-04-28,1002625.2936334722
2021-04-29,1003051.145148907
2021-04-30,1002315.8029852667
2021-05-03,1001574.3528356154
2021-05-04,1002073.7055197903
2021-05-05,1002102.426591342
2021-05-06,1003018.0493058679
2021-05-07,1003568.0759010876
2021-05-10,1005415.7327006895
2021-05-11,1004279.9882228343
2021-05-12,1003761.1521015939
2021-05-13,1002535.3070433208
2021-05-14,1004233.9430549449
2021-05-17,1003960.657883125
2021-05-18,1006192.4626160067
2021-05-20,1004593.5445064561
2021-05-21,1004641.6442647873
2021-05-24,1005657.8295652997
2021-05-25,1006306.2537615435
2021-05-26,1006905.2854618412
2021-05-27,1007323.4054064868
2021-05-28,1006884.749221028
2021-05-31,1007440.4669656331
2021-06-01,1008136.5869859352
2021-06-02,1008538.0007838056
2021-06-03,1007935.708889143
2021-06-04,1007354.9694526551
2021-06-07,1008190.130245281
2021-06-08,1008781.9495346699
2021-06-09,1009053.6898501894
2021-06-10,1009514.0635852632
2021-06-11,1010596.142340988
2021-06-15,1009218.7598334559
2021-06-16,1008007.9880517948
2021-06-17,1007800.9946513032
2021-06-18,1007268.3110448195
2021-06-21,1006086.2102199208
2021-06-22,1007547.586717551
2021-06-23,1008333.4217977078
2021-06-24,1008797.6551325738
2021-06-25,1009893.59486694
2021-06-28,1009580.2054369007
2021-06-29,1007009.7481143458
2021-06-30,1006850.6351655457
2021-07-02,1006097.7890294036
2021-07-05,1005648.2883271476
2021-07-06,1004563.6599558181
2021-07-07,1004598.6363580405
2021-07-08,1001430.3407415748
2021-07-09,1001276.3764589356
2021-07-12,1002071.5159400105
2021-07-13,1002646.489788746
2021-07-14,1002042.1380383567
2021-07-15,1003709.6246466753
2021-07-16,1002998.5720372533
2021-07-19,1001899.3227733906
2021-07-20,1000880.2387336504
2021-07-21,1001017.6058652448
2021-07-22,1003115.3926750259
2021-07-23,1003085.3174587991
2021-07-26,1000534.2491988437
2021-07-27,997633.9176074585
2021-07-28,998676.4537125446
2021-07-29,999462.4848792957
2021-07-30,998410.677976458
2021-08-02,1001417.6340768993
2021-08-03,1001579.210655679
2021-08-04,1002253.5104642402
2021-08-05,1001714.2529199958
2021-08-06,1002054.8781543109
2021-08-09,1003592.8402339756
2021-08-10,1003554.5073546375
2021-08-11,1005407.2732657955
2021-08-12,1005048.5311370434
2021-08-13,1004829.8357891459
2021-08-16,1006118.7829058196
2021-08-17,1005232.1078266806
2021-08-18,1005441.5056720308
2021-08-19,1002758.8382810635
2021-08-20,1000017.6580125167
2021-08-23,1000703.5808136303
2021-08-24,1000541.0547732827
2021-08-25,1000552.7926679316
2021-08-26,998461.8529012469
2021-08-27,997230.7878545391
2021-08-30,999796.8958702525
2021-08-31,1001102.5009689487
2021-09-01,1004011.553149424
2021-09-02,1004643.2893258431
2021-09-03,1006365.9712742473
2021-09-06,1007465.5638660783
2021-09-07,1006825.3669784488
2021-09-08,1004742.7026294207
2021-09-09,1006383.3336733276
2021-09-10,1009204.571374328
2021-09-13,1009274.4979255667
2021-09-14,1008648.5396684266
2021-09-15,1006505.002826331
2021-09-16,1003920.8792585338
2021-09-17,1005386.5179769958
2021-09-20,999912.2243505879
2021-09-21,1000293.7406745122
2021-09-23,1002618.321671497
2021-09-24,999258.1790426646
2021-09-27,1000488.2823007443
2021-09-28,1002323.190151904
2021-09-29,1000847.6984253613
2021-09-30,1001331.740883652
2021-10-04,1000321.227899677
2021-10-05,1001142.5355541039
2021-10-06,1001070.4669512736
2021-10-07,1002508.7259475001
2021-10-08,1002009.9400628303
2021-10-11,1002274.8721946499
2021-10-12,1000879.0334223495
2021-10-15,999437.9867229383
2021-10-18,1000805.931159592
2021-10-19,1003528.0858882854
2021-10-20,1001139.8375831558
2021-10-21,1000536.1667845636
2021-10-22,1000394.5682477495
2021-10-25,1000041.2123762373
2021-10-26,998701.3823736546
2021-10-27,996724.5384114938
2021-10-28,995613.8485007411
2021-10-29,995557.2785094321
2021-11-01,993647.3857458333
2021-11-02,991904.7926727543
2021-11-03,990954.7187351569
2021-11-04,991199.2956228275
2021-11-05,987736.5071214475
2021-11-08,989666.3884347699
2021-11-09,989601.5360876033
2021-11-10,991268.1268557339
2021-11-11,994275.2416286542
2021-11-12,992833.1447324543
2021-11-15,992725.9726020687
2021-11-16,993980.3566612354
2021-11-17,993390.9762418815
2021-11-18,991475.5404409782
2021-11-19,992516.6200698041
2021-11-22,990319.1171995997
