date,account_value
2015-01-05,1000000.0
2015-01-06,999957.3795604397
2015-01-07,999937.1743552334
2015-01-08,999776.5193826304
2015-01-09,999673.097458852
2015-01-12,999423.4980468517
2015-01-13,999260.8949695422
2015-01-14,999061.276131331
2015-01-15,999425.6599656747
2015-01-16,999412.8766076667
2015-01-19,997555.573358507
2015-01-20,997608.9185069867
2015-01-21,998627.6708912099
2015-01-22,998656.7837282495
2015-01-23,998677.8380360632
2015-01-26,998894.1968144231
2015-01-27,998432.5984001354
2015-01-28,997987.9892961354
2015-01-29,997353.8294742333
2015-01-30,997197.6764543426
2015-02-02,996358.3345223187
2015-02-03,997560.3131053259
2015-02-04,997135.3674584732
2015-02-05,996356.895763736
2015-02-06,996181.0199855007
2015-02-09,998344.3035913192
2015-02-10,998416.1532824573
2015-02-11,998389.4178617711
2015-02-12,998553.2363417916
2015-02-13,998482.893009227
2015-02-16,998963.0585314387
2015-02-17,999361.2592968473
2015-02-25,999555.3098507987
2015-02-26,1001339.7854844236
2015-02-27,1002412.1386886352
2015-03-02,1002759.9426070518
2015-03-03,1000247.9591565896
2015-03-04,1000493.3815150532
2015-03-05,999440.3675906772
2015-03-06,998935.6631534717
2015-03-09,1001327.0314899613
2015-03-10,1000118.4479086469
2015-03-11,1001900.8727734989
2015-03-12,1003421.0289199869
2015-03-13,1003246.4722303278
2015-03-16,1006023.3960037265
2015-03-17,1008500.9347367818
2015-03-18,1010419.8159687507
2015-03-19,1008515.9682971558
2015-03-20,1008896.7517476184
2015-03-23,1011293.1999174627
2015-03-24,1012781.4909858184
2015-03-25,1010225.7838899146
2015-03-26,1011799.5559776083
2015-03-27,1010133.4453666902
2015-03-30,1013040.5583623844
2015-03-31,1011258.008932085
2015-04-01,1013207.4864676639
2015-04-02,1013328.466022809
2015-04-03,1015352.56828341
2015-04-07,1019420.2764243255
2015-04-08,1022100.2943949862
2015-04-09,1019129.3797136387
2015-04-10,1019903.7882167394
2015-04-13,1021710.2919718254
2015-04-14,1021365.4029533133
2015-04-15,1019784.2565389846
2015-04-16,1032324.4012306215
2015-04-17,1038616.7651977406
2015-04-20,1038890.214875255
2015-04-21,1052963.4066761797
2015-04-22,1059769.5743245983
2015-04-23,1057441.8746996056
2015-04-24,1057440.0796470586
2015-04-27,1059589.3637879158
2015-04-28,1053775.6242451284
2015-04-29,1054485.9598424635
2015-04-30,1053154.0198302625
2015-05-04,1055601.8582739695
2015-05-05,1041224.2982177702
2015-05-06,1041319.3613274763
2015-05-07,1039761.7682019449
2015-05-08,1047260.7501484985
2015-05-11,1051820.887680645
2015-05-12,1050849.6369450162
2015-05-13,1049420.3721184935
2015-05-14,1046573.2335222274
2015-05-15,1038680.2742257006
2015-05-18,1032734.3205048414
2015-05-19,1044097.1756355508
2015-05-20,1046400.846633083
2015-05-21,1050077.1760318398
2015-05-22,1065329.6665188512
2015-05-25,1077508.7347407152
2015-05-26,1077841.3755786135
2015-05-27,1072893.940423471
2015-05-28,1051037.7432332875
2015-05-29,1052737.8354392664
2015-06-01,1065729.14256995
2015-06-02,1062439.0196161172
2015-06-03,1058017.1931368236
2015-06-04,1056031.2881625043
2015-06-05,1057880.0607620634
2015-06-08,1074326.231730151
2015-06-09,1071962.2063770024
2015-06-10,1072547.2918638191
2015-06-11,1068667.0216960195
2015-06-12,1072811.9934566966
2015-06-15,1066472.8609655949
2015-06-16,1057082.9100922155
2015-06-17,1061721.9764973903
2015-06-18,1048661.7109851837
2015-06-19,1030530.8251100658
2015-06-23,1051941.4827220887
2015-06-24,1064743.9667041071
2015-06-25,1049361.8651930047
2015-06-26,1025475.6032388213
2015-06-29,1023923.1657473833
2015-06-30,1043346.1205883905
2015-07-01,1031032.4668211349
2015-07-02,1026004.671855806
2015-07-03,1010086.3684170705
2015-07-06,1019656.717193156
2015-07-07,1006596.7653405418
2015-07-08,987274.5448384334
2015-07-09,1019533.6385560017
2015-07-10,1037812.7198712397
2015-07-13,1034834.7770395724
2015-07-14,1017898.0977922814
2015-07-15,1011983.2815832517
2015-07-16,1015401.809105144
2015-07-17,1025376.3310685516
2015-07-20,1021278.2322318851
2015-07-21,1021387.1594193259
2015-07-22,1013320.6303172095
2015-07-23,1022531.5320010022
2015-07-24,1017171.2790373501
2015-07-27,979797.7826418456
2015-07-28,984468.5610629311
2015-07-29,992481.1974903878
2015-07-30,982293.7773066085
2015-07-31,981824.2804474779
2015-08-03,984832.7104233949
2015-08-04,994655.6648851794
2015-08-05,983678.3074675237
2015-08-06,978692.6096031907
2015-08-07,985084.3665508438
2015-08-10,1003688.8463565615
2015-08-11,1000025.1395528202
2015-08-12,994650.5931180196
2015-08-13,997876.8942006163
2015-08-14,997758.5103182183
2015-08-17,996837.5185769205
2015-08-18,974103.7232403432
2015-08-19,979480.558345821
2015-08-20,966171.6877800971
2015-08-21,944310.5709063311
2015-08-24,906556.7150836331
2015-08-25,900065.1608246318
2015-08-26,904430.2676771905
2015-08-27,929783.4229529426
2015-08-28,933385.2939085303
2015-08-31,935536.7003059314
2015-09-01,935964.0616139006
2015-09-02,936852.8031057569
2015-09-07,923528.5765700043
2015-09-08,928329.6909421308
2015-09-09,936512.3801560004
2015-09-10,934934.6828082593
2015-09-11,934209.5480236469
2015-09-14,942838.1230236768
2015-09-15,934714.7937755422
2015-09-16,947919.6938410953
2015-09-17,935025.0803074231
2015-09-18,936551.4395286915
2015-09-21,938639.2024776672
2015-09-22,941125.6756581045
2015-09-23,928106.3999572012
2015-09-24,927855.6769896357
2015-09-25,923839.1573465087
2015-09-28,921150.5605277009
2015-09-29,915303.447707714
2015-09-30,918147.1093457477
2015-10-08,935098.5492936396
2015-10-09,937547.910797714
2015-10-12,946303.6954769996
2015-10-13,946473.334709262
2015-10-14,943336.7290047404
2015-10-15,950969.5677365034
2015-10-16,954433.7415791068
2015-10-19,959034.627716623
2015-10-20,957656.0328502468
2015-10-21,946397.4568055517
2015-10-22,955695.8356112626
2015-10-23,969849.7150747131
2015-10-26,979643.8352850006
2015-10-27,974330.2383804249
2015-10-28,967402.6709603642
2015-10-29,968463.5344392683
2015-10-30,969884.8945460441
2015-11-02,963876.3015279425
2015-11-03,959494.7769740878
2015-11-04,977095.2336490494
2015-11-05,987929.1895508096
2015-11-06,1000166.3171458847
2015-11-09,1009029.4974289768
2015-11-10,1015330.7270503778
2015-11-11,1008710.5847756166
2015-11-12,1005024.1046828608
2015-11-13,993987.3781233872
2015-11-16,991268.2827539695
2015-11-17,992396.7879343769
2015-11-18,992002.5344798292
2015-11-19,995813.9446644243
2015-11-20,992333.7857968945
2015-11-23,987982.2710850183
2015-11-24,985190.4988546893
2015-11-25,988550.6250929844
2015-11-26,988463.2379260944
2015-11-27,962407.8703398346
2015-11-30,971920.7622986522
2015-12-01,974061.2222816597
2015-12-02,997682.9356216034
2015-12-03,996254.6842579984
2015-12-04,981049.5639693154
2015-12-07,979726.3964761128
2015-12-08,970922.681881537
2015-12-09,976345.651023816
2015-12-10,972512.8990575117
2015-12-11,971819.1783367584
2015-12-14,987813.9285163849
2015-12-15,983515.1705946766
2015-12-16,984158.3299668495
2015-12-17,992212.4385906428
2015-12-18,997560.1948394866
2015-12-21,1024604.0373689523
2015-12-22,1022060.3893730395
2015-12-23,1018850.7916596963
2015-12-24,1018368.427788042
2015-12-25,1019138.94785124
2015-12-28,998967.2156103861
2015-12-29,1003402.4901005016
2015-12-30,1001251.8230476906
2015-12-31,997008.0090893867
2016-01-04,959360.4001612542
2016-01-05,963817.2930612996
2016-01-06,969924.96234625
2016-01-07,930691.4175976339
2016-01-08,945589.3624551999
2016-01-11,924883.7637822484
2016-01-12,921208.2921127344
2016-01-13,925253.8317246742
2016-01-14,939117.226917372
2016-01-15,916413.7725011841
2016-01-18,918182.6757865414
2016-01-19,946827.6592927239
2016-01-20,929427.0337600983
2016-01-21,915991.0772796054
2016-01-22,924117.086607969
2016-01-25,924901.1737063294
2016-01-26,900227.2257459536
2016-01-27,901912.2263330407
2016-01-28,887613.7584177435
2016-01-29,903813.8585939633
2016-02-01,901346.144346154
2016-02-02,912879.2746775167
2016-02-03,908963.9279330954
2016-02-04,916850.2088573251
2016-02-05,912560.9168463631
2016-02-15,908268.9402103594
2016-02-16,920968.3271784366
2016-02-17,919063.7619742465
2016-02-18,916321.4289748694
2016-02-19,918680.3883230367
2016-02-22,933473.0948640577
2016-02-23,940390.46679421
2016-02-24,953786.3518812549
2016-02-25,929130.9724839577
2016-02-26,938748.5383599565
2016-02-29,930291.1763215088
2016-03-01,946559.6967779285
2016-03-02,973262.2461827844
2016-03-03,980797.4163213209
2016-03-04,1011894.6583864717
2016-03-07,1003984.9661933142
2016-03-08,993442.3164637615
2016-03-09,983175.9351160945
2016-03-10,976380.5266859694
2016-03-11,980283.3352932462
2016-03-14,974924.7523584311
2016-03-15,989069.2037203147
2016-03-16,985079.8378932634
2016-03-17,990545.4242194854
2016-03-18,986104.6343984155
2016-03-21,1009458.6621289891
2016-03-22,1010279.7268848432
2016-03-23,1012569.384931886
2016-03-24,1021079.5118452712
2016-03-25,1026704.1680256864
2016-03-28,1034121.5949619572
2016-03-29,1027944.41524938
2016-03-30,1037256.5704669696
2016-03-31,1036239.6220305149
2016-04-01,1033858.6044362441
2016-04-05,1037019.0114053031
2016-04-06,1063649.7375289034
2016-04-07,1051509.2808308476
2016-04-08,1036422.7750726453
2016-04-11,1026306.252908445
2016-04-12,1028790.7537216137
2016-04-13,1031994.8898953992
2016-04-14,1032575.8878720999
2016-04-15,1036121.8035444387
2016-04-18,1026885.5695816642
2016-04-19,1027269.6820379392
2016-04-20,1011124.6986105393
2016-04-21,1015932.141023292
2016-04-22,1032610.8298987525
2016-04-25,1025442.6941463402
2016-04-26,1023710.1783504419
2016-04-27,1023275.6966402393
2016-04-28,1025710.6705346487
2016-04-29,1037732.2817913303
2016-05-03,1065457.0151486099
2016-05-04,1058196.2771460055
2016-05-05,1063188.7464525178
2016-05-06,1042258.1616287456
2016-05-09,1032234.4741333046
2016-05-10,1035663.1164051055
2016-05-11,1051933.2301786072
2016-05-12,1048532.8262256952
2016-05-13,1032412.2376393543
2016-05-16,1037145.2515933671
2016-05-17,1031005.0165145576
2016-05-18,1013076.6597106634
2016-05-19,1016821.996413197
2016-05-20,1033489.7550959045
2016-05-23,1042117.7034761368
2016-05-24,1033196.6057695374
2016-05-25,1030810.6892330744
2016-05-26,1033372.7465229273
2016-05-27,1031555.0862407071
2016-05-30,1041752.7500504429
2016-05-31,1077780.1801620699
2016-06-01,1074789.1465235222
2016-06-02,1088114.0872352559
2016-06-03,1134960.3927011448
2016-06-06,1112823.86545125
2016-06-07,1117655.5397083056
2016-06-08,1104711.8601802092
2016-06-13,1075136.961663507
2016-06-14,1093209.4869294192
2016-06-15,1108280.2296409213
2016-06-16,1099205.3188111125
2016-06-17,1113272.5446553363
2016-06-20,1107530.4930804837
2016-06-21,1099984.6274613326
2016-06-22,1116197.5691119228
2016-06-23,1107890.9881801659
2016-06-24,1097427.0738517272
2016-06-27,1140686.4170231514
2016-06-28,1143365.5161567023
2016-06-29,1144690.1197846192
2016-06-30,1155744.6385633906
2016-07-01,1157104.5618057977
2016-07-04,1192324.8947805662
2016-07-05,1213819.0466838768
2016-07-06,1262841.9494106013
2016-07-07,1265980.7804850596
2016-07-08,1242794.5865321322
2016-07-11,1263759.0348924634
2016-07-12,1307504.6041461497
2016-07-13,1293619.9820495383
2016-07-14,1288281.3091065635
2016-07-15,1289718.39596304
2016-07-18,1285316.8006264174
2016-07-19,1259796.8230421403
2016-07-20,1256714.640646752
2016-07-21,1276033.6364621702
2016-07-22,1251213.5879241244
2016-07-25,1259627.98819872
2016-07-26,1292047.9940951634
2016-07-27,1273677.9629102754
2016-07-28,1283390.5771162137
2016-07-29,1270599.2553092402
2016-08-01,1251505.009189495
2016-08-02,1249518.0082584291
2016-08-03,1251539.3931792905
2016-08-04,1248430.9993634487
2016-08-05,1246217.984119552
2016-08-08,1254453.7262116878
2016-08-09,1277343.7563477585
2016-08-10,1271516.2784810453
2016-08-11,1277731.2632770347
2016-08-12,1285226.286251797
2016-08-15,1301410.785879012
2016-08-16,1271252.0453091261
2016-08-17,1264872.955816616
2016-08-18,1259035.459847946
2016-08-19,1257568.1060169076
2016-08-22,1255621.122829765
2016-08-23,1254584.6776651223
2016-08-24,1249110.183690348
2016-08-25,1239806.664229842
2016-08-26,1233567.4535206337
2016-08-29,1249349.2941105384
2016-08-30,1244041.8314445054
2016-08-31,1255351.4748085937
2016-09-01,1248616.8972166022
2016-09-02,1241514.9835537472
2016-09-05,1249453.741148269
2016-09-06,1254644.921954881
2016-09-07,1245298.1352996787
2016-09-08,1242506.528403929
2016-09-09,1236008.8472451456
2016-09-12,1210494.3806002394
2016-09-13,1216078.1721727932
2016-09-14,1211950.4660724455
2016-09-19,1215400.2909156377
2016-09-20,1199851.8796930313
2016-09-21,1197785.2095012094
2016-09-22,1209369.4577122033
2016-09-23,1210446.2418115844
2016-09-26,1178471.236272636
2016-09-27,1187935.687636292
2016-09-28,1180079.0194362588
2016-09-29,1188324.8678890178
2016-09-30,1208453.7564704313
2016-10-10,1228441.5905275967
2016-10-11,1250190.4196232427
2016-10-12,1238386.8775448008
2016-10-13,1233125.6777783434
2016-10-14,1241907.606646322
2016-10-17,1230274.884288801
2016-10-18,1248932.4621693331
2016-10-19,1249780.6274066833
2016-10-20,1247523.0539295764
2016-10-21,1245105.8628848186
2016-10-24,1255534.7679291267
2016-10-25,1272283.5216470514
2016-10-26,1272943.144848566
2016-10-27,1280860.571639412
