date,account_value
2017-10-02,1000000.0
2017-10-03,999994.427010736
2017-10-04,1000011.9482303999
2017-10-05,1000167.7102515489
2017-10-06,1000067.6018809853
2017-10-09,999833.5491737822
2017-10-10,999873.9124831707
2017-10-11,1000149.2552300558
2017-10-12,1000364.8426587442
2017-10-13,1000443.0581005156
2017-10-16,1000130.5547952268
2017-10-17,999802.3693990102
2017-10-18,999669.8573321829
2017-10-19,1000432.3866470522
2017-10-20,1000218.0694907196
2017-10-23,1000528.0165065337
2017-10-24,999965.3446109206
2017-10-25,999103.047549946
2017-10-26,999559.0672058531
2017-10-27,999756.2519279154
2017-10-30,997102.1110623914
2017-10-31,996201.4256908463
2017-11-01,997355.2629329995
2017-11-02,995933.5150450207
2017-11-03,998565.857739252
2017-11-06,997117.7794172302
2017-11-07,998165.3346870816
2017-11-08,999881.9568709738
2017-11-09,999981.5051813038
2017-11-10,999890.4386775547
2017-11-13,1001588.5840248775
2017-11-14,1003278.8960668218
2017-11-15,1001106.654535622
2017-11-16,1004133.8848402374
2017-11-17,1003907.8653894436
2017-11-20,1005201.339920694
2017-11-21,1007663.0202299168
2017-11-22,1006636.4263338543
2017-11-24,1007658.4890720961
2017-11-27,1008661.8239463686
2017-11-28,1012340.5071190791
2017-11-29,1015149.1717064944
2017-11-30,1016836.1572917679
2017-12-01,1016907.4475271669
2017-12-04,1021935.5796137503
2017-12-05,1019023.5701184458
2017-12-06,1014240.2185364128
2017-12-07,1015526.3300994632
2017-12-08,1017808.171858597
2017-12-11,1017995.1636964943
2017-12-12,1017978.714582805
2017-12-13,1020734.074903817
2017-12-14,1017099.499045195
2017-12-15,1021544.9176539606
2017-12-18,1022298.3478793764
2017-12-19,1024227.1952805412
2017-12-20,1023725.4411136113
2017-12-21,1023300.5025320364
2017-12-22,1023459.5089346893
2017-12-26,1023908.6004744978
2017-12-27,1025852.650371785
2017-12-28,1026595.0059946689
2017-12-29,1025427.6355103208
2018-01-02,1028662.0878897391
2018-01-03,1034631.7703035367
2018-01-04,1038532.5941553
2018-01-05,1045739.0432115837
2018-01-08,1044817.6063554019
2018-01-09,1045867.5380934074
2018-01-10,1044156.6153171083
2018-01-11,1051431.1433619817
2018-01-12,1061520.6968726292
2018-01-16,1059916.933176389
2018-01-17,1066388.0867532408
2018-01-18,1065179.167128876
2018-01-19,1070283.8494376533
2018-01-22,1075534.3310225154
2018-01-23,1071972.4198527075
2018-01-24,1071333.9966052969
2018-01-25,1072003.022493048
2018-01-26,1082903.6814695683
2018-01-29,1075306.3276168504
2018-01-30,1064518.9039883756
2018-01-31,1052967.555750878
2018-02-01,1041704.2601176363
2018-02-02,1025968.2217472013
2018-02-05,990548.2452092047
2018-02-06,997759.6506032015
2018-02-07,994001.6425786082
2018-02-08,962499.1935957435
2018-02-09,972260.1025475707
2018-02-12,977830.290766135
2018-02-13,976381.1889002431
2018-02-14,979335.5268584634
2018-02-15,989438.0146255505
2018-02-16,990656.9549168159
2018-02-20,978373.4541917357
2018-02-21,973838.9012533049
2018-02-22,977355.8908738954
2018-02-23,987193.6356748634
2018-02-26,1003349.3488080433
2018-02-27,988955.526601069
2018-02-28,964434.6395417209
2018-03-01,958817.2396373894
2018-03-02,955687.7895659294
2018-03-05,961884.9992802439
2018-03-06,966933.6735413948
2018-03-07,966401.5716449848
2018-03-08,974082.6923070101
2018-03-09,985306.4891158069
2018-03-12,982795.9980670037
2018-03-13,979112.1354807074
2018-03-14,974797.9685443406
2018-03-15,973941.9335771137
2018-03-16,982061.1119013594
2018-03-19,965231.3277239029
2018-03-20,963496.1464648108
2018-03-21,962256.4540926259
2018-03-22,943362.3874921368
2018-03-23,922015.5653334219
2018-03-26,948493.8606759761
2018-03-27,936531.8255804537
2018-03-28,940403.8191261644
2018-03-29,953426.9900755333
2018-04-02,931867.3937686048
2018-04-03,945505.8184623674
2018-04-04,958913.4797904771
2018-04-05,964052.4937746946
2018-04-06,945960.7224307492
2018-04-09,943181.7546152426
2018-04-10,959230.1835314274
2018-04-11,955630.9036541536
2018-04-12,960996.9892792823
2018-04-13,961307.5272056295
2018-04-16,967288.1557879385
2018-04-17,969415.4506790288
2018-04-18,968956.5916187892
2018-04-19,959133.777067047
2018-04-20,948362.5876758553
2018-04-23,951696.0074671494
2018-04-24,944628.0897604078
2018-04-25,944691.3811235689
2018-04-26,960904.2703907286
2018-04-27,962605.3857523602
2018-04-30,951150.5593061103
2018-05-01,943173.2324760307
2018-05-02,934933.5517608859
2018-05-03,930024.4075400193
2018-05-04,941879.1974873721
2018-05-07,945355.695170011
2018-05-08,942829.0948568009
2018-05-09,942353.2851888235
2018-05-10,959729.4328707784
2018-05-11,970019.9848300917
2018-05-14,970369.708637541
2018-05-15,962917.9330045044
2018-05-16,963327.475588631
2018-05-17,963423.1170910471
2018-05-18,966941.7164758565
2018-05-21,976966.5958167836
2018-05-22,973581.5903379016
2018-05-23,996840.5985668428
2018-05-24,1001692.5474894936
2018-05-25,1001103.1348326597
2018-05-29,993794.5362891211
2018-05-30,1004952.6514074164
2018-05-31,997559.6559627107
2018-06-01,1006501.1338821643
2018-06-04,1011271.541283315
2018-06-05,1013748.3684483261
2018-06-06,1024106.4903226611
2018-06-07,1022726.9762025073
2018-06-08,1028143.5758067893
2018-06-11,1028688.5496323478
2018-06-12,1031555.3661060819
2018-06-13,1029582.6861077606
2018-06-14,1032232.3289194945
2018-06-15,1038231.9582938999
2018-06-18,1034144.1153887057
2018-06-19,1033524.0863740178
2018-06-20,1028850.8548625496
2018-06-21,1032863.0693889499
2018-06-22,1034094.7247895325
2018-06-25,1024036.5944018221
2018-06-26,1019928.8284715582
2018-06-27,1012855.2215164417
2018-06-28,1020623.5093354286
2018-06-29,1018204.511682199
2018-07-02,1020887.4119294966
2018-07-03,1020301.1393355425
2018-07-05,1028296.5382827158
2018-07-06,1035995.4627139166
2018-07-09,1040541.2557042479
2018-07-10,1047792.3968833903
2018-07-11,1047722.3953682672
2018-07-12,1054952.4994181346
2018-07-13,1061504.0363617663
2018-07-16,1060196.82162202
2018-07-17,1068068.4029483446
2018-07-18,1071812.3568276933
2018-07-19,1070046.7353131734
2018-07-20,1064000.0364510536
2018-07-23,1065314.3219690837
2018-07-24,1071927.6982193151
2018-07-25,1086408.204924361
2018-07-26,1088818.032503826
2018-07-27,1085613.0366624314
2018-07-30,1081988.0145867493
2018-07-31,1091173.0101681747
2018-08-01,1085745.4588876031
2018-08-02,1093064.8251135584
2018-08-03,1090514.1252608136
2018-08-06,1099092.4255679136
2018-08-07,1103689.8373366087
2018-08-08,1101334.0903883749
2018-08-09,1106937.739008594
2018-08-10,1100585.8235040372
2018-08-13,1098895.7327699692
2018-08-14,1103258.425764464
2018-08-15,1099314.3516590805
2018-08-16,1108288.7759583879
2018-08-17,1115966.334594937
2018-08-20,1123440.1747402975
2018-08-21,1127128.22093535
2018-08-22,1134235.5225141179
2018-08-23,1137943.084592228
2018-08-24,1145641.258660829
2018-08-27,1146251.1212113244
2018-08-28,1150110.4758705227
2018-08-29,1154745.7505623833
2018-08-30,1149324.4736097872
2018-08-31,1154530.9517730495
2018-09-04,1152250.154162993
2018-09-05,1150231.2078569846
2018-09-06,1151819.5044717554
2018-09-07,1153661.2749254487
2018-09-10,1161116.6606617002
2018-09-11,1162407.9580548962
2018-09-12,1161194.0953130373
2018-09-13,1166104.1836256965
2018-09-14,1168039.2321012442
2018-09-17,1164813.190498374
2018-09-18,1174157.2526127636
2018-09-19,1166155.665896511
2018-09-20,1175413.2440097395
2018-09-21,1183479.4457435491
2018-09-24,1177548.659858388
2018-09-25,1181729.8529225155
2018-09-26,1178507.9525323303
2018-09-27,1177785.3770322865
2018-09-28,1185043.0391024814
