date,account_value
2022-09-28,1000000.0
2022-09-29,1000984.5186944153
2022-09-30,998008.5044993596
2022-10-01,993769.839469666
2022-10-02,982525.700433467
2022-10-03,1005269.4438441753
2022-10-04,1032370.1947037438
2022-10-05,1025679.3117108169
2022-10-06,1018461.426833848
2022-10-07,1003375.7561348253
2022-10-08,998121.7055696261
2022-10-09,993145.9451942196
2022-10-10,965178.7015539826
2022-10-11,1006596.0874648036
2022-10-12,1086109.8200327535
2022-10-13,1063643.2730616198
2022-10-14,1065139.3385588198
2022-10-15,1060463.4530137668
2022-10-16,1082126.1734837687
2022-10-17,1098595.435197507
2022-10-18,1094285.061554217
2022-10-19,1044636.797174217
2022-10-20,1046728.3612625321
2022-10-21,1055569.0149083422
2022-10-22,1066953.9218882918
2022-10-23,1103149.099053292
2022-10-24,1074909.2854555622
2022-10-25,1145572.2717048721
2022-10-26,1153066.582821122
2022-10-27,1134517.72157654
2022-10-28,1158493.172737427
2022-10-29,1187544.7705579489
2022-10-30,1164284.6280905488
2022-10-31,1157871.3410779089
2022-11-01,1158770.0111553788
2022-11-02,1272930.0480615587
2022-11-03,1301575.7161227788
2022-11-04,1420864.4583916587
2022-11-05,1465521.4947339788
2022-11-06,1431152.3378390789
2022-11-07,1422034.6218539588
2022-11-08,1206369.9349232789
2022-11-09,1064844.2414446487
2022-11-10,1268790.246816072
2022-11-11,1287313.6888040719
2022-11-12,1258164.6200000718
2022-11-13,1208381.3211664718
2022-11-14,1188602.0226726718
2022-11-15,1219313.574920272
2022-11-16,1208996.0989920718
2022-11-17,1313417.012788672
2022-11-18,1316772.8326666718
2022-11-19,1341337.4878166718
2022-11-20,1303289.8157860718
2022-11-21,1290071.649644272
2022-11-22,1480708.449572672
2022-11-23,1660582.3461098718
2022-11-24,1657010.588402472
2022-11-25,1556088.3840296718
2022-11-26,1605359.140852472
2022-11-27,1577432.491409672
2022-11-28,1558008.0113566718
2022-11-29,1597179.7962022717
2022-11-30,1666838.6956086718
2022-12-01,1629429.3757540719
2022-12-02,1624698.2576273037
2022-12-03,1564690.334691044
2022-12-04,1573495.669769364
2022-12-05,1548647.0177364638
2022-12-06,1593176.438052004
2022-12-07,1545512.519595264
2022-12-08,1546799.0990823638
2022-12-09,1514172.4835451439
2022-12-10,1504325.892109844
2022-12-11,1490776.4141959837
2022-12-12,1461804.9240959838
2022-12-13,1491473.565495984
2022-12-14,1461298.3933757439
2022-12-15,1451820.628512004
