date,account_value
2013-01-02,1000000.0
2013-01-03,999940.1202319298
2013-01-04,999982.5809057883
2013-01-07,999891.1578414649
2013-01-08,999810.7742675074
2013-01-09,999965.1657879731
2013-01-10,1000122.5299107683
2013-01-11,1000136.0658962324
2013-01-14,1000175.3058653295
2013-01-15,1000430.413755863
2013-01-16,1000454.1880350873
2013-01-17,998816.4592358436
2013-01-18,1023180.817043003
2013-01-22,1033805.3389508094
2013-01-23,1031042.6120526162
2013-01-24,1034688.015774071
2013-01-25,1031375.275966942
2013-01-28,1027142.4364894029
2013-01-29,1035792.4004176256
2013-01-30,1032111.4219630358
2013-01-31,1016099.6667750475
2013-02-01,1026406.5389674302
2013-02-04,1008092.3207068712
2013-02-05,1028113.7220435411
2013-02-06,1032692.2558875354
2013-02-07,1026815.7351966173
2013-02-08,1035972.2346167833
2013-02-11,1040345.9394812854
2013-02-12,1053123.1257605823
2013-02-13,1055925.5069556502
2013-02-14,1065560.1721778186
2013-02-15,1059137.1672644885
2013-02-19,1084146.6972632678
2013-02-20,1060435.1541114124
2013-02-21,1031052.5506568224
2013-02-22,1052987.0571875842
2013-02-25,1008980.4601722034
2013-02-26,1004527.3227875141
2013-02-27,1018174.3502914814
2013-02-28,1003477.8023173641
2013-03-01,1008636.7569758723
2013-03-04,1002272.118641313
2013-03-05,1025468.1246342026
2013-03-06,1031246.3412156492
2013-03-07,1047904.7251572997
2013-03-08,1023552.9372086911
2013-03-11,1029101.0557208068
2013-03-12,1040870.5959734924
2013-03-13,1038240.5435214051
2013-03-14,1043004.8118624694
2013-03-15,1057313.2176018914
2013-03-18,1044778.0402566155
2013-03-19,1037545.9946252069
2013-03-20,1044778.0402566155
2013-03-21,1004761.590728875
2013-03-22,1000422.0806122978
2013-03-25,1005243.2730103692
2013-03-26,1005243.2730103692
2013-03-27,1004279.1373444756
2013-03-28,1007653.9334679802
2013-04-01,1004279.1373444756
2013-04-02,1023081.8391038141
2013-04-03,1022118.1532479485
2013-04-04,1022603.9480782708
2013-04-05,1001705.067329522
2013-04-08,999760.9883881768
2013-04-09,1019201.5207673272
2013-04-10,1043502.7003098687
2013-04-11,1054195.5842972954
2013-04-12,1046905.0633622368
2013-04-15,1023089.9999428948
2013-04-16,1028436.3134194573
2013-04-17,1002676.8497658928
2013-04-18,1000247.1045113762
2013-04-19,994414.2251015862
2013-04-22,1000732.4495316704
2013-04-23,1016285.0168038567
2013-04-24,991012.3118592461
2013-04-25,1003163.0301476677
2013-04-26,1004620.9929658135
2013-04-29,1019687.7654076774
2013-04-30,1016771.7112542351
2013-05-01,990526.5170289238
2013-05-02,1007537.2398949822
2013-05-03,1012397.1802140434
2013-05-06,1011425.2692605217
2013-05-07,990526.5170289238
2013-05-08,1007051.0595132073
2013-05-09,1012397.1802140434
2013-05-10,1025519.9379731376
2013-05-13,1033782.6268960198
2013-05-14,1033782.6268960198
2013-05-15,1047296.9661514788
2013-05-16,1036045.0297424822
2013-05-17,1040372.8003037005
2013-05-20,1042103.7304947405
2013-05-21,1045133.0808708697
2013-05-22,1041670.7754051714
2013-05-23,1040805.1990387469
2013-05-24,1035179.3421051531
2013-05-28,1042103.7304947405
2013-05-29,1050326.0939857988
2013-05-30,1047729.5874283343
2013-05-31,1050759.0490753679
2013-06-03,1092304.1554329423
2013-06-04,1097497.391089681
2013-06-05,1080651.928864187
2013-06-06,1109511.2477680645
2013-06-07,1130764.1740681133
2013-06-10,1122797.399721369
2013-06-11,1115377.014665827
2013-06-12,1099584.4448674605
2013-06-13,1115073.3320516036
2013-06-14,1110998.164133597
2013-06-17,1132739.8381448274
2013-06-18,1148939.5085702427
2013-06-19,1137020.0146050786
2013-06-20,1103963.3112616378
2013-06-21,1103217.10691212
2013-06-24,1098582.9444899398
2013-06-25,1107997.9762854415
2013-06-26,1114701.5989250555
2013-06-27,1128502.1309837713
2013-06-28,1122737.4653794928
2013-07-01,1129757.790239112
2013-07-02,1130421.9813401862
2013-07-03,1130066.017459941
2013-07-05,1144334.5521584274
2013-07-08,1102956.4129715683
2013-07-09,1100578.03851707
2013-07-10,1105809.9976235153
2013-07-11,1141005.2681580307
2013-07-12,1136724.4631729843
2013-07-15,1138627.0159912826
2013-07-16,1153370.7608872177
2013-07-17,1148614.8679924728
2013-07-18,1153689.3347966683
2013-07-19,1162032.5022084725
2013-07-22,1154663.5299947273
2013-07-23,1157861.261577369
2013-07-24,1154245.939349891
2013-07-25,1158470.6066598636
2013-07-26,1168518.0342302066
2013-07-29,1167512.981471036
2013-07-30,1174546.025769208
2013-07-31,1172537.082758878
2013-08-01,1165503.9092931491
2013-08-02,1166508.5745496494
2013-08-05,1162703.9441652042
2013-08-06,1156616.1480474216
2013-08-07,1151543.8672609073
2013-08-08,1138861.6798677188
2013-08-09,1141905.2550077182
2013-08-12,1148499.9046182376
2013-08-13,1142412.4960031253
2013-08-14,1144948.7009801609
2013-08-15,1127390.47095807
2013-08-16,1125137.9612897295
2013-08-19,1094312.4625256914
2013-08-20,1088720.4635156665
2013-08-21,1083290.3733743702
2013-08-22,1085515.3252595938
2013-08-23,1094292.9133409536
2013-08-26,1085802.6536182058
2013-08-27,1085528.6271518362
2013-08-28,1088243.7973646638
2013-08-29,1088645.9729355657
2013-08-30,1084995.8769730413
2013-09-03,1097879.370701679
2013-09-04,1113768.922062763
2013-09-05,1118922.646809467
2013-09-06,1120146.1886439172
2013-09-09,1132004.6402048913
2013-09-10,1135463.8558382837
2013-09-11,1127064.1806864587
2013-09-12,1118169.7450327722
2013-09-13,1119532.0748695298
2013-09-16,1133517.556558983
2013-09-17,1138179.340189354
2013-09-18,1154163.15891494
2013-09-19,1156028.3432411118
2013-09-20,1138579.452310936
2013-09-23,1120597.6889442368
2013-09-24,1122195.7830604478
2013-09-25,1116735.3447669907
2013-09-26,1119532.0748695298
2013-09-27,1113271.4123329087
2013-09-30,1106079.2040199204
2013-10-01,1108476.7375892564
2013-10-02,1103415.2342323228
2013-10-03,1087258.9980307238
2013-10-04,1081790.3458397756
2013-10-07,1070156.110915459
2013-10-08,1054250.8791640934
2013-10-09,1057940.1007369694
2013-10-10,1071122.2555519757
2013-10-11,1082246.7391182599
2013-10-14,1074088.4755948454
2013-10-15,1063595.922158566
2013-10-16,1075539.368486571
2013-10-17,1085523.3703443285
2013-10-18,1056376.977772536
2013-10-21,1057251.7868469378
