date,account_value
2022-06-30,1000000.0
2022-07-01,1004589.6879619423
2022-07-04,1005416.7623958505
2022-07-05,1009754.7324728601
2022-07-06,1037927.0420202464
2022-07-07,1051007.6547285938
2022-07-08,1054585.0941796459
2022-07-11,1053288.8598189347
2022-07-12,1053426.9036800025
2022-07-13,1042376.0427758079
2022-07-14,1035248.5678229845
2022-07-15,1049872.3834891147
2022-07-18,1057220.620429115
2022-07-19,1068702.239424115
2022-07-20,1063191.061719115
2022-07-21,1079676.1916447089
2022-07-22,1052953.46157559
2022-07-25,1029400.4374492902
2022-07-26,1027880.8749220901
2022-07-27,1055485.9623640901
2022-07-28,1058271.73651759
2022-07-29,1076050.2652876
2022-08-01,1078302.1276875997
2022-08-02,1073047.8439365998
2022-08-03,1088435.3698036
2022-08-04,1100069.9153686
2022-08-05,1069670.0034736
2022-08-08,1088810.6955706
2022-08-09,1074549.0544215997
2022-08-10,1114033.2828392931
2022-08-11,1135337.4297275932
2022-08-12,1116971.7471020932
2022-08-15,1122604.0096190933
2022-08-16,1105217.7401114933
2022-08-17,1095422.7094187932
2022-08-18,1088076.5112155932
2022-08-19,1073176.7924661892
2022-08-22,1060824.1947861891
2022-08-23,1045851.3040661891
2022-08-24,1047723.0085061891
2022-08-25,1039113.5404061892
2022-08-26,1004675.8549661891
2022-08-30,993446.1869261891
2022-08-31,980855.1933076893
2022-09-01,964784.0481076894
2022-09-02,966391.1065276894
2022-09-05,949998.5010676893
2022-09-06,949192.5592847733
2022-09-07,953917.8493007732
2022-09-08,962653.6632571645
2022-09-09,973719.0190271644
2022-09-12,995916.6799763764
2022-09-13,973182.4301663764
2022-09-14,968911.3563970164
2022-09-15,956465.1409860165
2022-09-16,947219.3634940165
2022-09-20,927305.4894480164
2022-09-21,926854.6336471526
2022-09-22,933857.6864571526
2022-09-23,938143.9606762648
2022-09-26,938551.7070922648
2022-09-27,934560.6430671369
2022-09-28,935612.6511911368
2022-09-29,896114.7751507421
2022-09-30,913845.1929337421
2022-10-03,913731.7662555743
2022-10-04,943469.6492525743
2022-10-05,942786.0693155741
2022-10-06,943469.6492525743
2022-10-07,921251.7371975743
2022-10-10,920568.0725925742
