date,account_value
2021-01-04,1000000.0
2021-01-05,1000002.4704035323
2021-01-06,1000042.169028308
2021-01-07,1000028.6693030884
2021-01-08,1000013.1613911766
2021-01-11,999988.5489027088
2021-01-12,1000102.260634475
2021-01-13,1000163.0538584391
2021-01-14,1000194.3731549702
2021-01-15,1000125.0505208973
2021-01-18,1000190.3534830215
2021-01-19,1039941.3224738274
2021-01-20,1045763.8944869064
2021-01-21,1031789.3298279115
2021-01-22,1013156.4016250485
2021-01-25,1009662.8265495169
2021-01-26,989865.4581707729
2021-01-27,989865.4581707729
2021-01-28,959587.2178661259
2021-01-29,956093.5938908249
2021-02-01,964245.40394694
2021-02-02,958422.6557606129
2021-02-03,951435.532231645
2021-02-04,932802.6636171759
2021-02-05,939789.973778595
2021-02-08,946777.283940014
2021-02-09,951435.532231645
2021-02-10,964245.40394694
2021-02-11,963080.9040522439
2021-02-16,985207.4587224099
2021-02-17,1003840.140704428
2021-02-18,1031789.1325068359
2021-02-19,1042270.0666435559
2021-02-22,1045763.6906188568
2021-02-23,1070219.120656781
2021-02-24,1039941.0668541639
2021-02-25,1084050.4333122487
2021-02-26,968582.3536318486
2021-03-01,997109.8731776987
2021-03-02,963245.7453681559
2021-03-03,991576.465407596
2021-03-04,953983.15824501
2021-03-05,961537.1866690139
2021-03-08,998917.6318765224
2021-03-09,972716.5388096324
2021-03-10,969441.4395903425
2021-03-11,995642.4323242866
2021-03-12,1002437.0022534708
2021-03-15,1005730.7880337227
2021-03-16,993880.8581261939
2021-03-17,987320.6693430039
2021-03-18,997364.3226628581
2021-03-19,1129544.6296412
2021-03-22,1179795.076215732
2021-03-23,1168871.1727189939
2021-03-24,1179795.076215732
2021-03-25,1162316.690516038
2021-03-26,1176744.9986100288
2021-03-29,1193495.8706336787
2021-03-30,1198722.1697804844
2021-03-31,1166376.0226646143
2021-04-01,1175325.1086181642
2021-04-07,1164045.6186599801
2021-04-08,1161789.6965913703
2021-04-09,1136974.9148649364
2021-04-12,1157277.9728390162
2021-04-13,1127951.4673602283
2021-04-14,1143742.8015819541
2021-04-15,1145998.4827545101
2021-04-16,1145998.4827545101
2021-04-19,1143742.8015819541
2021-04-20,1149912.8061297198
2021-04-21,1141457.6079302977
2021-04-22,1185594.8968468553
2021-04-23,1183660.7692952263
2021-04-26,1154649.6578281613
2021-04-27,1132204.7219283972
2021-04-28,1168005.0196308615
2021-04-29,1163529.8383092117
2021-04-30,1141154.2631564364
2021-05-03,1143391.9640718414
2021-05-04,1181572.276310627
2021-05-05,1201804.5566178989
2021-05-06,1226083.3918443348
2021-05-07,1246315.796114383
2021-05-10,1252790.1823462925
2021-05-11,1225896.7135962925
2021-05-12,1227356.103773487
2021-05-13,1219538.408275182
2021-05-14,1211720.952265329
2021-05-17,1227356.103773487
2021-05-18,1263630.3543949435
2021-05-20,1219166.6799713315
2021-05-21,1210560.7796607953
2021-05-24,1216297.9503221794
2021-05-25,1227772.5804837113
2021-05-26,1223469.6783673153
2021-05-27,1213429.5093099473
2021-05-28,1219166.6799713315
2021-05-31,1209126.6071935513
2021-06-01,1249287.0908638474
2021-06-02,1259327.3562008033
2021-06-03,1262280.0129888433
2021-06-04,1257851.0276049392
2021-06-07,1287377.8849296353
2021-06-08,1293283.2949871474
2021-06-09,1331668.2191573954
2021-06-10,1331668.2191573954
2021-06-11,1349384.3526466554
2021-06-15,1316904.8385339193
2021-06-16,1313951.8929071154
2021-06-17,1305094.1149003273
2021-06-18,1278519.7220063393
2021-06-21,1279996.1466799474
2021-06-22,1315428.5101398993
2021-06-23,1322810.2485914314
2021-06-24,1324286.4807058633
2021-06-25,1358242.3232126194
2021-06-28,1342002.7106765553
2021-06-29,1303617.6902267192
2021-06-30,1303617.6902267192
2021-07-02,1316904.8385339193
2021-07-05,1327239.0412143152
2021-07-06,1346431.5032994393
2021-07-07,1313951.8929071154
2021-07-08,1240134.7978360914
2021-07-09,1241611.0299505233
2021-07-12,1235705.7163744434
2021-07-13,1238658.4694420714
2021-07-14,1225371.3211348713
2021-07-15,1215036.8296157115
2021-07-16,1198797.1205982154
2021-07-19,1178128.2338394835
2021-07-20,1157459.5396399272
2021-07-21,1157459.5396399272
2021-07-22,1197320.7922041954
2021-07-23,1194368.1352143113
2021-07-26,1163365.0457751835
2021-07-27,1147125.0481207673
2021-07-28,1211484.1131357446
2021-07-29,1219325.3494964796
2021-07-30,1202830.0835059728
2021-08-02,1218451.438829603
2021-08-03,1231690.5505754729
2021-08-04,1276099.2234474148
2021-08-05,1265649.9301604722
2021-08-06,1268262.3253704244
2021-08-09,1319201.6856881932
2021-08-10,1316565.9261624054
2021-08-11,1327985.9131573166
2021-08-12,1342668.7233405446
2021-08-13,1347563.0641818687
2021-08-16,1347563.0641818687
2021-08-17,1316565.9261624054
2021-08-18,1347563.0641818687
2021-08-19,1302761.4067382636
2021-08-20,1294865.8731726776
2021-08-23,1286970.2650203346
2021-08-24,1289602.235329185
2021-08-25,1321183.8881371636
2021-08-26,1302761.1287951295
2021-08-27,1289602.1695003847
2021-08-30,1297002.7113823185
2021-08-31,1292014.0823494275
2021-09-01,1320282.1854253327
2021-09-02,1325466.3748761085
2021-09-03,1330650.6725402486
2021-09-06,1342747.6562651165
2021-09-07,1349660.1254444385
2021-09-08,1335835.0786450917
2021-09-09,1360028.8294407607
2021-09-10,1394591.1755647096
2021-09-13,1432609.6478376167
2021-09-14,1423969.1155838156
2021-09-15,1420512.8809941546
2021-09-16,1422240.8356279307
2021-09-17,1453022.6895561654
2021-09-20,1406993.2175915083
2021-09-21,1401602.6082879645
2021-09-23,1425123.599843723
2021-09-24,1428883.8451743629
2021-09-27,1498478.5369607233
2021-09-28,1585064.8946356943
2021-09-29,1542655.1664399363
2021-09-30,1537354.1306324073
2021-10-04,1544422.2892606303
2021-10-05,1549596.4361850768
2021-10-06,1552900.450342227
2021-10-07,1566116.6608595268
2021-10-08,1595852.6351908767
2021-10-11,1601348.0456711678
2021-10-12,1560439.5054233489
2021-10-15,1558643.8897061367
2021-10-18,1580191.9517930066
2021-10-19,1580191.9517930066
2021-10-20,1544278.6278188427
2021-10-21,1560439.5054233489
2021-10-22,1575388.4942690628
2021-10-25,1562741.7722797128
2021-10-26,1559128.607182913
2021-10-27,1528415.875997363
2021-10-28,1486863.0974199378
2021-10-29,1470603.5785300878
2021-11-01,1481443.165869563
2021-11-02,1476960.7744877688
2021-11-03,1463568.1306135824
2021-11-04,1451386.3335488995
2021-11-05,1420061.6816843445
2021-11-08,1428762.9497669644
2021-11-09,1421475.3750842016
2021-11-10,1417042.5746765216
2021-11-11,1402139.0113730128
2021-11-12,1405588.1899694167
2021-11-15,1400414.3138520967
2021-11-16,1409037.5850112487
2021-11-17,1400414.3138520967
2021-11-18,1390066.5616174566
2021-11-19,1396965.2434784067
