date,account_value
2015-01-05,1000000.0
2015-01-06,999940.4073979652
2015-01-07,999819.4180251786
2015-01-08,999641.1555098273
2015-01-09,999559.3365168845
2015-01-12,999301.1208041405
2015-01-13,999312.6232634786
2015-01-14,999125.9483859445
2015-01-15,999858.501031361
2015-01-16,999977.2802982023
2015-01-19,997510.5691919014
2015-01-20,1021966.7547325905
2015-01-21,1066267.6178321107
2015-01-22,1109961.5571223507
2015-01-23,1093576.1830506707
2015-01-26,1109961.5571223507
2015-01-27,1107743.8674127918
2015-01-28,1082568.0760465406
2015-01-29,1096954.2423981568
2015-01-30,1109542.3176166888
2015-02-02,1050198.8424336687
2015-02-03,1073097.7532394018
2015-02-04,1057028.222975498
2015-02-05,1054916.2950266583
2015-02-06,1054916.2950266583
2015-02-09,1050958.0801759982
2015-02-10,1062059.8075943072
2015-02-11,1059937.8155752427
2015-02-12,1077473.4556539475
2015-02-13,1085267.1095651325
2015-02-16,1079421.7881821536
2015-02-17,1087215.4420933386
2015-02-25,1104751.2118545107
2015-02-26,1137874.0298012474
2015-02-27,1137874.0298012474
2015-03-02,1170997.1071129185
2015-03-03,1130080.5705496988
2015-03-04,1132028.7733954375
2015-03-05,1096957.4929661567
2015-03-06,1100854.6764805657
2015-03-09,1118389.9277837407
2015-03-10,1122286.9813438116
2015-03-11,1130080.5705496988
2015-03-12,1169048.5154916497
2015-03-13,1163203.3884964355
2015-03-16,1174894.0312623936
2015-03-17,1221655.5654102317
2015-03-18,1248933.5159985598
2015-03-19,1264520.6938665917
2015-03-20,1262572.3613383856
2015-03-23,1321024.6679346485
2015-03-24,1350250.6914143777
2015-03-25,1305437.2307016826
2015-03-26,1303488.8981734766
2015-03-27,1301540.4362346746
2015-03-30,1350250.6914143777
2015-03-31,1324921.7217665906
2015-04-01,1331140.3848463886
2015-04-02,1396366.7295137185
2015-04-03,1397000.0625281585
2015-04-07,1439429.0095276185
2015-04-08,1402699.3778549684
2015-04-09,1379901.8438264686
2015-04-10,1389400.8845186585
2015-04-13,1432845.817060943
2015-04-14,1575527.4182003168
2015-04-15,1501172.1384403838
2015-04-16,1541364.123615299
2015-04-17,1613709.4829780788
2015-04-20,1645863.258431223
2015-04-21,1633805.6094608337
2015-04-22,1796583.2030474609
2015-04-23,1764429.427594317
2015-04-24,1746343.2215087148
2015-04-27,1786535.3404387229
2015-04-28,1690074.5490996628
2015-04-29,1690074.5490996628
2015-04-30,1758400.8704791039
2015-05-04,1935245.6321679938
2015-05-05,1858880.699801503
2015-05-06,1762420.1759726289
2015-05-07,1603661.6206497496
2015-05-08,1661940.3466502298
2015-05-11,1708160.888940358
2015-05-12,1806631.199130883
2015-05-13,1744333.568621748
2015-05-14,1754381.431230486
2015-05-15,1680026.2855060548
2015-05-18,1649882.5639247478
2015-05-19,1704141.7172019258
2015-05-20,1704141.7172019258
2015-05-21,1714189.713565757
2015-05-22,1770458.5194494927
2015-05-25,1846823.318060891
2015-05-26,1858880.699801503
2015-05-27,1927207.2884107206
2015-05-28,1746343.2215087148
2015-05-29,1708160.888940358
2015-06-01,1862900.1390501207
2015-06-02,1866919.17703346
2015-06-03,1818688.848381681
2015-06-04,1816679.061739621
2015-06-05,1885005.784384341
2015-06-08,1967399.1401109518
2015-06-09,2007591.2587605508
2015-06-10,1947302.8798731037
2015-06-11,1919168.9449338568
2015-06-12,2013620.08338595
2015-06-15,2043763.804967257
2015-06-16,1923187.7156874188
2015-06-17,2116109.29808513
2015-06-18,2081945.8700254278
2015-06-19,1887989.109013051
2015-06-23,1958143.773063331
2015-06-24,2154164.2052328438
2015-06-25,2306853.823422874
2015-06-26,2127340.355442456
2015-06-29,2339868.286541027
2015-06-30,2294473.9345986824
2015-07-01,2065439.173346519
2015-07-02,1859101.8550148949
2015-07-03,1673398.1752523999
2015-07-06,1555785.88908751
2015-07-07,1473250.935228169
2015-07-08,1326751.261590439
2015-07-09,1324100.4232919214
2015-07-10,1324100.4232919214
2015-07-13,1453940.084886818
2015-07-14,1385998.7648586098
2015-07-15,1244827.2087267637
2015-07-16,1279427.685431684
2015-07-17,1367440.4513227302
2015-07-20,1414033.9511404901
2015-07-21,1395710.80503901
2015-07-22,1399598.6325033593
2015-07-23,1451342.7458146093
2015-07-24,1418793.9751773095
2015-07-27,1276915.5964816094
2015-07-28,1228509.7957990596
2015-07-29,1304456.6315385094
2015-07-30,1254382.0294387096
2015-07-31,1291937.8258622095
2015-08-03,1331163.0452374094
2015-08-04,1377899.6886765596
2015-08-05,1330328.5994698596
2015-08-06,1308629.6556430594
2015-08-07,1338674.4702304096
2015-08-10,1422132.5535143095
2015-08-11,1476379.9140103597
2015-08-12,1444665.9431086595
2015-08-13,1506424.9051172095
2015-08-14,1462192.3059877595
2015-08-17,1495575.5214635595
2015-08-18,1346185.5403263096
2015-08-19,1402102.3228450096
2015-08-20,1372662.7195998367
2015-08-21,1333488.4110438307
2015-08-24,1241037.6817216568
2015-08-25,1170524.0291639138
2015-08-26,1188999.500489029
2015-08-27,1235830.805627049
2015-08-28,1341568.9610060623
2015-08-31,1330547.6216919224
2015-09-01,1347373.6932490733
2015-09-02,1373678.0581711535
2015-09-07,1321069.5354684035
2015-09-08,1376600.5935501333
2015-09-09,1454539.0966584035
2015-09-10,1402904.9584722135
2015-09-11,1395229.241484117
2015-09-14,1474817.534395531
2015-09-15,1379727.5628392517
2015-09-16,1473083.1142352216
2015-09-17,1405794.5164712518
2015-09-18,1404581.9825338717
2015-09-21,1419737.304302652
2015-09-22,1434930.095856634
2015-09-23,1373611.8624795259
2015-09-24,1381673.9040691457
2015-09-25,1337331.6033890056
2015-09-28,1339347.167355226
2015-09-29,1314936.4655225996
2015-09-30,1311831.6908237298
2015-10-08,1350641.523284719
2015-10-09,1389309.8509239191
2015-10-12,1474623.8632131165
2015-10-13,1492241.8691400506
2015-10-14,1451720.4204674577
2015-10-15,1494003.4766411236
2015-10-16,1539810.1865611435
2015-10-19,1571522.6320862325
2015-10-20,1571522.6320862325
2015-10-21,1435864.1977969317
2015-10-22,1580331.7228353487
2015-10-23,1564475.4999807857
2015-10-26,1532763.0542716596
2015-10-27,1520430.7487044348
2015-10-28,1492241.8691400506
2015-10-29,1488718.1274240108
2015-10-30,1490480.0860676796
2015-11-02,1442911.5930752887
2015-11-03,1427055.4580063745
2015-11-04,1486956.3445356768
2015-11-05,1557428.1923040405
2015-11-06,1575046.1982309746
2015-11-09,1647280.0046430076
2015-11-10,1619091.1250786236
2015-11-11,1608520.4268284347
2015-11-12,1619091.1250786236
2015-11-13,1631423.7817884446
2015-11-16,1596187.9456899115
2015-11-17,1612043.9929731768
2015-11-18,1575046.1982309746
2015-11-19,1587378.8549407958
2015-11-20,1573284.5907299018
2015-11-23,1538048.5790600707
2015-11-24,1516906.8316011338
2015-11-25,1525715.9221662125
2015-11-26,1504574.5258498716
2015-11-27,1384772.2264454477
2015-11-30,1363630.5667721597
2015-12-01,1397104.7955536568
2015-12-02,1446435.1592200305
2015-12-03,1451720.4204674577
2015-12-04,1407675.5814054576
2015-12-07,1418246.3674412956
2015-12-08,1441149.8977885668
2015-12-09,1397104.7955536568
2015-12-10,1375963.3112676297
2015-12-11,1360107.0885971035
2015-12-14,1405913.8861187357
2015-12-15,1393581.2294089147
2015-12-16,1375963.3112676297
2015-12-17,1428817.1532930967
2015-12-18,1541572.1450207757
2015-12-21,1612043.9929731768
2015-12-22,1612043.9929731768
2015-12-23,1578569.7641916797
2015-12-24,1536286.7959876996
2015-12-25,1522439.0426717217
2015-12-28,1490104.1836861717
2015-12-29,1517050.0140296917
2015-12-30,1506271.2691998167
2015-12-31,1503577.1974322868
2016-01-04,1409266.7912299668
2016-01-05,1463158.3533426516
2016-01-06,1509525.5473953893
2016-01-07,1359778.2891162275
2016-01-08,1456259.2059839074
2016-01-11,1351738.3458442176
2016-01-12,1357768.5966956576
2016-01-13,1337668.3654058375
2016-01-14,1366813.5993036376
2016-01-15,1311165.9224134076
2016-01-18,1305286.0837983238
2016-01-19,1313418.8319289647
2016-01-20,1318186.532788259
2016-01-21,1264767.0858027267
2016-01-22,1292113.0827603266
2016-01-25,1272175.8352332693
2016-01-26,1187133.1300282544
2016-01-27,1206018.9258664679
2016-01-28,1208853.423353289
2016-01-29,1217356.216633989
2016-02-01,1204601.677000866
2016-02-02,1203184.428379647
2016-02-03,1196098.767149475
2016-02-04,1208507.0192725651
2016-02-05,1215905.8226621652
2016-02-15,1268162.7946479707
2016-02-16,1268162.7946479707
2016-02-17,1268162.7946479707
2016-02-18,1268162.7946479707
2016-02-19,1268162.7946479707
2016-02-22,1268162.7946479707
2016-02-23,1268162.7946479707
2016-02-24,1268162.7946479707
2016-02-25,1268162.7946479707
2016-02-26,1226676.6199279707
2016-02-29,1182361.5863791707
2016-03-01,1264391.3152495706
2016-03-02,1319514.283271317
2016-03-03,1323784.5177701432
2016-03-04,1330190.0710129193
2016-03-07,1338731.296229743
2016-03-08,1323785.4071048233
2016-03-09,1317379.0035085182
2016-03-10,1285351.7615235022
2016-03-11,1276811.358772643
2016-03-14,1313108.608098475
2016-03-15,1310973.3818739152
2016-03-16,1315243.6213236551
2016-03-17,1328054.446507119
2016-03-18,1349405.857201271
2016-03-21,1407054.623163355
2016-03-22,1379297.7467949032
2016-03-23,1366487.0282226473
2016-03-24,1353676.203039183
2016-03-25,1347270.8437530552
2016-03-28,1340865.377855719
2016-03-29,1319513.967384603
2016-03-30,1351540.976814623
2016-03-31,1347270.8437530552
2016-04-01,1362216.682161699
2016-04-05,1396378.811428107
2016-04-06,1377162.7333466872
2016-04-07,1364351.908386259
2016-04-08,1349405.857201271
2016-04-11,1357946.4427119591
2016-04-12,1334459.912181419
2016-04-13,1355811.3228755712
2016-04-14,1372892.281120603
2016-04-15,1364351.908386259
2016-04-18,1366487.0282226473
2016-04-19,1381432.9730194632
2016-04-20,1357946.4427119591
2016-04-21,1323784.3132225152
2016-04-22,1308838.2620375273
2016-04-25,1300297.782915011
2016-04-26,1310973.3818739152
2016-04-27,1298162.6630786231
2016-04-28,1302432.902751399
2016-04-29,1293892.317240711
2016-05-03,1325919.3266707312
2016-05-04,1458297.817062967
2016-05-05,1509541.117573787
2016-05-06,1535162.767717679
2016-05-09,1522351.942534215
2016-05-10,1511676.2374101751
2016-05-11,1614162.625209399
2016-05-12,1584270.8420039392
2016-05-13,1558649.2980251831
2016-05-16,1580000.6023311631
2016-05-17,1520216.610144519
2016-05-18,1498865.305838539
2016-05-19,1501000.532063099
2016-05-20,1522351.942534215
2016-05-23,1537297.781165895
2016-05-24,1526622.1822069911
2016-05-25,1456162.591061443
2016-05-26,1428406.0338575072
2016-05-27,1428406.0338575072
2016-05-30,1398514.037652667
2016-05-31,1460432.9368993551
2016-06-01,1462568.056735743
2016-06-02,1518081.7030844751
2016-06-03,1509541.117573787
2016-06-06,1541568.0206156352
2016-06-07,1547973.486512971
2016-06-08,1515946.476859915
2016-06-13,1458297.817062967
2016-06-14,1466838.2964085191
2016-06-15,1505270.8779010111
2016-06-16,1477513.895367423
2016-06-17,1520216.610144519
2016-06-20,1556514.072023659
2016-06-21,1539433.0071674192
2016-06-22,1545838.2602884113
2016-06-23,1515946.476859915
2016-06-24,1498865.305838539
2016-06-27,1518081.7030844751
2016-06-28,1507405.8913492272
2016-06-29,1513811.357023527
2016-06-30,1507405.8913492272
2016-07-01,1505246.3107086471
2016-07-04,1529064.5570158097
2016-07-05,1573773.996332069
2016-07-06,1558871.0632831608
2016-07-07,1555890.1244289137
2016-07-08,1549928.726931583
2016-07-11,1555890.1244289137
2016-07-12,1591657.5476463856
2016-07-13,1585696.310443474
2016-07-14,1579735.2335349806
2016-07-15,1579735.2335349806
2016-07-18,1564832.300486073
2016-07-19,1561851.3616318258
2016-07-20,1561851.3616318258
2016-07-21,1570793.3777306129
2016-07-22,1570793.3777306129
2016-07-25,1591657.5476463856
2016-07-26,1594638.4865006327
2016-07-27,1555890.1244289137
2016-07-28,1564832.300486073
2016-07-29,1552909.6661218768
2016-08-01,1567812.5988347377
2016-08-02,1566706.9768004287
2016-08-03,1557248.5184657886
2016-08-04,1554546.1522095485
2016-08-05,1555221.8310759487
2016-08-08,1589677.0941029887
2016-08-09,1586500.9220644573
2016-08-10,1586500.9220644573
2016-08-11,1586500.9220644573
2016-08-12,1586500.9220644573
2016-08-15,1586500.9220644573
2016-08-16,1579046.0905851838
2016-08-17,1583331.0925255918
2016-08-18,1568333.467532412
2016-08-19,1566190.84860774
2016-08-22,1537850.7063378084
2016-08-23,1535049.5295850404
