date,account_value
2017-10-02,1000000.0
2017-10-03,999994.427010736
2017-10-04,1000011.9482303999
2017-10-05,1000167.7102515489
2017-10-06,1000067.6018809853
2017-10-09,999833.5491737822
2017-10-10,999873.9124831707
2017-10-11,1000149.2552300558
2017-10-12,1000364.8426587442
2017-10-13,1000443.0581005156
2017-10-16,1000130.5547952268
2017-10-17,1000666.3056178219
2017-10-18,1002388.0979961021
2017-10-19,991600.792602932
2017-10-20,994796.4823066021
2017-10-23,975467.9425465221
2017-10-24,973681.9172435991
2017-10-25,964328.268374099
2017-10-26,970672.314446749
2017-10-27,952153.1876820967
2017-10-30,955311.4625325968
2017-10-31,953319.7094777566
2017-11-01,962141.6892895966
2017-11-02,962999.5922578608
2017-11-03,967401.3233167607
2017-11-06,958746.9381956173
2017-11-07,967675.2894482174
2017-11-08,976546.892103656
2017-11-09,992900.629928936
2017-11-10,999325.212838576
2017-11-13,997865.088659536
2017-11-14,989453.5416297154
2017-11-15,979219.0228391254
2017-11-16,986244.3113778754
2017-11-17,979652.5846905453
2017-11-20,981907.7409196052
2017-11-21,994758.5998992103
2017-11-22,996292.9261449703
2017-11-24,1000649.5774316503
2017-11-27,1015320.1183582302
2017-11-28,1007061.4629948103
2017-11-29,982522.0696039903
2017-11-30,981376.0577677903
2017-12-01,970863.3142542103
2017-12-04,958361.5249264903
2017-12-05,965682.6327405103
2017-12-06,978108.6235716102
2017-12-07,989331.7354623702
2017-12-08,993887.3129811703
2017-12-11,996340.2551944302
2017-12-12,987956.7145003054
2017-12-13,995047.3323192653
2017-12-14,994814.8546209553
2017-12-15,1007717.5127532153
2017-12-18,1016435.6719859852
2017-12-19,1032941.9808954654
2017-12-20,1048401.9920831253
2017-12-21,1054679.3831035453
2017-12-22,1060026.5669126553
2017-12-26,1068163.0870133252
2017-12-27,1070720.6378535852
2017-12-28,1079438.5993014951
2017-12-29,1080368.8066424155
2018-01-02,1065024.5892879753
2018-01-03,1069674.1423469055
2018-01-04,1078043.6346080354
2018-01-05,1101291.993257265
2018-01-08,1089318.8502189154
2018-01-09,1099083.4060659353
2018-01-10,1094666.2318128855
2018-01-11,1112916.271409505
2018-01-12,1172431.935135595
2018-01-16,1173710.6116632954
2018-01-17,1181963.6177145853
2018-01-18,1178244.173104145
2018-01-19,1219974.9501558752
2018-01-22,1245083.228895185
2018-01-23,1249867.3639233252
2018-01-24,1247290.6328527294
2018-01-25,1293208.6532422293
2018-01-26,1335227.6395642292
2018-01-29,1346289.3339547291
2018-01-30,1350745.7152297292
2018-01-31,1355003.8814182293
2018-02-01,1364274.5778967293
2018-02-02,1330610.6573524578
2018-02-05,1279222.1207431878
2018-02-06,1313830.8245065578
2018-02-07,1309897.8480254977
2018-02-08,1245530.9226261878
2018-02-09,1273847.1752757977
2018-02-12,1281844.2161157879
2018-02-13,1259296.0623404076
2018-02-14,1270700.8384728779
2018-02-15,1265195.360338548
2018-02-16,1262573.2649659477
2018-02-20,1253921.1168730177
2018-02-21,1249856.8301676179
2018-02-22,1270176.5971881677
2018-02-23,1278042.2167033877
2018-02-26,1278304.2817955278
2018-02-27,1255756.6835222978
2018-02-28,1174478.2817514576
2018-03-01,1136974.8840017642
2018-03-02,1152460.712963264
2018-03-05,1158305.5894510641
2018-03-06,1160721.1315612462
2018-03-07,1144972.5621699195
2018-03-08,1145637.4782050594
2018-03-09,1154174.8787004943
2018-03-12,1137935.5902417942
2018-03-13,1136648.408271694
2018-03-14,1122686.8824189943
2018-03-15,1118901.269190666
2018-03-16,1119209.856663866
2018-03-19,1118387.155826666
2018-03-20,1124968.509101466
2018-03-21,1121883.486182666
2018-03-22,1102447.588371426
2018-03-23,1072419.2970728658
2018-03-26,1087947.6414907458
2018-03-27,1069754.490132512
2018-03-28,1075094.383675072
2018-03-29,1086775.6446763033
2018-04-02,1078725.7614804232
2018-04-03,1077391.0893844536
2018-04-04,1086919.7106069566
2018-04-05,1104968.3743936762
2018-04-06,1079470.9682286761
2018-04-09,1066798.799070676
2018-04-10,1064190.503639176
2018-04-11,1063914.8793176762
2018-04-12,1080483.2633201762
2018-04-13,1076034.4685686762
2018-04-16,1077629.1875374352
2018-04-17,1091902.3170141852
2018-04-18,1103451.8379082778
2018-04-19,1091312.7632934176
2018-04-20,1080069.4697970976
2018-04-23,1085641.5262081977
2018-04-24,1076786.3213805775
2018-04-25,1056101.0786521828
2018-04-26,1079429.9037977827
2018-04-27,1088761.9365553625
2018-04-30,1068413.5778327226
2018-05-01,1075283.0015614226
2018-05-02,1088243.3142961427
2018-05-03,1073597.9433455428
2018-05-04,1065242.4670823042
2018-05-07,1076373.994928604
2018-05-08,1117576.0838273042
2018-05-09,1111874.022481704
2018-05-10,1107869.2500731042
2018-05-11,1104101.8514084043
2018-05-14,1081770.505522704
2018-05-15,1086012.538118604
2018-05-16,1081566.2866031083
2018-05-17,1081060.4032475082
2018-05-18,1092063.7657103082
2018-05-21,1105344.1897343083
2018-05-22,1084601.4799295082
2018-05-23,1197672.2173379082
2018-05-24,1184065.8640251071
2018-05-25,1197827.789565827
2018-05-29,1178968.996407587
2018-05-30,1199102.1659495272
2018-05-31,1181116.5260997731
2018-06-01,1195387.298630373
2018-06-04,1205601.764282373
2018-06-05,1192489.695586373
2018-06-06,1214330.6998335733
2018-06-07,1203309.5012277754
2018-06-08,1207555.7431699354
2018-06-11,1210144.3632656552
2018-06-12,1225574.5010390554
2018-06-13,1215115.2734800954
2018-06-14,1193229.246616558
2018-06-15,1189382.1264045578
2018-06-18,1192711.967906558
2018-06-19,1160972.5205045578
2018-06-20,1154461.7730015577
2018-06-21,1159530.019483558
2018-06-22,1154388.2275165578
2018-06-25,1156785.2671285009
2018-06-26,1160176.2959706709
2018-06-27,1135096.5992434942
2018-06-28,1145285.2234854943
2018-06-29,1151032.3170964944
2018-07-02,1174282.6766838944
2018-07-03,1177682.979004941
2018-07-05,1178777.6678793407
2018-07-06,1191707.1082769649
2018-07-09,1210617.841818155
2018-07-10,1217351.886502435
2018-07-11,1234188.238957285
2018-07-12,1247400.899908755
2018-07-13,1249955.8758734032
2018-07-16,1269225.1259424223
2018-07-17,1274042.2691204723
2018-07-18,1286544.5041353921
2018-07-19,1294343.7570398422
2018-07-20,1285512.4138707323
2018-07-23,1292853.1662152521
2018-07-24,1289755.8640741722
2018-07-25,1229088.8024829598
2018-07-26,1233150.4145975395
2018-07-27,1262808.2887660996
2018-07-30,1300185.2620028798
2018-07-31,1298967.3942269199
2018-08-01,1296123.3071605798
2018-08-02,1294091.2140889398
2018-08-03,1306874.5152375635
2018-08-06,1312266.7371927034
2018-08-07,1307143.9637500234
2018-08-08,1304717.4694968634
2018-08-09,1308761.6640964833
2018-08-10,1302830.2086925234
2018-08-13,1294471.8106660834
2018-08-14,1293088.6011364276
2018-08-15,1302313.6113834076
2018-08-16,1327180.4222607578
2018-08-17,1324773.9908968175
2018-08-20,1327982.9251603775
2018-08-21,1339613.9809689277
2018-08-22,1310736.1963765274
2018-08-23,1303115.8069352275
2018-08-24,1309131.6515989876
2018-08-27,1316752.6581623175
2018-08-28,1310335.4075660377
2018-08-29,1292687.5801974677
2018-08-30,1281858.7199407376
2018-08-31,1281056.2930692576
2018-09-04,1277847.6677711175
2018-09-05,1284264.7646934977
2018-09-06,1290682.2474182476
2018-09-07,1288275.6623804076
2018-09-10,1299104.6779286575
2018-09-11,1310335.4075660377
2018-09-12,1340416.1765207476
2018-09-13,1350844.4024496977
2018-09-14,1347635.4681861375
2018-09-17,1348437.9718945678
2018-09-18,1352448.6382618176
2018-09-19,1338410.6884500077
2018-09-20,1341218.3712637576
2018-09-21,1354855.3769735578
2018-09-24,1357939.493622932
2018-09-25,1368048.050107732
2018-09-26,1355622.9835189318
2018-09-27,1353411.5176553319
2018-09-28,1370364.3879653318
